# find_host_by_ip variant race, offline harness (walk_variants.py)
# date: 2026-08-21T19:08:17+08:00  interpreter: ryu-env python3.8, networkx 3.1
# scan=91229f5  shipped=e44e956  fixed=working tree (O(1) token)  hoisted=floor
hosts  variant   walk median (s)  runs
   32  scan               0.0510  0.0510 0.0631 0.0506
   32  shipped            0.0800  0.0790 0.0811 0.0800
   32  fixed              0.0125  0.0126 0.0125 0.0125
   32  hoisted            0.0111  0.0112 0.0111 0.0111
   64  scan               0.2931  0.2994 0.2928 0.2931
   64  shipped            0.4856  0.4797 0.4908 0.4856
   64  fixed              0.0480  0.0475 0.0480 0.0481
   64  hoisted            0.0415  0.0415 0.0413 0.0457
  128  scan               1.9670  1.9670 2.0213 1.9641
  128  shipped            3.3200  3.3457 3.3076 3.3200
  128  fixed              0.1832  0.1832 0.1893 0.1829
  128  hoisted            0.1585  0.1564 0.1616 0.1585
