elapsed_s	hosts_with_ipv4
0	-1
3	-1
5	0
7	0
9	0
11	0
13	0
15	0
17	0
20	0
22	0
24	0
26	0
28	0
31	0
33	0
35	0
37	0
39	0
42	0
44	0
46	0
49	0
51	0
54	0
56	0
58	0
60	0
63	0
65	0
67	0
70	0
72	0
74	0
77	0
79	0
81	0
83	0
85	0
88	0
90	0
92	0
94	0
96	0
98	0
100	0
102	0
105	0
107	0
109	0
111	0
113	0
116	0
118	0
120	0
122	0
125	0
127	0
129	0
131	0
133	0
135	0
137	0
140	0
142	0
144	0
146	0
149	0
151	0
153	0
155	0
157	0
160	0
162	0
164	0
166	0
168	0
170	0
173	0
175	0
177	0
179	0
181	0
183	0
186	0
188	0
190	0
192	0
194	0
196	0
199	0
