elapsed_s	hosts_with_ipv4
0	-1
2	0
4	0
7	0
9	0
11	0
15	-1
19	-1
23	-1
27	-1
31	-1
35	-1
39	-1
43	-1
47	-1
51	-1
55	-1
59	-1
63	-1
67	-1
71	-1
75	-1
79	-1
83	-1
87	-1
91	-1
95	-1
99	-1
103	-1
107	-1
111	-1
115	-1
119	-1
123	-1
127	-1
131	-1
136	-1
140	-1
144	-1
148	-1
152	-1
156	-1
160	-1
164	-1
168	-1
172	-1
176	-1
180	-1
184	-1
188	-1
192	-1
196	-1
200	-1
204	-1
208	-1
212	-1
216	-1
220	-1
224	-1
228	-1
232	-1
236	-1
240	-1
244	-1
248	-1
252	-1
256	-1
260	-1
265	-1
269	-1
273	-1
277	-1
281	-1
285	-1
289	-1
293	-1
297	-1
301	-1
305	-1
309	-1
313	-1
317	-1
321	-1
325	-1
329	-1
333	-1
337	-1
341	-1
345	-1
349	-1
353	-1
357	-1
361	-1
365	-1
369	-1
373	-1
377	-1
381	-1
385	-1
389	-1
394	-1
398	-1
402	-1
406	-1
410	-1
414	-1
418	-1
422	-1
426	-1
430	-1
434	-1
438	-1
442	-1
446	-1
450	-1
454	-1
458	-1
462	-1
466	-1
470	-1
474	-1
478	-1
482	-1
486	-1
490	-1
494	-1
498	-1
502	-1
506	-1
510	-1
514	-1
518	-1
522	-1
527	-1
531	-1
