ts	iface	rx_bytes	tx_bytes
1787883085.157547933	s10-eth1	323246	337536
1787883085.157547933	s10-eth2	325885	337661
1787883085.157547933	s10-eth3	325885	337438
1787883085.157547933	s10-eth4	325885	337536
1787883085.157547933	s1-eth1	47452052	33008474202
1787883085.157547933	s1-eth10	45062148	803156
1787883085.157547933	s1-eth11	3216526840	421855
1787883085.157547933	s1-eth12	271547924	669108
1787883085.157547933	s1-eth13	32263380	291622
1787883085.157547933	s1-eth14	275710074	780303
1787883085.157547933	s1-eth15	2168791556	2305412
1787883085.157547933	s1-eth16	355204547	2149772
1787883085.157547933	s1-eth17	141634423	2158852
1787883085.157547933	s1-eth18	218880992	13374
1787883085.157547933	s1-eth19	9774125834	762891
1787883085.157547933	s1-eth2	325885	741025154
1787883085.157547933	s1-eth20	354192865	1627508
1787883085.157547933	s1-eth21	410894357	2743745
1787883085.157547933	s1-eth22	71232552	867428
1787883085.157547933	s1-eth23	2271513710	1074996
1787883085.157547933	s1-eth24	282155389	746819
1787883085.157547933	s1-eth25	190701021	2725118
1787883085.157547933	s1-eth26	350674879	1742395
1787883085.157547933	s1-eth27	2352706716	1578432
1787883085.157547933	s1-eth28	100282553	1600735
1787883085.157547933	s1-eth29	56696094	943753
1787883085.157547933	s1-eth3	10250815019	5251341
1787883085.157547933	s1-eth30	69974393	1134874
1787883085.157547933	s1-eth31	2234160427	656505
1787883085.157547933	s1-eth32	322720759	1424943
1787883085.157547933	s1-eth33	127916015	2007967
1787883085.157547933	s1-eth34	84105348	1245221
1787883085.157547933	s1-eth4	304325639	1197184
1787883085.157547933	s1-eth5	313459661	1390448
1787883085.157547933	s1-eth6	306567210	1345529
1787883085.157547933	s1-eth7	2379559275	2426901
1787883085.157547933	s1-eth8	347334097	1889685
1787883085.157547933	s1-eth9	110474172	1513405
1787883085.157547933	s2-eth1	15107334061	11070799721
1787883085.157547933	s2-eth10	288266001	930916
1787883085.157547933	s2-eth11	3283582514	2627905
1787883085.157547933	s2-eth12	58291233	1027988
1787883085.157547933	s2-eth13	79409837	1022420
1787883085.157547933	s2-eth14	55235712	681600
1787883085.157547933	s2-eth15	2125767819	1930894
1787883085.157547933	s2-eth16	359012489	2013099
1787883085.157547933	s2-eth17	351599770	1960393
1787883085.157547933	s2-eth18	248788387	545334
1787883085.157547933	s2-eth19	754370	7204721311
1787883085.157547933	s2-eth2	203026285	325885
1787883085.157547933	s2-eth20	1621088	191795339
1787883085.157547933	s2-eth21	2735592	241997208
1787883085.157547933	s2-eth22	859826	56738673
1787883085.157547933	s2-eth23	1066900	2011289597
1787883085.157547933	s2-eth24	738496	113474167
1787883085.157547933	s2-eth25	2719621	173878589
1787883085.157547933	s2-eth26	1735118	180817395
1787883085.157547933	s2-eth27	1570096	2091974627
1787883085.157547933	s2-eth28	1594026	95174438
1787883085.157547933	s2-eth29	935704	54796873
1787883085.157547933	s2-eth3	1487364976	836886
1787883085.157547933	s2-eth30	1126729	66833430
1787883085.157547933	s2-eth31	648731	1976434558
1787883085.157547933	s2-eth32	1416433	162142891
1787883085.157547933	s2-eth33	2003859	122892229
1787883085.157547933	s2-eth34	1237621	68212250
1787883085.157547933	s2-eth4	262678168	508673
1787883085.157547933	s2-eth5	396036853	2635405
1787883085.157547933	s2-eth6	365173814	2081370
1787883085.157547933	s2-eth7	2282410348	675502
1787883085.157547933	s2-eth8	289096869	947939
1787883085.157547933	s2-eth9	287793518	890491
1787883085.157547933	s3-eth1	14963649982	11714391495
1787883085.157547933	s3-eth10	797483	42495745
1787883085.157547933	s3-eth11	414680	2046730339
1787883085.157547933	s3-eth12	660324	85907610
1787883085.157547933	s3-eth13	282799	17392742
1787883085.157547933	s3-eth14	772258	88356325
1787883085.157547933	s3-eth15	2299227	1888613072
1787883085.157547933	s3-eth16	2143814	162285762
1787883085.157547933	s3-eth17	2157391	122539256
1787883085.157547933	s3-eth18	4572	47644697
1787883085.157547933	s3-eth19	1495746241	860339
1787883085.157547933	s3-eth2	325885	325885
1787883085.157547933	s3-eth20	366074077	1865880
1787883085.157547933	s3-eth21	261262150	417297
1787883085.157547933	s3-eth22	344180768	1577256
1787883085.157547933	s3-eth23	2328098746	1240682
1787883085.157547933	s3-eth24	337544300	1613335
1787883085.157547933	s3-eth25	381144399	2006986
1787883085.157547933	s3-eth26	288766414	754006
1787883085.157547933	s3-eth27	3307837904	1568000
1787883085.157547933	s3-eth28	215448603	2890420
1787883085.157547933	s3-eth29	144566257	1632572
1787883085.157547933	s3-eth3	5244854	7479760188
1787883085.157547933	s3-eth30	215287795	2987854
1787883085.157547933	s3-eth31	2285525940	1329062
1787883085.157547933	s3-eth32	144870470	1937789
1787883085.157547933	s3-eth33	127869435	1559371
1787883085.157547933	s3-eth34	48326776	537880
