ts	iface	rx_bytes	tx_bytes
1787804270.570642071	s10-eth1	6941338592	70860
1787804270.570642071	s10-eth2	16526	16948
1787804270.570642071	s10-eth3	70368	6840006793
1787804270.570642071	s10-eth4	16456	16878
1787804270.570642071	s1-eth1	69335	9721562557
1787804270.570642071	s1-eth10	1702	5352
1787804270.570642071	s1-eth11	733882348	12336
1787804270.570642071	s1-eth12	1632	5282
1787804270.570642071	s1-eth13	1632	5457
1787804270.570642071	s1-eth14	1632	5352
1787804270.570642071	s1-eth15	733879142	12239
1787804270.570642071	s1-eth16	1702	5282
1787804270.570642071	s1-eth17	1702	5352
1787804270.570642071	s1-eth18	1632	5352
1787804270.570642071	s1-eth19	2935497539	11832
1787804270.570642071	s1-eth2	14047	16553
1787804270.570642071	s1-eth20	1702	5352
1787804270.570642071	s1-eth21	1702	5282
1787804270.570642071	s1-eth22	1702	5352
1787804270.570642071	s1-eth23	733882333	11834
1787804270.570642071	s1-eth24	1632	5282
1787804270.570642071	s1-eth25	1632	5352
1787804270.570642071	s1-eth26	1702	5352
1787804270.570642071	s1-eth27	733872061	11749
1787804270.570642071	s1-eth28	1702	5282
1787804270.570642071	s1-eth29	1632	5282
1787804270.570642071	s1-eth3	2935489086	11685
1787804270.570642071	s1-eth30	1702	5352
1787804270.570642071	s1-eth31	733886832	11892
1787804270.570642071	s1-eth32	1702	5282
1787804270.570642071	s1-eth33	1702	5352
1787804270.570642071	s1-eth34	1702	5282
1787804270.570642071	s1-eth4	1702	5282
1787804270.570642071	s1-eth5	1702	5282
1787804270.570642071	s1-eth6	1702	5352
1787804270.570642071	s1-eth7	733887633	11946
1787804270.570642071	s1-eth8	1632	5352
1787804270.570642071	s1-eth9	1702	5352
1787804270.570642071	s2-eth1	4599434871	2348274743
1787804270.570642071	s2-eth10	1632	5352
1787804270.570642071	s2-eth11	733883085	12317
1787804270.570642071	s2-eth12	1632	5352
1787804270.570642071	s2-eth13	1632	5352
1787804270.570642071	s2-eth14	1702	5282
1787804270.570642071	s2-eth15	733886924	11879
1787804270.570642071	s2-eth16	1632	5352
1787804270.570642071	s2-eth17	1702	5282
1787804270.570642071	s2-eth18	1702	5352
1787804270.570642071	s2-eth19	8112	2555849987
1787804270.570642071	s2-eth2	16483	16553
1787804270.570642071	s2-eth20	1632	5352
1787804270.570642071	s2-eth21	1632	5352
1787804270.570642071	s2-eth22	1632	5352
1787804270.570642071	s2-eth23	8184	674560594
1787804270.570642071	s2-eth24	1702	5352
1787804270.570642071	s2-eth25	1702	5352
1787804270.570642071	s2-eth26	1632	5352
1787804270.570642071	s2-eth27	8099	674303807
1787804270.570642071	s2-eth28	1702	5352
1787804270.570642071	s2-eth29	1702	5063
1787804270.570642071	s2-eth3	146789697	12157
1787804270.570642071	s2-eth30	1702	5352
1787804270.570642071	s2-eth31	8312	673956636
1787804270.570642071	s2-eth32	1702	5352
1787804270.570642071	s2-eth33	1632	5352
1787804270.570642071	s2-eth34	1702	5352
1787804270.570642071	s2-eth4	1632	5352
1787804270.570642071	s2-eth5	1702	5282
1787804270.570642071	s2-eth6	1702	5352
1787804270.570642071	s2-eth7	733885389	11603
1787804270.570642071	s2-eth8	1702	5352
1787804270.570642071	s2-eth9	1632	5352
1787804270.570642071	s3-eth1	4474547101	2348368307
1787804270.570642071	s3-eth10	1702	5149
1787804270.570642071	s3-eth11	8686	656573034
1787804270.570642071	s3-eth12	1702	5352
1787804270.570642071	s3-eth13	1632	5282
1787804270.570642071	s3-eth14	1632	5282
1787804270.570642071	s3-eth15	8519	656063753
1787804270.570642071	s3-eth16	1702	5282
1787804270.570642071	s3-eth17	1702	5352
1787804270.570642071	s3-eth18	1632	5282
1787804270.570642071	s3-eth19	146789413	11805
1787804270.570642071	s3-eth2	14250	16553
1787804270.570642071	s3-eth20	1702	5352
1787804270.570642071	s3-eth21	1702	5282
1787804270.570642071	s3-eth22	1702	5282
1787804270.570642071	s3-eth23	733885757	12108
1787804270.570642071	s3-eth24	1702	5282
1787804270.570642071	s3-eth25	1632	5282
1787804270.570642071	s3-eth26	1632	5352
1787804270.570642071	s3-eth27	733886913	11814
1787804270.570642071	s3-eth28	1632	5282
1787804270.570642071	s3-eth29	1702	5282
