ts	iface	rx_bytes	tx_bytes
1787803033.058086135	s10-eth1	785077873	30445
1787803033.058086135	s10-eth2	9311	9556
1787803033.058086135	s10-eth3	30270	783762944
1787803033.058086135	s10-eth4	9311	9486
1787803033.058086135	s1-eth1	30132	1081232601
1787803033.058086135	s1-eth10	1562	4806
1787803033.058086135	s1-eth11	77254736	7593
1787803033.058086135	s1-eth12	1562	4806
1787803033.058086135	s1-eth13	1562	4911
1787803033.058086135	s1-eth14	1562	4806
1787803033.058086135	s1-eth15	77254737	7590
1787803033.058086135	s1-eth16	1562	4806
1787803033.058086135	s1-eth17	1562	4806
1787803033.058086135	s1-eth18	1562	4806
1787803033.058086135	s1-eth19	309002101	7384
1787803033.058086135	s1-eth2	7281	9311
1787803033.058086135	s1-eth20	1562	4806
1787803033.058086135	s1-eth21	1562	4806
1787803033.058086135	s1-eth22	1562	4806
1787803033.058086135	s1-eth23	77255520	7382
1787803033.058086135	s1-eth24	1562	4806
1787803033.058086135	s1-eth25	1562	4806
1787803033.058086135	s1-eth26	1562	4806
1787803033.058086135	s1-eth27	77254030	7449
1787803033.058086135	s1-eth28	1632	4806
1787803033.058086135	s1-eth29	1562	4806
1787803033.058086135	s1-eth3	308999283	7307
1787803033.058086135	s1-eth30	1562	4806
1787803033.058086135	s1-eth31	77255533	7370
1787803033.058086135	s1-eth32	1562	4806
1787803033.058086135	s1-eth33	1562	4806
1787803033.058086135	s1-eth34	1562	4806
1787803033.058086135	s1-eth4	1562	4806
1787803033.058086135	s1-eth5	1632	4806
1787803033.058086135	s1-eth6	1562	4806
1787803033.058086135	s1-eth7	77255456	7292
1787803033.058086135	s1-eth8	1562	4806
1787803033.058086135	s1-eth9	1562	4806
1787803033.058086135	s2-eth1	537810128	247237342
1787803033.058086135	s2-eth10	1562	4806
1787803033.058086135	s2-eth11	77255672	7448
1787803033.058086135	s2-eth12	1562	4806
1787803033.058086135	s2-eth13	1562	4806
1787803033.058086135	s2-eth14	1562	4806
1787803033.058086135	s2-eth15	77255471	7369
1787803033.058086135	s2-eth16	1562	4806
1787803033.058086135	s2-eth17	1562	4806
1787803033.058086135	s2-eth18	1562	4806
1787803033.058086135	s2-eth19	4140	306793317
1787803033.058086135	s2-eth2	9311	9311
1787803033.058086135	s2-eth20	1562	4806
1787803033.058086135	s2-eth21	1562	4806
1787803033.058086135	s2-eth22	1562	4806
1787803033.058086135	s2-eth23	4138	76876634
1787803033.058086135	s2-eth24	1562	4806
1787803033.058086135	s2-eth25	1562	4806
1787803033.058086135	s2-eth26	1562	4806
1787803033.058086135	s2-eth27	4205	76892448
1787803033.058086135	s2-eth28	1562	4806
1787803033.058086135	s2-eth29	1562	4587
1787803033.058086135	s2-eth3	15457452	7438
1787803033.058086135	s2-eth30	1562	4806
1787803033.058086135	s2-eth31	4126	76918465
1787803033.058086135	s2-eth32	1562	4806
1787803033.058086135	s2-eth33	1562	4806
1787803033.058086135	s2-eth34	1562	4806
1787803033.058086135	s2-eth4	1562	4806
1787803033.058086135	s2-eth5	1562	4806
1787803033.058086135	s2-eth6	1562	4806
1787803033.058086135	s2-eth7	77255323	7084
1787803033.058086135	s2-eth8	1562	4806
1787803033.058086135	s2-eth9	1562	4806
1787803033.058086135	s3-eth1	535684523	247237750
1787803033.058086135	s3-eth10	1562	4603
1787803033.058086135	s3-eth11	4349	76564378
1787803033.058086135	s3-eth12	1562	4806
1787803033.058086135	s3-eth13	1562	4806
1787803033.058086135	s3-eth14	1562	4806
1787803033.058086135	s3-eth15	4346	76552913
1787803033.058086135	s3-eth16	1562	4806
1787803033.058086135	s3-eth17	1562	4806
1787803033.058086135	s3-eth18	1562	4806
1787803033.058086135	s3-eth19	15457453	7440
1787803033.058086135	s3-eth2	7484	9311
1787803033.058086135	s3-eth20	1562	4876
1787803033.058086135	s3-eth21	1562	4806
1787803033.058086135	s3-eth22	1562	4806
1787803033.058086135	s3-eth23	77255673	7439
1787803033.058086135	s3-eth24	1562	4806
1787803033.058086135	s3-eth25	1562	4806
1787803033.058086135	s3-eth26	1562	4806
1787803033.058086135	s3-eth27	77255602	7369
1787803033.058086135	s3-eth28	1562	4806
1787803033.058086135	s3-eth29	1562	4806
1787803033.058086135	s3-eth3	4063	305655645
1787803033.058086135	s3-eth30	1562	4806
1787803033.058086135	s3-eth31	77255471	7368
1787803033.058086135	s3-eth32	1562	4806
1787803033.058086135	s3-eth33	1562	4876
1787803033.058086135	s3-eth34	1562	4806
1787803033.058086135	s3-eth4	1562	4806
1787803033.058086135	s3-eth5	1562	4806
1787803033.058086135	s3-eth6	1562	4806
1787803033.058086135	s3-eth7	4048	76604032
1787803033.058086135	s3-eth8	1562	4806
1787803033.058086135	s3-eth9	1562	4806
1787803033.058086135	s4-eth1	493560986	30174
1787803033.058086135	s4-eth10	1562	4806
1787803033.058086135	s4-eth11	4204	76970516
1787803033.058086135	s4-eth12	1562	4806
1787803033.058086135	s4-eth13	1562	4806
1787803033.058086135	s4-eth14	1562	4806
1787803033.058086135	s4-eth15	4192	76981921
1787803033.058086135	s4-eth16	1562	4806
1787803033.058086135	s4-eth17	1562	4716
1787803033.058086135	s4-eth18	1562	4806
1787803033.058086135	s4-eth19	4196	15457813
1787803033.058086135	s4-eth2	9311	9311
1787803033.058086135	s4-eth20	1562	4876
1787803033.058086135	s4-eth21	1562	4806
1787803033.058086135	s4-eth22	1562	4926
1787803033.058086135	s4-eth23	4265	77237287
1787803033.058086135	s4-eth24	1562	4806
1787803033.058086135	s4-eth25	1562	4806
1787803033.058086135	s4-eth26	1472	4806
1787803033.058086135	s4-eth27	4125	77238658
1787803033.058086135	s4-eth28	1562	4806
1787803033.058086135	s4-eth29	1562	4806
1787803033.058086135	s4-eth3	4194	15400132
1787803033.058086135	s4-eth30	1562	4806
1787803033.058086135	s4-eth31	4034	77242763
1787803033.058086135	s4-eth32	1632	4806
1787803033.058086135	s4-eth33	1562	4806
1787803033.058086135	s4-eth34	1562	4806
1787803033.058086135	s4-eth4	1562	4806
1787803033.058086135	s4-eth5	1562	4806
1787803033.058086135	s4-eth6	1562	4602
1787803033.058086135	s4-eth7	4059	77006217
1787803033.058086135	s4-eth8	1562	4806
1787803033.058086135	s4-eth9	1562	4806
1787803033.058086135	s5-eth1	1081232601	30132
1787803033.058086135	s5-eth2	247237342	537810128
1787803033.058086135	s5-eth3	9311	7301
1787803033.058086135	s5-eth4	30445	785077873
1787803033.058086135	s6-eth1	9311	7281
1787803033.058086135	s6-eth2	9311	9311
1787803033.058086135	s6-eth3	9311	7281
1787803033.058086135	s6-eth4	9556	9311
1787803033.058086135	s7-eth1	247237750	535684523
1787803033.058086135	s7-eth2	30174	493560986
1787803033.058086135	s7-eth3	7484	9311
1787803033.058086135	s7-eth4	783762944	30270
1787803033.058086135	s8-eth1	9311	7484
1787803033.058086135	s8-eth2	9311	9311
1787803033.058086135	s8-eth3	9311	9311
1787803033.058086135	s8-eth4	9486	9311
1787803033.058086135	s9-eth1	7301	9311
1787803033.058086135	s9-eth2	7281	9311
1787803033.058086135	s9-eth3	9311	7484
1787803033.058086135	s9-eth4	9311	9311
1787803035.714908772	s10-eth1	785077900	30473
1787803035.714908772	s10-eth2	9338	9584
1787803035.714908772	s10-eth3	30297	783762972
1787803035.714908772	s10-eth4	9338	9514
1787803035.714908772	s1-eth1	30159	1081232628
1787803035.714908772	s1-eth10	1562	4806
1787803035.714908772	s1-eth11	77254736	7593
1787803035.714908772	s1-eth12	1562	4806
1787803035.714908772	s1-eth13	1562	4911
1787803035.714908772	s1-eth14	1562	4806
1787803035.714908772	s1-eth15	77254737	7590
1787803035.714908772	s1-eth16	1562	4806
1787803035.714908772	s1-eth17	1562	4806
1787803035.714908772	s1-eth18	1562	4806
1787803035.714908772	s1-eth19	309002101	7384
1787803035.714908772	s1-eth2	7308	9338
1787803035.714908772	s1-eth20	1562	4806
1787803035.714908772	s1-eth21	1562	4806
1787803035.714908772	s1-eth22	1562	4806
1787803035.714908772	s1-eth23	77255520	7382
1787803035.714908772	s1-eth24	1562	4806
1787803035.714908772	s1-eth25	1562	4806
1787803035.714908772	s1-eth26	1562	4806
1787803035.714908772	s1-eth27	77254030	7449
1787803035.714908772	s1-eth28	1632	4806
1787803035.714908772	s1-eth29	1562	4806
1787803035.714908772	s1-eth3	308999283	7307
1787803035.714908772	s1-eth30	1562	4806
1787803035.714908772	s1-eth31	77255533	7370
1787803035.714908772	s1-eth32	1562	4806
1787803035.714908772	s1-eth33	1562	4806
1787803035.714908772	s1-eth34	1562	4806
1787803035.714908772	s1-eth4	1562	4806
1787803035.714908772	s1-eth5	1632	4806
1787803035.714908772	s1-eth6	1562	4806
1787803035.714908772	s1-eth7	77255456	7292
1787803035.714908772	s1-eth8	1562	4806
1787803035.714908772	s1-eth9	1562	4806
1787803035.714908772	s2-eth1	537810155	247237369
1787803035.714908772	s2-eth10	1562	4806
1787803035.714908772	s2-eth11	77255672	7448
1787803035.714908772	s2-eth12	1562	4806
1787803035.714908772	s2-eth13	1562	4806
1787803035.714908772	s2-eth14	1562	4806
1787803035.714908772	s2-eth15	77255471	7369
1787803035.714908772	s2-eth16	1562	4806
1787803035.714908772	s2-eth17	1562	4806
1787803035.714908772	s2-eth18	1562	4806
1787803035.714908772	s2-eth19	4140	306793317
1787803035.714908772	s2-eth2	9338	9338
1787803035.714908772	s2-eth20	1562	4806
1787803035.714908772	s2-eth21	1562	4806
1787803035.714908772	s2-eth22	1562	4806
1787803035.714908772	s2-eth23	4138	76876634
1787803035.714908772	s2-eth24	1562	4806
1787803035.714908772	s2-eth25	1562	4806
1787803035.714908772	s2-eth26	1562	4806
1787803035.714908772	s2-eth27	4205	76892448
1787803035.714908772	s2-eth28	1562	4806
1787803035.714908772	s2-eth29	1562	4587
1787803035.714908772	s2-eth3	15457452	7438
1787803035.714908772	s2-eth30	1562	4806
1787803035.714908772	s2-eth31	4126	76918465
1787803035.714908772	s2-eth32	1562	4806
1787803035.714908772	s2-eth33	1562	4806
1787803035.714908772	s2-eth34	1562	4806
1787803035.714908772	s2-eth4	1562	4806
1787803035.714908772	s2-eth5	1562	4806
1787803035.714908772	s2-eth6	1562	4806
1787803035.714908772	s2-eth7	77255323	7084
1787803035.714908772	s2-eth8	1562	4806
1787803035.714908772	s2-eth9	1562	4806
1787803035.714908772	s3-eth1	535684550	247237777
1787803035.714908772	s3-eth10	1562	4603
1787803035.714908772	s3-eth11	4349	76564378
1787803035.714908772	s3-eth12	1562	4806
1787803035.714908772	s3-eth13	1562	4806
1787803035.714908772	s3-eth14	1562	4806
1787803035.714908772	s3-eth15	4346	76552913
1787803035.714908772	s3-eth16	1562	4806
1787803035.714908772	s3-eth17	1562	4806
1787803035.714908772	s3-eth18	1562	4806
1787803035.714908772	s3-eth19	15457453	7440
1787803035.714908772	s3-eth2	7511	9338
1787803035.714908772	s3-eth20	1562	4876
1787803035.714908772	s3-eth21	1562	4806
1787803035.714908772	s3-eth22	1562	4806
1787803035.714908772	s3-eth23	77255673	7439
1787803035.714908772	s3-eth24	1562	4806
1787803035.714908772	s3-eth25	1562	4806
1787803035.714908772	s3-eth26	1562	4806
1787803035.714908772	s3-eth27	77255602	7369
1787803035.714908772	s3-eth28	1562	4806
1787803035.714908772	s3-eth29	1562	4806
1787803035.714908772	s3-eth3	4063	305655645
1787803035.714908772	s3-eth30	1562	4806
1787803035.714908772	s3-eth31	77255471	7368
1787803035.714908772	s3-eth32	1562	4806
1787803035.714908772	s3-eth33	1562	4876
1787803035.714908772	s3-eth34	1562	4806
1787803035.714908772	s3-eth4	1562	4806
1787803035.714908772	s3-eth5	1562	4806
1787803035.714908772	s3-eth6	1562	4806
1787803035.714908772	s3-eth7	4048	76604032
1787803035.714908772	s3-eth8	1562	4806
1787803035.714908772	s3-eth9	1562	4806
1787803035.714908772	s4-eth1	493561013	30201
1787803035.714908772	s4-eth10	1562	4806
1787803035.714908772	s4-eth11	4204	76970516
1787803035.714908772	s4-eth12	1562	4806
1787803035.714908772	s4-eth13	1562	4806
1787803035.714908772	s4-eth14	1562	4806
1787803035.714908772	s4-eth15	4192	76981921
1787803035.714908772	s4-eth16	1562	4806
1787803035.714908772	s4-eth17	1562	4716
1787803035.714908772	s4-eth18	1562	4806
1787803035.714908772	s4-eth19	4196	15457813
1787803035.714908772	s4-eth2	9338	9338
1787803035.714908772	s4-eth20	1562	4876
1787803035.714908772	s4-eth21	1562	4806
