-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.89, port 49196
[  8] local 10.0.0.121 port 5201 connected to 10.0.0.89 port 51184
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   597 KBytes  4.89 Mbits/sec  1.026 ms  5/442 (1.1%)  
[  8]   1.00-2.01   sec   612 KBytes  4.99 Mbits/sec  2.146 ms  0/448 (0%)  
[  8]   2.01-3.00   sec   608 KBytes  5.01 Mbits/sec  1.274 ms  0/445 (0%)  
[  8]   3.00-4.00   sec   611 KBytes  5.01 Mbits/sec  1.497 ms  0/447 (0%)  
[  8]   4.00-5.00   sec   611 KBytes  5.01 Mbits/sec  0.906 ms  0/447 (0%)  
[  8]   5.00-6.00   sec   611 KBytes  5.00 Mbits/sec  0.918 ms  0/447 (0%)  
[  8]   6.00-7.00   sec   610 KBytes  5.00 Mbits/sec  1.208 ms  0/446 (0%)  
[  8]   7.00-8.00   sec   607 KBytes  4.97 Mbits/sec  1.191 ms  0/444 (0%)  
[  8]   8.00-9.00   sec   612 KBytes  5.02 Mbits/sec  1.036 ms  0/448 (0%)  
[  8]   9.00-10.00  sec   610 KBytes  4.99 Mbits/sec  1.541 ms  0/446 (0%)  
[  8]  10.00-11.00  sec   608 KBytes  4.97 Mbits/sec  1.827 ms  1/446 (0.22%)  
[  8]  11.00-12.00  sec   614 KBytes  5.04 Mbits/sec  0.994 ms  0/449 (0%)  
[  8]  12.00-13.00  sec   610 KBytes  5.00 Mbits/sec  0.943 ms  0/446 (0%)  
[  8]  13.00-14.00  sec   610 KBytes  4.99 Mbits/sec  1.252 ms  0/446 (0%)  
[  8]  14.00-15.00  sec   608 KBytes  4.98 Mbits/sec  1.958 ms  0/445 (0%)  
[  8]  15.00-16.00  sec   611 KBytes  5.01 Mbits/sec  1.551 ms  0/447 (0%)  
[  8]  16.00-17.00  sec   611 KBytes  5.01 Mbits/sec  1.598 ms  0/447 (0%)  
[  8]  17.00-18.00  sec   610 KBytes  4.99 Mbits/sec  0.448 ms  0/446 (0%)  
[  8]  18.00-19.00  sec   611 KBytes  5.01 Mbits/sec  0.756 ms  0/447 (0%)  
[  8]  19.00-20.00  sec   610 KBytes  5.00 Mbits/sec  2.101 ms  0/446 (0%)  
[  8]  20.00-21.00  sec   611 KBytes  4.99 Mbits/sec  2.023 ms  0/447 (0%)  
[  8]  21.00-22.00  sec   608 KBytes  5.00 Mbits/sec  2.366 ms  0/445 (0%)  
[  8]  22.00-23.00  sec   610 KBytes  5.00 Mbits/sec  1.778 ms  0/446 (0%)  
[  8]  23.00-24.00  sec   608 KBytes  4.98 Mbits/sec  1.748 ms  0/445 (0%)  
[  8]  24.00-25.00  sec   610 KBytes  5.00 Mbits/sec  1.875 ms  0/446 (0%)  
[  8]  25.00-26.00  sec   614 KBytes  5.03 Mbits/sec  2.246 ms  0/449 (0%)  
[  8]  26.00-27.00  sec   611 KBytes  5.01 Mbits/sec  1.024 ms  0/447 (0%)  
[  8]  27.00-28.00  sec   611 KBytes  5.01 Mbits/sec  1.281 ms  0/447 (0%)  
[  8]  28.00-29.00  sec   604 KBytes  4.95 Mbits/sec  1.128 ms  0/442 (0%)  
[  8]  29.00-30.00  sec   615 KBytes  5.04 Mbits/sec  1.580 ms  0/450 (0%)  
