-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.17, port 38164
[  8] local 10.0.0.49 port 5201 connected to 10.0.0.17 port 45981
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec  2.28 MBytes  19.1 Mbits/sec  0.425 ms  72/1777 (4.1%)  
[  8]   1.00-2.00   sec  2.38 MBytes  20.0 Mbits/sec  0.666 ms  1/1785 (0.056%)  
[  8]   2.00-3.00   sec  2.37 MBytes  19.9 Mbits/sec  0.402 ms  14/1788 (0.78%)  
[  8]   3.00-4.00   sec  2.36 MBytes  19.8 Mbits/sec  0.585 ms  5/1772 (0.28%)  
[  8]   4.00-5.00   sec  2.40 MBytes  20.1 Mbits/sec  0.589 ms  3/1800 (0.17%)  
[  8]   5.00-6.00   sec  2.38 MBytes  20.0 Mbits/sec  0.488 ms  3/1785 (0.17%)  
[  8]   6.00-7.00   sec  2.37 MBytes  19.9 Mbits/sec  0.280 ms  8/1781 (0.45%)  
[  8]   7.00-8.00   sec  2.38 MBytes  19.9 Mbits/sec  0.483 ms  4/1784 (0.22%)  
[  8]   8.00-9.00   sec  2.39 MBytes  20.0 Mbits/sec  0.427 ms  0/1788 (0%)  
[  8]   9.00-10.00  sec  2.38 MBytes  20.0 Mbits/sec  0.333 ms  2/1787 (0.11%)  
[  8]  10.00-11.00  sec  2.39 MBytes  20.0 Mbits/sec  0.185 ms  0/1789 (0%)  
[  8]  11.00-12.00  sec  2.38 MBytes  19.9 Mbits/sec  0.355 ms  0/1779 (0%)  
[  8]  12.00-13.00  sec  2.39 MBytes  20.1 Mbits/sec  0.464 ms  2/1793 (0.11%)  
[  8]  13.00-14.00  sec  2.38 MBytes  20.0 Mbits/sec  0.660 ms  0/1784 (0%)  
[  8]  14.00-15.00  sec  2.38 MBytes  20.0 Mbits/sec  0.669 ms  0/1784 (0%)  
[  8]  15.00-16.00  sec  2.33 MBytes  19.5 Mbits/sec  0.383 ms  43/1786 (2.4%)  
[  8]  16.00-17.00  sec  2.38 MBytes  19.9 Mbits/sec  0.357 ms  4/1783 (0.22%)  
[  8]  17.00-18.00  sec  2.39 MBytes  20.0 Mbits/sec  0.214 ms  3/1791 (0.17%)  
[  8]  18.00-19.00  sec  2.38 MBytes  20.0 Mbits/sec  0.603 ms  0/1786 (0%)  
[  8]  19.00-20.00  sec  2.38 MBytes  20.0 Mbits/sec  0.530 ms  0/1784 (0%)  
[  8]  20.00-21.00  sec  2.38 MBytes  19.9 Mbits/sec  0.599 ms  7/1786 (0.39%)  
[  8]  21.00-22.00  sec  2.26 MBytes  19.0 Mbits/sec  0.603 ms  87/1783 (4.9%)  
[  8]  22.00-23.00  sec  2.37 MBytes  19.8 Mbits/sec  0.490 ms  14/1786 (0.78%)  
[  8]  23.00-24.00  sec  2.36 MBytes  19.8 Mbits/sec  0.471 ms  18/1788 (1%)  
[  8]  24.00-25.00  sec  2.36 MBytes  19.8 Mbits/sec  0.738 ms  11/1780 (0.62%)  
[  8]  25.00-26.00  sec  2.35 MBytes  19.7 Mbits/sec  0.657 ms  29/1786 (1.6%)  
[  8]  26.00-27.00  sec  2.34 MBytes  19.6 Mbits/sec  0.611 ms  42/1791 (2.3%)  
[  8]  27.00-28.00  sec  2.38 MBytes  19.9 Mbits/sec  0.382 ms  10/1789 (0.56%)  
[  8]  28.00-29.00  sec  2.38 MBytes  19.9 Mbits/sec  0.507 ms  1/1782 (0.056%)  
