-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.29, port 52550
[  8] local 10.0.0.61 port 5201 connected to 10.0.0.29 port 54078
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   584 KBytes  4.78 Mbits/sec  0.919 ms  18/445 (4%)  
[  8]   1.00-2.00   sec   608 KBytes  4.98 Mbits/sec  1.554 ms  1/446 (0.22%)  
[  8]   2.00-3.00   sec   608 KBytes  4.98 Mbits/sec  1.698 ms  2/447 (0.45%)  
[  8]   3.00-4.00   sec   604 KBytes  4.95 Mbits/sec  1.017 ms  0/442 (0%)  
[  8]   4.00-5.00   sec   615 KBytes  5.04 Mbits/sec  1.338 ms  1/451 (0.22%)  
[  8]   5.00-6.00   sec   610 KBytes  5.00 Mbits/sec  0.974 ms  0/446 (0%)  
[  8]   6.00-7.00   sec   610 KBytes  5.00 Mbits/sec  1.086 ms  1/447 (0.22%)  
[  8]   7.00-8.00   sec   606 KBytes  4.96 Mbits/sec  0.904 ms  0/443 (0%)  
[  8]   8.00-9.00   sec   615 KBytes  5.04 Mbits/sec  0.787 ms  0/450 (0%)  
[  8]   9.00-10.00  sec   607 KBytes  4.97 Mbits/sec  1.093 ms  1/445 (0.22%)  
[  8]  10.00-11.00  sec   612 KBytes  5.02 Mbits/sec  0.647 ms  0/448 (0%)  
[  8]  11.00-12.00  sec   608 KBytes  4.98 Mbits/sec  0.916 ms  0/445 (0%)  
[  8]  12.00-13.00  sec   612 KBytes  5.02 Mbits/sec  0.728 ms  0/448 (0%)  
[  8]  13.00-14.00  sec   608 KBytes  4.98 Mbits/sec  1.465 ms  0/445 (0%)  
[  8]  14.00-15.00  sec   607 KBytes  4.97 Mbits/sec  1.670 ms  0/444 (0%)  
[  8]  15.00-16.00  sec   611 KBytes  5.01 Mbits/sec  1.014 ms  3/450 (0.67%)  
[  8]  16.00-17.00  sec   604 KBytes  4.95 Mbits/sec  1.771 ms  2/444 (0.45%)  
[  8]  17.00-18.00  sec   614 KBytes  5.03 Mbits/sec  0.361 ms  0/449 (0%)  
[  8]  18.00-19.00  sec   608 KBytes  4.98 Mbits/sec  1.139 ms  0/445 (0%)  
[  8]  19.00-20.00  sec   610 KBytes  5.00 Mbits/sec  1.691 ms  0/446 (0%)  
[  8]  20.00-21.00  sec   608 KBytes  4.98 Mbits/sec  1.402 ms  1/446 (0.22%)  
[  8]  21.00-22.00  sec   589 KBytes  4.83 Mbits/sec  1.068 ms  17/448 (3.8%)  
[  8]  22.00-23.00  sec   604 KBytes  4.95 Mbits/sec  1.379 ms  4/446 (0.9%)  
[  8]  23.00-24.00  sec   611 KBytes  5.01 Mbits/sec  1.435 ms  1/448 (0.22%)  
[  8]  24.00-25.00  sec   606 KBytes  4.96 Mbits/sec  2.008 ms  1/444 (0.23%)  
[  8]  25.00-26.00  sec   606 KBytes  4.96 Mbits/sec  1.794 ms  4/447 (0.89%)  
[  8]  26.00-27.00  sec   595 KBytes  4.87 Mbits/sec  1.104 ms  11/446 (2.5%)  
[  8]  27.00-28.00  sec   607 KBytes  4.97 Mbits/sec  1.234 ms  3/447 (0.67%)  
[  8]  28.00-29.00  sec   610 KBytes  5.00 Mbits/sec  1.302 ms  1/447 (0.22%)  
[  8]  29.00-30.00  sec   610 KBytes  5.00 Mbits/sec  0.665 ms  1/447 (0.22%)  
[  8]  30.00-31.00  sec   611 KBytes  5.01 Mbits/sec  1.210 ms  0/447 (0%)  
[  8]  31.00-32.00  sec   608 KBytes  4.98 Mbits/sec  1.435 ms  0/445 (0%)  
[  8]  32.00-33.00  sec   610 KBytes  5.00 Mbits/sec  1.594 ms  1/447 (0.22%)  
[  8]  33.00-34.00  sec   610 KBytes  5.00 Mbits/sec  1.695 ms  0/446 (0%)  
[  8]  34.00-35.00  sec   608 KBytes  4.98 Mbits/sec  1.614 ms  1/446 (0.22%)  
[  8]  35.00-36.00  sec   606 KBytes  4.96 Mbits/sec  1.705 ms  1/444 (0.23%)  
[  8]  36.00-37.00  sec   614 KBytes  5.03 Mbits/sec  2.058 ms  1/450 (0.22%)  
[  8]  37.00-38.00  sec   604 KBytes  4.95 Mbits/sec  1.325 ms  4/446 (0.9%)  
[  8]  38.00-39.00  sec   607 KBytes  4.97 Mbits/sec  1.752 ms  3/447 (0.67%)  
[  8]  39.00-40.00  sec   608 KBytes  4.98 Mbits/sec  0.883 ms  0/445 (0%)  
[  8]  40.00-41.00  sec   611 KBytes  4.98 Mbits/sec  1.670 ms  0/447 (0%)  
[  8]  41.00-42.00  sec   604 KBytes  4.97 Mbits/sec  1.783 ms  4/446 (0.9%)  
[  8]  42.00-43.00  sec   608 KBytes  4.98 Mbits/sec  1.797 ms  1/446 (0.22%)  
[  8]  43.00-44.00  sec   611 KBytes  5.01 Mbits/sec  1.533 ms  0/447 (0%)  
[  8]  44.00-45.00  sec   606 KBytes  4.96 Mbits/sec  1.198 ms  1/444 (0.23%)  
[  8]  45.00-46.00  sec   615 KBytes  5.04 Mbits/sec  1.457 ms  0/450 (0%)  
[  8]  46.00-47.00  sec   608 KBytes  4.98 Mbits/sec  2.090 ms  0/445 (0%)  
[  8]  47.00-48.00  sec   611 KBytes  5.01 Mbits/sec  1.419 ms  0/447 (0%)  
[  8]  48.00-49.00  sec   612 KBytes  5.02 Mbits/sec  0.733 ms  0/448 (0%)  
[  8]  49.00-50.00  sec   607 KBytes  4.97 Mbits/sec  0.764 ms  1/445 (0.22%)  
[  8]  50.00-51.00  sec   607 KBytes  4.97 Mbits/sec  1.422 ms  2/446 (0.45%)  
[  8]  51.00-52.00  sec   599 KBytes  4.91 Mbits/sec  1.385 ms  8/446 (1.8%)  
[  8]  52.00-53.00  sec   611 KBytes  5.01 Mbits/sec  1.816 ms  0/447 (0%)  
[  8]  53.00-54.00  sec   610 KBytes  5.00 Mbits/sec  1.526 ms  1/447 (0.22%)  
[  8]  54.00-55.00  sec   606 KBytes  4.96 Mbits/sec  2.090 ms  2/445 (0.45%)  
[  8]  55.00-56.00  sec   595 KBytes  4.87 Mbits/sec  2.240 ms  12/447 (2.7%)  
[  8]  56.00-57.00  sec   606 KBytes  4.96 Mbits/sec  2.040 ms  2/445 (0.45%)  
[  8]  57.00-58.00  sec   607 KBytes  4.97 Mbits/sec  1.922 ms  4/448 (0.89%)  
[  8]  58.00-59.00  sec   606 KBytes  4.96 Mbits/sec  1.582 ms  4/447 (0.89%)  
[  8]  59.00-60.00  sec   597 KBytes  4.89 Mbits/sec  2.505 ms  7/444 (1.6%)  
[  8]  60.00-60.01  sec  5.47 KBytes  4.38 Mbits/sec  2.558 ms  0/4 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
