ts	iface	rx_bytes	tx_bytes
1787802645.863934753	s10-eth1	6959	7057
1787802645.863934753	s10-eth2	7029	7127
1787802645.863934753	s10-eth3	6959	7127
1787802645.863934753	s10-eth4	6959	7057
1787802645.863934753	s1-eth1	6861	7029
1787802645.863934753	s1-eth10	1562	4603
1787802645.863934753	s1-eth11	1562	4603
1787802645.863934753	s1-eth12	1492	4533
1787802645.863934753	s1-eth13	1492	4708
1787802645.863934753	s1-eth14	1492	4603
1787802645.863934753	s1-eth15	1562	4603
1787802645.863934753	s1-eth16	1562	4533
1787802645.863934753	s1-eth17	1492	4533
1787802645.863934753	s1-eth18	1492	4533
1787802645.863934753	s1-eth19	1492	4603
1787802645.863934753	s1-eth2	5132	6959
1787802645.863934753	s1-eth20	1492	4603
1787802645.863934753	s1-eth21	1562	4533
1787802645.863934753	s1-eth22	1492	4603
1787802645.863934753	s1-eth23	1492	4533
1787802645.863934753	s1-eth24	1492	4533
1787802645.863934753	s1-eth25	1492	4533
1787802645.863934753	s1-eth26	1562	4603
1787802645.863934753	s1-eth27	1492	4533
1787802645.863934753	s1-eth28	1562	4533
1787802645.863934753	s1-eth29	1492	4533
1787802645.863934753	s1-eth3	1492	4533
1787802645.863934753	s1-eth30	1492	4603
1787802645.863934753	s1-eth31	1562	4533
1787802645.863934753	s1-eth32	1562	4533
1787802645.863934753	s1-eth33	1492	4603
1787802645.863934753	s1-eth34	1492	4533
1787802645.863934753	s1-eth4	1492	4533
1787802645.863934753	s1-eth5	1562	4533
1787802645.863934753	s1-eth6	1492	4533
1787802645.863934753	s1-eth7	1562	4533
1787802645.863934753	s1-eth8	1492	4533
1787802645.863934753	s1-eth9	1562	4603
1787802645.863934753	s2-eth1	6959	7029
1787802645.863934753	s2-eth10	1492	4603
1787802645.863934753	s2-eth11	1492	4533
1787802645.863934753	s2-eth12	1492	4603
1787802645.863934753	s2-eth13	1492	4533
1787802645.863934753	s2-eth14	1562	4533
1787802645.863934753	s2-eth15	1492	4533
1787802645.863934753	s2-eth16	1492	4603
1787802645.863934753	s2-eth17	1492	4533
1787802645.863934753	s2-eth18	1562	4603
1787802645.863934753	s2-eth19	1492	4533
1787802645.863934753	s2-eth2	6959	6959
1787802645.863934753	s2-eth20	1492	4603
1787802645.863934753	s2-eth21	1492	4533
1787802645.863934753	s2-eth22	1492	4533
1787802645.863934753	s2-eth23	1492	4533
1787802645.863934753	s2-eth24	1562	4603
1787802645.863934753	s2-eth25	1562	4603
1787802645.863934753	s2-eth26	1492	4603
1787802645.863934753	s2-eth27	1492	4603
1787802645.863934753	s2-eth28	1492	4533
1787802645.863934753	s2-eth29	1492	4314
1787802645.863934753	s2-eth3	1562	4533
1787802645.863934753	s2-eth30	1562	4603
1787802645.863934753	s2-eth31	1562	4533
1787802645.863934753	s2-eth32	1492	4603
1787802645.863934753	s2-eth33	1492	4603
1787802645.863934753	s2-eth34	1492	4603
1787802645.863934753	s2-eth4	1492	4603
1787802645.863934753	s2-eth5	1492	4533
1787802645.863934753	s2-eth6	1492	4603
1787802645.863934753	s2-eth7	1562	4314
1787802645.863934753	s2-eth8	1492	4603
1787802645.863934753	s2-eth9	1492	4533
1787802645.863934753	s3-eth1	6959	6959
1787802645.863934753	s3-eth10	1562	4400
1787802645.863934753	s3-eth11	1562	4533
1787802645.863934753	s3-eth12	1492	4603
1787802645.863934753	s3-eth13	1492	4533
1787802645.863934753	s3-eth14	1492	4533
1787802645.863934753	s3-eth15	1492	4603
1787802645.863934753	s3-eth16	1562	4533
1787802645.863934753	s3-eth17	1562	4533
1787802645.863934753	s3-eth18	1492	4533
1787802645.863934753	s3-eth19	1492	4533
1787802645.863934753	s3-eth2	5335	7029
1787802645.863934753	s3-eth20	1492	4603
1787802645.863934753	s3-eth21	1562	4533
1787802645.863934753	s3-eth22	1492	4533
1787802645.863934753	s3-eth23	1562	4603
1787802645.863934753	s3-eth24	1562	4533
1787802645.863934753	s3-eth25	1492	4533
1787802645.863934753	s3-eth26	1492	4603
1787802645.863934753	s3-eth27	1492	4603
1787802645.863934753	s3-eth28	1492	4533
1787802645.863934753	s3-eth29	1562	4533
1787802645.863934753	s3-eth3	1492	4603
1787802645.863934753	s3-eth30	1562	4533
1787802645.863934753	s3-eth31	1492	4603
1787802645.863934753	s3-eth32	1492	4603
1787802645.863934753	s3-eth33	1562	4603
1787802645.863934753	s3-eth34	1492	4533
1787802645.863934753	s3-eth4	1562	4603
1787802645.863934753	s3-eth5	1492	4533
1787802645.863934753	s3-eth6	1562	4603
1787802645.863934753	s3-eth7	1492	4533
1787802645.863934753	s3-eth8	1492	4533
1787802645.863934753	s3-eth9	1492	4533
1787802645.863934753	s4-eth1	7029	7029
1787802645.863934753	s4-eth10	1492	4533
1787802645.863934753	s4-eth11	1492	4603
1787802645.863934753	s4-eth12	1492	4533
1787802645.863934753	s4-eth13	1492	4603
1787802645.863934753	s4-eth14	1562	4603
1787802645.863934753	s4-eth15	1492	4603
1787802645.863934753	s4-eth16	1492	4533
1787802645.863934753	s4-eth17	1562	4443
1787802645.863934753	s4-eth18	1492	4603
1787802645.863934753	s4-eth19	1492	4533
1787802645.863934753	s4-eth2	6959	7029
1787802645.863934753	s4-eth20	1492	4603
1787802645.863934753	s4-eth21	1492	4603
1787802645.863934753	s4-eth22	1492	4653
1787802645.863934753	s4-eth23	1562	4533
1787802645.863934753	s4-eth24	1492	4533
1787802645.863934753	s4-eth25	1562	4533
1787802645.863934753	s4-eth26	1402	4533
1787802645.863934753	s4-eth27	1492	4533
1787802645.863934753	s4-eth28	1492	4533
1787802645.863934753	s4-eth29	1562	4533
1787802645.863934753	s4-eth3	1492	4603
1787802645.863934753	s4-eth30	1492	4603
1787802645.863934753	s4-eth31	1472	4513
1787802645.863934753	s4-eth32	1562	4533
1787802645.863934753	s4-eth33	1492	4533
1787802645.863934753	s4-eth34	1492	4533
1787802645.863934753	s4-eth4	1492	4603
1787802645.863934753	s4-eth5	1492	4533
1787802645.863934753	s4-eth6	1492	4329
1787802645.863934753	s4-eth7	1492	4533
1787802645.863934753	s4-eth8	1492	4533
1787802645.863934753	s4-eth9	1492	4533
1787802645.863934753	s5-eth1	7029	6861
1787802645.863934753	s5-eth2	7029	6959
1787802645.863934753	s5-eth3	7029	5152
1787802645.863934753	s5-eth4	7057	6959
1787802645.863934753	s6-eth1	6959	5132
1787802645.863934753	s6-eth2	6959	6959
1787802645.863934753	s6-eth3	7029	5132
1787802645.863934753	s6-eth4	7127	7029
1787802645.863934753	s7-eth1	6959	6959
1787802645.863934753	s7-eth2	7029	7029
1787802645.863934753	s7-eth3	5335	6959
1787802645.863934753	s7-eth4	7127	6959
1787802645.863934753	s8-eth1	7029	5335
1787802645.863934753	s8-eth2	7029	6959
1787802645.863934753	s8-eth3	6959	6959
1787802645.863934753	s8-eth4	7057	6959
1787802645.863934753	s9-eth1	5152	7029
1787802645.863934753	s9-eth2	5132	7029
1787802645.863934753	s9-eth3	6959	5335
1787802645.863934753	s9-eth4	6959	6959
1787802648.528726535	s10-eth1	6986	7085
1787802648.528726535	s10-eth2	7056	7155
1787802648.528726535	s10-eth3	6986	7155
1787802648.528726535	s10-eth4	6986	7085
1787802648.528726535	s1-eth1	6888	7056
1787802648.528726535	s1-eth10	1562	4603
1787802648.528726535	s1-eth11	1562	4603
1787802648.528726535	s1-eth12	1492	4533
1787802648.528726535	s1-eth13	1492	4708
1787802648.528726535	s1-eth14	1492	4603
1787802648.528726535	s1-eth15	1562	4603
1787802648.528726535	s1-eth16	1562	4533
1787802648.528726535	s1-eth17	1492	4533
1787802648.528726535	s1-eth18	1492	4533
1787802648.528726535	s1-eth19	1492	4603
1787802648.528726535	s1-eth2	5159	7056
1787802648.528726535	s1-eth20	1492	4603
1787802648.528726535	s1-eth21	1562	4533
1787802648.528726535	s1-eth22	1562	4603
1787802648.528726535	s1-eth23	1492	4533
1787802648.528726535	s1-eth24	1492	4533
1787802648.528726535	s1-eth25	1492	4533
1787802648.528726535	s1-eth26	1562	4603
1787802648.528726535	s1-eth27	1562	4533
1787802648.528726535	s1-eth28	1562	4533
1787802648.528726535	s1-eth29	1492	4533
1787802648.528726535	s1-eth3	1492	4533
1787802648.528726535	s1-eth30	1492	4603
1787802648.528726535	s1-eth31	1562	4533
1787802648.528726535	s1-eth32	1562	4533
1787802648.528726535	s1-eth33	1492	4603
1787802648.528726535	s1-eth34	1492	4533
1787802648.528726535	s1-eth4	1492	4533
1787802648.528726535	s1-eth5	1562	4533
1787802648.528726535	s1-eth6	1492	4533
1787802648.528726535	s1-eth7	1562	4533
1787802648.528726535	s1-eth8	1492	4533
1787802648.528726535	s1-eth9	1562	4603
1787802648.528726535	s2-eth1	6986	7056
1787802648.528726535	s2-eth10	1492	4603
1787802648.528726535	s2-eth11	1492	4533
1787802648.528726535	s2-eth12	1492	4603
1787802648.528726535	s2-eth13	1492	4533
1787802648.528726535	s2-eth14	1562	4533
1787802648.528726535	s2-eth15	1492	4533
1787802648.528726535	s2-eth16	1492	4603
1787802648.528726535	s2-eth17	1492	4533
1787802648.528726535	s2-eth18	1562	4603
1787802648.528726535	s2-eth19	1492	4533
1787802648.528726535	s2-eth2	6986	6986
1787802648.528726535	s2-eth20	1492	4603
1787802648.528726535	s2-eth21	1492	4603
1787802648.528726535	s2-eth22	1492	4533
1787802648.528726535	s2-eth23	1492	4533
1787802648.528726535	s2-eth24	1562	4603
1787802648.528726535	s2-eth25	1562	4603
1787802648.528726535	s2-eth26	1492	4603
1787802648.528726535	s2-eth27	1492	4603
1787802648.528726535	s2-eth28	1492	4603
1787802648.528726535	s2-eth29	1492	4314
1787802648.528726535	s2-eth3	1562	4533
1787802648.528726535	s2-eth30	1562	4603
1787802648.528726535	s2-eth31	1562	4533
1787802648.528726535	s2-eth32	1492	4603
1787802648.528726535	s2-eth33	1492	4603
1787802648.528726535	s2-eth34	1492	4603
1787802648.528726535	s2-eth4	1492	4603
1787802648.528726535	s2-eth5	1492	4533
1787802648.528726535	s2-eth6	1492	4603
1787802648.528726535	s2-eth7	1562	4314
1787802648.528726535	s2-eth8	1492	4603
1787802648.528726535	s2-eth9	1492	4533
1787802648.528726535	s3-eth1	6986	6986
1787802648.528726535	s3-eth10	1562	4400
1787802648.528726535	s3-eth11	1562	4603
1787802648.528726535	s3-eth12	1492	4603
1787802648.528726535	s3-eth13	1492	4533
1787802648.528726535	s3-eth14	1492	4533
1787802648.528726535	s3-eth15	1492	4603
1787802648.528726535	s3-eth16	1562	4533
1787802648.528726535	s3-eth17	1562	4533
1787802648.528726535	s3-eth18	1492	4533
1787802648.528726535	s3-eth19	1492	4533
1787802648.528726535	s3-eth2	5362	7056
1787802648.528726535	s3-eth20	1492	4603
1787802648.528726535	s3-eth21	1562	4533
1787802648.528726535	s3-eth22	1492	4533
1787802648.528726535	s3-eth23	1562	4603
1787802648.528726535	s3-eth24	1562	4533
1787802648.528726535	s3-eth25	1492	4533
1787802648.528726535	s3-eth26	1492	4603
1787802648.528726535	s3-eth27	1492	4603
1787802648.528726535	s3-eth28	1492	4533
1787802648.528726535	s3-eth29	1562	4533
1787802648.528726535	s3-eth3	1492	4603
1787802648.528726535	s3-eth30	1562	4533
1787802648.528726535	s3-eth31	1492	4603
1787802648.528726535	s3-eth32	1492	4603
1787802648.528726535	s3-eth33	1562	4603
1787802648.528726535	s3-eth34	1562	4533
1787802648.528726535	s3-eth4	1562	4603
1787802648.528726535	s3-eth5	1492	4533
1787802648.528726535	s3-eth6	1562	4603
1787802648.528726535	s3-eth7	1492	4533
1787802648.528726535	s3-eth8	1492	4533
1787802648.528726535	s3-eth9	1492	4533
1787802648.528726535	s4-eth1	7056	7056
1787802648.528726535	s4-eth10	1492	4533
1787802648.528726535	s4-eth11	1492	4603
1787802648.528726535	s4-eth12	1492	4533
1787802648.528726535	s4-eth13	1562	4603
1787802648.528726535	s4-eth14	1562	4603
1787802648.528726535	s4-eth15	1492	4603
1787802648.528726535	s4-eth16	1562	4533
1787802648.528726535	s4-eth17	1562	4443
1787802648.528726535	s4-eth18	1492	4603
1787802648.528726535	s4-eth19	1492	4533
1787802648.528726535	s4-eth2	6986	7056
1787802648.528726535	s4-eth20	1492	4603
1787802648.528726535	s4-eth21	1492	4603
1787802648.528726535	s4-eth22	1492	4653
1787802648.528726535	s4-eth23	1562	4533
1787802648.528726535	s4-eth24	1492	4533
1787802648.528726535	s4-eth25	1562	4533
1787802648.528726535	s4-eth26	1402	4533
1787802648.528726535	s4-eth27	1492	4533
1787802648.528726535	s4-eth28	1492	4533
1787802648.528726535	s4-eth29	1562	4533
1787802648.528726535	s4-eth3	1492	4603
1787802648.528726535	s4-eth30	1492	4603
1787802648.528726535	s4-eth31	1472	4513
1787802648.528726535	s4-eth32	1562	4533
1787802648.528726535	s4-eth33	1492	4533
1787802648.528726535	s4-eth34	1492	4533
1787802648.528726535	s4-eth4	1492	4603
1787802648.528726535	s4-eth5	1492	4533
1787802648.528726535	s4-eth6	1492	4329
1787802648.528726535	s4-eth7	1492	4533
1787802648.528726535	s4-eth8	1492	4533
1787802648.528726535	s4-eth9	1492	4533
1787802648.528726535	s5-eth1	7056	6888
1787802648.528726535	s5-eth2	7056	6986
1787802648.528726535	s5-eth3	7056	5179
1787802648.528726535	s5-eth4	7085	6986
1787802648.528726535	s6-eth1	7056	5159
1787802648.528726535	s6-eth2	6986	6986
1787802648.528726535	s6-eth3	7056	5159
1787802648.528726535	s6-eth4	7155	7056
1787802648.528726535	s7-eth1	6986	6986
1787802648.528726535	s7-eth2	7056	7056
1787802648.528726535	s7-eth3	5362	6986
1787802648.528726535	s7-eth4	7155	6986
1787802648.528726535	s8-eth1	7056	5362
1787802648.528726535	s8-eth2	7056	6986
1787802648.528726535	s8-eth3	6986	6986
1787802648.528726535	s8-eth4	7085	6986
1787802648.528726535	s9-eth1	5179	7056
1787802648.528726535	s9-eth2	5159	7056
1787802648.528726535	s9-eth3	6986	5362
1787802648.528726535	s9-eth4	6986	6986
1787802651.188789103	s10-eth1	6986	7085
1787802651.188789103	s10-eth2	7056	7155
1787802651.188789103	s10-eth3	6986	7155
1787802651.188789103	s10-eth4	6986	7085
1787802651.188789103	s1-eth1	6888	7056
1787802651.188789103	s1-eth10	1562	4603
1787802651.188789103	s1-eth11	1562	4603
1787802651.188789103	s1-eth12	1492	4533
1787802651.188789103	s1-eth13	1492	4708
1787802651.188789103	s1-eth14	1492	4603
1787802651.188789103	s1-eth15	1562	4603
1787802651.188789103	s1-eth16	1562	4533
1787802651.188789103	s1-eth17	1492	4533
1787802651.188789103	s1-eth18	1492	4533
1787802651.188789103	s1-eth19	1492	4603
1787802651.188789103	s1-eth2	5159	7056
1787802651.188789103	s1-eth20	1492	4603
1787802651.188789103	s1-eth21	1562	4533
1787802651.188789103	s1-eth22	1562	4603
1787802651.188789103	s1-eth23	1492	4533
1787802651.188789103	s1-eth24	1492	4533
1787802651.188789103	s1-eth25	1492	4533
1787802651.188789103	s1-eth26	1562	4603
1787802651.188789103	s1-eth27	1562	4533
1787802651.188789103	s1-eth28	1562	4533
1787802651.188789103	s1-eth29	1492	4533
1787802651.188789103	s1-eth3	1492	4533
1787802651.188789103	s1-eth30	1492	4603
1787802651.188789103	s1-eth31	1562	4533
1787802651.188789103	s1-eth32	1562	4533
1787802651.188789103	s1-eth33	1492	4603
1787802651.188789103	s1-eth34	1492	4533
1787802651.188789103	s1-eth4	1492	4533
1787802651.188789103	s1-eth5	1562	4533
1787802651.188789103	s1-eth6	1492	4533
1787802651.188789103	s1-eth7	1562	4533
1787802651.188789103	s1-eth8	1492	4603
1787802651.188789103	s1-eth9	1562	4603
1787802651.188789103	s2-eth1	6986	7056
1787802651.188789103	s2-eth10	1492	4603
1787802651.188789103	s2-eth11	1492	4533
1787802651.188789103	s2-eth12	1492	4603
1787802651.188789103	s2-eth13	1492	4603
1787802651.188789103	s2-eth14	1562	4533
1787802651.188789103	s2-eth15	1492	4533
1787802651.188789103	s2-eth16	1492	4603
1787802651.188789103	s2-eth17	1492	4533
1787802651.188789103	s2-eth18	1562	4603
1787802651.188789103	s2-eth19	1492	4533
1787802651.188789103	s2-eth2	6986	6986
1787802651.188789103	s2-eth20	1492	4603
1787802651.188789103	s2-eth21	1492	4603
1787802651.188789103	s2-eth22	1492	4533
1787802651.188789103	s2-eth23	1562	4533
1787802651.188789103	s2-eth24	1562	4603
1787802651.188789103	s2-eth25	1562	4603
1787802651.188789103	s2-eth26	1492	4603
1787802651.188789103	s2-eth27	1492	4603
1787802651.188789103	s2-eth28	1492	4603
1787802651.188789103	s2-eth29	1492	4314
1787802651.188789103	s2-eth3	1562	4533
1787802651.188789103	s2-eth30	1562	4603
1787802651.188789103	s2-eth31	1562	4603
1787802651.188789103	s2-eth32	1492	4603
1787802651.188789103	s2-eth33	1492	4603
1787802651.188789103	s2-eth34	1492	4603
1787802651.188789103	s2-eth4	1492	4603
1787802651.188789103	s2-eth5	1492	4533
1787802651.188789103	s2-eth6	1492	4603
1787802651.188789103	s2-eth7	1562	4314
1787802651.188789103	s2-eth8	1492	4603
1787802651.188789103	s2-eth9	1492	4533
1787802651.188789103	s3-eth1	6986	6986
1787802651.188789103	s3-eth10	1562	4400
1787802651.188789103	s3-eth11	1562	4603
1787802651.188789103	s3-eth12	1492	4603
1787802651.188789103	s3-eth13	1492	4533
1787802651.188789103	s3-eth14	1492	4533
1787802651.188789103	s3-eth15	1492	4603
1787802651.188789103	s3-eth16	1562	4533
1787802651.188789103	s3-eth17	1562	4533
1787802651.188789103	s3-eth18	1492	4533
1787802651.188789103	s3-eth19	1492	4533
1787802651.188789103	s3-eth2	5362	7056
1787802651.188789103	s3-eth20	1562	4603
1787802651.188789103	s3-eth21	1562	4533
1787802651.188789103	s3-eth22	1492	4533
1787802651.188789103	s3-eth23	1562	4603
1787802651.188789103	s3-eth24	1562	4533
1787802651.188789103	s3-eth25	1492	4533
1787802651.188789103	s3-eth26	1492	4603
1787802651.188789103	s3-eth27	1492	4603
1787802651.188789103	s3-eth28	1492	4533
1787802651.188789103	s3-eth29	1562	4533
1787802651.188789103	s3-eth3	1492	4603
1787802651.188789103	s3-eth30	1562	4533
1787802651.188789103	s3-eth31	1492	4603
1787802651.188789103	s3-eth32	1492	4603
1787802651.188789103	s3-eth33	1562	4603
1787802651.188789103	s3-eth34	1562	4533
1787802651.188789103	s3-eth4	1562	4603
1787802651.188789103	s3-eth5	1492	4533
1787802651.188789103	s3-eth6	1562	4603
