-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.93, port 55380
[  8] local 10.0.0.125 port 5201 connected to 10.0.0.93 port 39698
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   596 KBytes  4.88 Mbits/sec  1.284 ms  0/436 (0%)  
[  8]   1.00-2.00   sec   610 KBytes  5.00 Mbits/sec  1.975 ms  0/446 (0%)  
[  8]   2.00-3.00   sec   610 KBytes  5.00 Mbits/sec  1.917 ms  1/447 (0.22%)  
[  8]   3.00-4.00   sec   614 KBytes  5.01 Mbits/sec  1.505 ms  0/449 (0%)  
[  8]   4.00-5.00   sec   608 KBytes  5.00 Mbits/sec  1.798 ms  0/445 (0%)  
[  8]   5.00-6.00   sec   584 KBytes  4.78 Mbits/sec  4.264 ms  0/427 (0%)  
[  8]   6.00-7.00   sec   632 KBytes  5.17 Mbits/sec  1.339 ms  3/465 (0.65%)  
[  8]   7.00-8.00   sec   614 KBytes  5.03 Mbits/sec  1.524 ms  0/449 (0%)  
[  8]   8.00-9.00   sec   608 KBytes  4.98 Mbits/sec  1.879 ms  0/445 (0%)  
[  8]   9.00-10.00  sec   611 KBytes  5.01 Mbits/sec  1.500 ms  0/447 (0%)  
[  8]  10.00-11.00  sec   610 KBytes  5.00 Mbits/sec  0.935 ms  0/446 (0%)  
[  8]  11.00-12.00  sec   610 KBytes  5.00 Mbits/sec  1.578 ms  0/446 (0%)  
[  8]  12.00-13.00  sec   611 KBytes  5.01 Mbits/sec  1.633 ms  0/447 (0%)  
[  8]  13.00-14.00  sec   611 KBytes  5.01 Mbits/sec  1.678 ms  0/447 (0%)  
[  8]  14.00-15.00  sec   610 KBytes  4.99 Mbits/sec  0.787 ms  0/446 (0%)  
[  8]  15.00-16.00  sec   610 KBytes  5.00 Mbits/sec  1.465 ms  0/446 (0%)  
[  8]  16.00-17.00  sec   604 KBytes  4.95 Mbits/sec  2.143 ms  0/442 (0%)  
[  8]  17.00-18.00  sec   618 KBytes  5.06 Mbits/sec  0.448 ms  0/452 (0%)  
[  8]  18.00-19.00  sec   610 KBytes  5.00 Mbits/sec  1.986 ms  0/446 (0%)  
[  8]  19.00-20.00  sec   610 KBytes  5.00 Mbits/sec  2.431 ms  0/446 (0%)  
[  8]  20.00-21.00  sec   611 KBytes  5.00 Mbits/sec  0.840 ms  0/447 (0%)  
[  8]  21.00-22.00  sec   610 KBytes  5.00 Mbits/sec  1.477 ms  0/446 (0%)  
[  8]  22.00-23.00  sec   610 KBytes  5.00 Mbits/sec  0.910 ms  0/446 (0%)  
[  8]  23.00-24.00  sec   612 KBytes  5.02 Mbits/sec  0.737 ms  0/448 (0%)  
[  8]  24.00-25.00  sec   607 KBytes  4.97 Mbits/sec  1.530 ms  0/444 (0%)  
[  8]  25.00-26.00  sec   612 KBytes  5.02 Mbits/sec  1.861 ms  0/448 (0%)  
[  8]  26.00-27.00  sec   610 KBytes  5.00 Mbits/sec  1.609 ms  0/446 (0%)  
[  8]  27.00-28.00  sec   610 KBytes  5.00 Mbits/sec  0.678 ms  0/446 (0%)  
[  8]  28.00-29.00  sec   611 KBytes  5.01 Mbits/sec  0.866 ms  0/447 (0%)  
[  8]  29.00-30.00  sec   611 KBytes  5.01 Mbits/sec  1.499 ms  0/447 (0%)  
[  8]  30.00-31.00  sec   608 KBytes  4.98 Mbits/sec  1.212 ms  0/445 (0%)  
[  8]  31.00-32.00  sec   611 KBytes  5.01 Mbits/sec  1.099 ms  0/447 (0%)  
[  8]  32.00-33.00  sec   593 KBytes  4.86 Mbits/sec  1.560 ms  0/434 (0%)  
[  8]  33.00-34.00  sec   628 KBytes  5.14 Mbits/sec  1.918 ms  0/459 (0%)  
[  8]  34.00-35.00  sec   611 KBytes  5.01 Mbits/sec  1.434 ms  0/447 (0%)  
[  8]  35.00-36.00  sec   610 KBytes  5.00 Mbits/sec  1.585 ms  0/446 (0%)  
[  8]  36.00-37.00  sec   610 KBytes  5.00 Mbits/sec  2.360 ms  0/446 (0%)  
[  8]  37.00-38.00  sec   611 KBytes  5.01 Mbits/sec  0.696 ms  0/447 (0%)  
