-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.25, port 52952
[  8] local 10.0.0.57 port 5201 connected to 10.0.0.25 port 45617
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   600 KBytes  4.92 Mbits/sec  1.057 ms  6/445 (1.3%)  
[  8]   1.00-2.00   sec   610 KBytes  5.00 Mbits/sec  1.272 ms  0/446 (0%)  
[  8]   2.00-3.00   sec   603 KBytes  4.94 Mbits/sec  2.073 ms  5/446 (1.1%)  
[  8]   3.00-4.00   sec   612 KBytes  5.02 Mbits/sec  1.345 ms  0/448 (0%)  
[  8]   4.00-5.00   sec   604 KBytes  4.95 Mbits/sec  1.544 ms  4/446 (0.9%)  
[  8]   5.00-6.00   sec   599 KBytes  4.91 Mbits/sec  1.024 ms  8/446 (1.8%)  
[  8]   6.00-7.00   sec   608 KBytes  4.98 Mbits/sec  0.608 ms  1/446 (0.22%)  
[  8]   7.00-8.00   sec   611 KBytes  5.01 Mbits/sec  1.759 ms  0/447 (0%)  
[  8]   8.00-9.00   sec   606 KBytes  4.96 Mbits/sec  1.889 ms  2/445 (0.45%)  
[  8]   9.00-10.00  sec   604 KBytes  4.95 Mbits/sec  1.411 ms  6/448 (1.3%)  
[  8]  10.00-11.00  sec   610 KBytes  5.00 Mbits/sec  0.832 ms  0/446 (0%)  
[  8]  11.00-12.00  sec   611 KBytes  5.01 Mbits/sec  1.262 ms  0/447 (0%)  
[  8]  12.00-13.00  sec   608 KBytes  4.98 Mbits/sec  1.335 ms  1/446 (0.22%)  
[  8]  13.00-14.00  sec   608 KBytes  4.98 Mbits/sec  1.490 ms  0/445 (0%)  
[  8]  14.00-15.00  sec   611 KBytes  5.01 Mbits/sec  0.717 ms  1/448 (0.22%)  
[  8]  15.00-16.00  sec   611 KBytes  5.01 Mbits/sec  1.564 ms  0/447 (0%)  
[  8]  16.00-17.00  sec   607 KBytes  4.97 Mbits/sec  1.637 ms  2/446 (0.45%)  
[  8]  17.00-18.00  sec   606 KBytes  4.96 Mbits/sec  1.880 ms  1/444 (0.23%)  
[  8]  18.00-19.00  sec   596 KBytes  4.88 Mbits/sec  1.843 ms  12/448 (2.7%)  
[  8]  19.00-20.00  sec   606 KBytes  4.96 Mbits/sec  1.542 ms  3/446 (0.67%)  
[  8]  20.00-21.00  sec   604 KBytes  4.95 Mbits/sec  2.098 ms  5/447 (1.1%)  
[  8]  21.00-22.00  sec   607 KBytes  4.97 Mbits/sec  1.488 ms  3/447 (0.67%)  
[  8]  22.00-23.00  sec   604 KBytes  4.95 Mbits/sec  1.089 ms  4/446 (0.9%)  
[  8]  23.00-24.00  sec   602 KBytes  4.93 Mbits/sec  1.370 ms  7/447 (1.6%)  
[  8]  24.00-25.00  sec   610 KBytes  5.00 Mbits/sec  1.778 ms  0/446 (0%)  
[  8]  25.00-26.00  sec   608 KBytes  4.98 Mbits/sec  1.262 ms  1/446 (0.22%)  
[  8]  26.00-27.00  sec   608 KBytes  4.98 Mbits/sec  1.810 ms  1/446 (0.22%)  
[  8]  27.00-28.00  sec   608 KBytes  4.98 Mbits/sec  1.906 ms  1/446 (0.22%)  
