ts	iface	rx_bytes	tx_bytes
1787881665.689548242	s10-eth1	314436	328372
1787881665.689548242	s10-eth2	317075	328497
1787881665.689548242	s10-eth3	317075	328274
1787881665.689548242	s10-eth4	317075	328442
1787881665.689548242	s1-eth1	35154228	25859540974
1787881665.689548242	s1-eth10	23883427	403781
1787881665.689548242	s1-eth11	2742990219	254617
1787881665.689548242	s1-eth12	269904400	622738
1787881665.689548242	s1-eth13	32263380	290390
1787881665.689548242	s1-eth14	266500209	588940
1787881665.689548242	s1-eth15	1698165784	2183830
1787881665.689548242	s1-eth16	304021108	1223701
1787881665.689548242	s1-eth17	123668202	1798907
1787881665.689548242	s1-eth18	218880992	12162
1787881665.689548242	s1-eth19	7904014890	476980
1787881665.689548242	s1-eth2	317075	741016344
1787881665.689548242	s1-eth20	341899098	1424286
1787881665.689548242	s1-eth21	367786467	2107072
1787881665.689548242	s1-eth22	51675064	550974
1787881665.689548242	s1-eth23	1787892333	813441
1787881665.689548242	s1-eth24	259888392	424540
1787881665.689548242	s1-eth25	145272950	1960718
1787881665.689548242	s1-eth26	329116813	1400644
1787881665.689548242	s1-eth27	1844921471	872501
1787881665.689548242	s1-eth28	49385285	811527
1787881665.689548242	s1-eth29	46508034	719664
1787881665.689548242	s1-eth3	8382590992	4972826
1787881665.689548242	s1-eth30	38132834	643388
1787881665.689548242	s1-eth31	1766257795	512947
1787881665.689548242	s1-eth32	263428294	647407
1787881665.689548242	s1-eth33	76051062	1184356
1787881665.689548242	s1-eth34	51916572	648227
1787881665.689548242	s1-eth4	281298674	786018
1787881665.689548242	s1-eth5	294042513	1028207
1787881665.689548242	s1-eth6	273202380	711046
1787881665.689548242	s1-eth7	1899729996	2105271
1787881665.689548242	s1-eth8	338130695	1728684
1787881665.689548242	s1-eth9	94993656	1256595
1787881665.689548242	s2-eth1	11529661705	9378121600
1787881665.689548242	s2-eth10	283443596	833335
1787881665.689548242	s2-eth11	2820077330	2622941
1787881665.689548242	s2-eth12	55115679	957626
1787881665.689548242	s2-eth13	64046328	815611
1787881665.689548242	s2-eth14	37882837	367407
1787881665.689548242	s2-eth15	1659122019	1837632
1787881665.689548242	s2-eth16	336700806	1688145
1787881665.689548242	s2-eth17	337794338	1698340
1787881665.689548242	s2-eth18	248788317	544192
1787881665.689548242	s2-eth19	469531	5442324543
1787881665.689548242	s2-eth2	203017475	317075
1787881665.689548242	s2-eth20	1418560	180168306
1787881665.689548242	s2-eth21	2100061	200646461
1787881665.689548242	s2-eth22	543844	38244832
1787881665.689548242	s2-eth23	806557	1545357438
1787881665.689548242	s2-eth24	417363	92406560
1787881665.689548242	s2-eth25	1956211	130741339
1787881665.689548242	s2-eth26	1394245	160383967
1787881665.689548242	s2-eth27	865241	1603343458
1787881665.689548242	s2-eth28	804616	46583164
1787881665.689548242	s2-eth29	712427	45278267
1787881665.689548242	s2-eth3	1394658066	831852
1787881665.689548242	s2-eth30	636097	36401912
1787881665.689548242	s2-eth31	506405	1525940964
1787881665.689548242	s2-eth32	639907	104674965
1787881665.689548242	s2-eth33	1181130	73211909
1787881665.689548242	s2-eth34	641157	37878978
1787881665.689548242	s2-eth4	254269200	353150
1787881665.689548242	s2-eth5	345909465	1899054
1787881665.689548242	s2-eth6	345071821	1769435
1787881665.689548242	s2-eth7	1803896953	434652
1787881665.689548242	s2-eth8	276081320	687461
1787881665.689548242	s2-eth9	271835566	627896
1787881665.689548242	s3-eth1	11681738027	9747891531
1787881665.689548242	s3-eth10	397104	22635014
1787881665.689548242	s3-eth11	248114	1600270112
1787881665.689548242	s3-eth12	615186	84484179
1787881665.689548242	s3-eth13	282729	17391600
1787881665.689548242	s3-eth14	581703	79952334
1787881665.689548242	s3-eth15	2178807	1445498340
1787881665.689548242	s3-eth16	1217827	114307211
1787881665.689548242	s3-eth17	1797962	105872794
