ts	iface	rx_bytes	tx_bytes
1787820782.782954187	s10-eth1	8580	10823
1787820782.782954187	s10-eth2	10610	10948
1787820782.782954187	s10-eth3	10540	10725
1787820782.782954187	s10-eth4	10610	10823
1787820782.782954187	s1-eth1	3805693	5207022327
1787820782.782954187	s1-eth10	1562	5079
1787820782.782954187	s1-eth11	457064800	9353
1787820782.782954187	s1-eth12	1472	5009
1787820782.782954187	s1-eth13	1542	5079
1787820782.782954187	s1-eth14	1632	5079
1787820782.782954187	s1-eth15	238194288	8208
1787820782.782954187	s1-eth16	1542	5099
1787820782.782954187	s1-eth17	1632	5009
1787820782.782954187	s1-eth18	1632	4919
1787820782.782954187	s1-eth19	1828248971	8974
1787820782.782954187	s1-eth2	10610	10610
1787820782.782954187	s1-eth20	1472	5079
1787820782.782954187	s1-eth21	1632	5079
1787820782.782954187	s1-eth22	1562	5009
1787820782.782954187	s1-eth23	457069984	8828
1787820782.782954187	s1-eth24	1472	5079
1787820782.782954187	s1-eth25	1632	5009
1787820782.782954187	s1-eth26	1632	4989
1787820782.782954187	s1-eth27	457062634	9192
1787820782.782954187	s1-eth28	1562	5079
1787820782.782954187	s1-eth29	1542	4989
1787820782.782954187	s1-eth3	2038939955	3773266
1787820782.782954187	s1-eth30	1562	4919
1787820782.782954187	s1-eth31	457069839	8829
1787820782.782954187	s1-eth32	1632	4919
1787820782.782954187	s1-eth33	1562	4989
1787820782.782954187	s1-eth34	1632	4989
1787820782.782954187	s1-eth4	1828	5275
1787820782.782954187	s1-eth5	1562	4989
1787820782.782954187	s1-eth6	1632	5009
1787820782.782954187	s1-eth7	457066306	8961
1787820782.782954187	s1-eth8	1632	4919
1787820782.782954187	s1-eth9	1542	4919
1787820782.782954187	s2-eth1	2341735459	1243750559
1787820782.782954187	s2-eth10	1542	5079
1787820782.782954187	s2-eth11	457070785	9332
1787820782.782954187	s2-eth12	1472	5009
1787820782.782954187	s2-eth13	1542	5079
1787820782.782954187	s2-eth14	1632	5079
1787820782.782954187	s2-eth15	238190000	8342
1787820782.782954187	s2-eth16	1632	5009
1787820782.782954187	s2-eth17	1632	5009
1787820782.782954187	s2-eth18	1632	5079
1787820782.782954187	s2-eth19	5437	1179030428
1787820782.782954187	s2-eth2	10512	10610
