ts	iface	rx_bytes	tx_bytes
1787819956.709031349	s10-eth1	3985	5454
1787819956.709031349	s10-eth2	5406	5579
1787819956.709031349	s10-eth3	5336	5356
1787819956.709031349	s10-eth4	5336	5384
1787819956.709031349	s1-eth1	3779862	470312138
1787819956.709031349	s1-eth10	1422	4330
1787819956.709031349	s1-eth11	19315667	5509
1787819956.709031349	s1-eth12	1332	4260
1787819956.709031349	s1-eth13	1332	4330
1787819956.709031349	s1-eth14	1492	4260
1787819956.709031349	s1-eth15	19316076	5669
1787819956.709031349	s1-eth16	1402	4280
1787819956.709031349	s1-eth17	1492	4260
1787819956.709031349	s1-eth18	1422	4170
1787819956.709031349	s1-eth19	77252476	5642
1787819956.709031349	s1-eth2	5406	5406
1787819956.709031349	s1-eth20	1332	4330
1787819956.709031349	s1-eth21	1422	4330
1787819956.709031349	s1-eth22	1422	4260
1787819956.709031349	s1-eth23	19315727	5507
1787819956.709031349	s1-eth24	1402	4330
1787819956.709031349	s1-eth25	1422	4260
1787819956.709031349	s1-eth26	1422	4170
1787819956.709031349	s1-eth27	19308300	5581
1787819956.709031349	s1-eth28	1422	4330
1787819956.709031349	s1-eth29	1402	4170
1787819956.709031349	s1-eth3	287950593	3769941
1787819956.709031349	s1-eth30	1422	4170
1787819956.709031349	s1-eth31	19315510	5510
1787819956.709031349	s1-eth32	1422	4170
1787819956.709031349	s1-eth33	1422	4170
1787819956.709031349	s1-eth34	1492	4240
1787819956.709031349	s1-eth4	1688	4526
1787819956.709031349	s1-eth5	1422	4170
1787819956.709031349	s1-eth6	1492	4260
1787819956.709031349	s1-eth7	19315971	5563
1787819956.709031349	s1-eth8	1422	4170
1787819956.709031349	s1-eth9	1402	4170
1787819956.709031349	s2-eth1	123967344	61799258
1787819956.709031349	s2-eth10	1402	4330
1787819956.709031349	s2-eth11	19316377	5785
1787819956.709031349	s2-eth12	1332	4330
1787819956.709031349	s2-eth13	1402	4330
1787819956.709031349	s2-eth14	1422	4260
1787819956.709031349	s2-eth15	19311699	5718
1787819956.709031349	s2-eth16	1422	4260
1787819956.709031349	s2-eth17	1492	4260
1787819956.709031349	s2-eth18	1422	4330
1787819956.709031349	s2-eth19	2644	68663588
1787819956.709031349	s2-eth2	5238	5406
1787819956.709031349	s2-eth20	1492	4330
1787819956.709031349	s2-eth21	1402	4170
1787819956.709031349	s2-eth22	1422	4330
1787819956.709031349	s2-eth23	2739	18061141
1787819956.709031349	s2-eth24	1402	4260
1787819956.709031349	s2-eth25	1422	4260
