ts	iface	rx_bytes	tx_bytes
1787821231.018637761	s10-eth1	10983	13315
1787821231.018637761	s10-eth2	13013	13440
1787821231.018637761	s10-eth3	13013	13217
1787821231.018637761	s10-eth4	13013	13315
1787821231.018637761	s1-eth1	3819397	6481692467
1787821231.018637761	s1-eth10	1632	5079
1787821231.018637761	s1-eth11	675929230	10750
1787821231.018637761	s1-eth12	1542	5079
1787821231.018637761	s1-eth13	1542	5079
1787821231.018637761	s1-eth14	1632	5079
1787821231.018637761	s1-eth15	457052874	9671
1787821231.018637761	s1-eth16	1542	5099
1787821231.018637761	s1-eth17	1632	5079
1787821231.018637761	s1-eth18	1632	4989
1787821231.018637761	s1-eth19	2703749479	10227
1787821231.018637761	s1-eth2	13013	13013
1787821231.018637761	s1-eth20	1542	5079
1787821231.018637761	s1-eth21	1632	5079
1787821231.018637761	s1-eth22	1632	5079
1787821231.018637761	s1-eth23	675928262	10153
1787821231.018637761	s1-eth24	1542	5079
1787821231.018637761	s1-eth25	1632	5079
1787821231.018637761	s1-eth26	1632	4989
1787821231.018637761	s1-eth27	675937284	10733
1787821231.018637761	s1-eth28	1632	5079
1787821231.018637761	s1-eth29	1542	4989
1787821231.018637761	s1-eth3	2914440331	3774521
1787821231.018637761	s1-eth30	1632	4989
1787821231.018637761	s1-eth31	675930085	10508
1787821231.018637761	s1-eth32	1632	4989
1787821231.018637761	s1-eth33	1632	4989
1787821231.018637761	s1-eth34	1632	4989
1787821231.018637761	s1-eth4	1828	5275
1787821231.018637761	s1-eth5	1632	4989
1787821231.018637761	s1-eth6	1632	5079
1787821231.018637761	s1-eth7	675936580	10559
1787821231.018637761	s1-eth8	1632	4989
1787821231.018637761	s1-eth9	1542	4989
1787821231.018637761	s2-eth1	2839916721	1921688360
1787821231.018637761	s2-eth10	1542	5079
1787821231.018637761	s2-eth11	675947741	10584
1787821231.018637761	s2-eth12	1542	5079
1787821231.018637761	s2-eth13	1542	5079
1787821231.018637761	s2-eth14	1632	5079
1787821231.018637761	s2-eth15	457066887	9595
1787821231.018637761	s2-eth16	1632	5079
1787821231.018637761	s2-eth17	1632	5079
1787821231.018637761	s2-eth18	1632	5079
1787821231.018637761	s2-eth19	6690	1313155339
1787821231.018637761	s2-eth2	12915	13013
1787821231.018637761	s2-eth20	1632	5079
1787821231.018637761	s2-eth21	1542	4989
1787821231.018637761	s2-eth22	1632	5079
1787821231.018637761	s2-eth23	6706	472729261
1787821231.018637761	s2-eth24	1542	5079
1787821231.018637761	s2-eth25	1632	5079
1787821231.018637761	s2-eth26	1542	5079
1787821231.018637761	s2-eth27	7196	473097565
1787821231.018637761	s2-eth28	1632	5079
1787821231.018637761	s2-eth29	1542	5079
1787821231.018637761	s2-eth3	135199362	10788
1787821231.018637761	s2-eth30	1542	5184
1787821231.018637761	s2-eth31	7061	472946099
1787821231.018637761	s2-eth32	1542	4989
1787821231.018637761	s2-eth33	1632	5079
1787821231.018637761	s2-eth34	1632	4989
1787821231.018637761	s2-eth4	1632	5079
1787821231.018637761	s2-eth5	1542	5079
1787821231.018637761	s2-eth6	1632	4989
1787821231.018637761	s2-eth7	675921502	10516
1787821231.018637761	s2-eth8	1632	4989
1787821231.018637761	s2-eth9	1542	5079
1787821231.018637761	s3-eth1	2732641915	2142786456
1787821231.018637761	s3-eth10	1542	5079
1787821231.018637761	s3-eth11	7053	454030440
