ts	iface	rx_bytes	tx_bytes
1787840914.131107472	s10-eth1	91410	97267
1787840914.131107472	s10-eth2	94049	97392
1787840914.131107472	s10-eth3	94049	97169
1787840914.131107472	s10-eth4	94049	97267
1787840914.131107472	s1-eth1	3972251	12739581349
1787840914.131107472	s1-eth10	4476	8471
1787840914.131107472	s1-eth11	1879749738	19617
1787840914.131107472	s1-eth12	218879801	9184
1787840914.131107472	s1-eth13	3332	8155
1787840914.131107472	s1-eth14	218879928	8717
1787840914.131107472	s1-eth15	771211256	17324
1787840914.131107472	s1-eth16	218879533	8771
1787840914.131107472	s1-eth17	4454	7987
1787840914.131107472	s1-eth18	218878492	8757
1787840914.131107472	s1-eth19	4672333444	19063
1787840914.131107472	s1-eth2	94049	740793318
1787840914.131107472	s1-eth20	218876104	8848
1787840914.131107472	s1-eth21	218879366	8705
1787840914.131107472	s1-eth22	3426	7789
1787840914.131107472	s1-eth23	946310865	17225
1787840914.131107472	s1-eth24	218879421	8652
1787840914.131107472	s1-eth25	3722	8065
1787840914.131107472	s1-eth26	218879405	8484
1787840914.131107472	s1-eth27	1004259066	18873
1787840914.131107472	s1-eth28	3797	8145
1787840914.131107472	s1-eth29	4093	8130
1787840914.131107472	s1-eth3	5103194199	3783142
1787840914.131107472	s1-eth30	3405	7710
1787840914.131107472	s1-eth31	946310961	17094
1787840914.131107472	s1-eth32	218879453	8613
1787840914.131107472	s1-eth33	3481	7921
1787840914.131107472	s1-eth34	3731	7706
1787840914.131107472	s1-eth4	218879541	9122
1787840914.131107472	s1-eth5	218879789	8923
1787840914.131107472	s1-eth6	218878347	9016
1787840914.131107472	s1-eth7	990094081	18818
1787840914.131107472	s1-eth8	218879423	8693
1787840914.131107472	s1-eth9	4152	8180
1787840914.131107472	s2-eth1	5148572624	5622193771
1787840914.131107472	s2-eth10	218878227	8977
1787840914.131107472	s2-eth11	1879761252	19622
1787840914.131107472	s2-eth12	4036	8031
1787840914.131107472	s2-eth13	3877	8321
1787840914.131107472	s2-eth14	4099	7776
1787840914.131107472	s2-eth15	771224203	17311
1787840914.131107472	s2-eth16	218879431	8783
1787840914.131107472	s2-eth17	218877927	9047
1787840914.131107472	s2-eth18	218874118	9263
1787840914.131107472	s2-eth19	13851	2378071516
1787840914.131107472	s2-eth2	202794449	94049
1787840914.131107472	s2-eth20	3447	71023175
1787840914.131107472	s2-eth21	3483	67393584
1787840914.131107472	s2-eth22	2666	8313
1787840914.131107472	s2-eth23	11958	727272137
1787840914.131107472	s2-eth24	3440	64685661
1787840914.131107472	s2-eth25	2876	8383
1787840914.131107472	s2-eth26	3217	63595234
1787840914.131107472	s2-eth27	13846	785565439
1787840914.131107472	s2-eth28	2956	8494
1787840914.131107472	s2-eth29	2862	8170
1787840914.131107472	s2-eth3	1122721139	19469
1787840914.131107472	s2-eth30	2387	8113
1787840914.131107472	s2-eth31	11759	727530001
1787840914.131107472	s2-eth32	3212	62195095
1787840914.131107472	s2-eth33	2594	8104
1787840914.131107472	s2-eth34	2473	8024
1787840914.131107472	s2-eth4	218879447	9050
1787840914.131107472	s2-eth5	218879264	8702
1787840914.131107472	s2-eth6	218877639	8613
1787840914.131107472	s2-eth7	990077165	18364
1787840914.131107472	s2-eth8	218879589	8811
1787840914.131107472	s2-eth9	218876448	8781
1787840914.131107472	s3-eth1	5426319160	5796189924
1787840914.131107472	s3-eth10	2980	7971
1787840914.131107472	s3-eth11	13966	832809208
1787840914.131107472	s3-eth12	3600	48605964
1787840914.131107472	s3-eth13	2664	8512
1787840914.131107472	s3-eth14	3316	48359512
1787840914.131107472	s3-eth15	11833	557691886
1787840914.131107472	s3-eth16	3677	47935156
1787840914.131107472	s3-eth17	2695	7749
1787840914.131107472	s3-eth18	3196	47639700
1787840914.131107472	s3-eth19	1122691667	19518
1787840914.131107472	s3-eth2	94049	94049
1787840914.131107472	s3-eth20	218878934	8672
1787840914.131107472	s3-eth21	218879050	8595
1787840914.131107472	s3-eth22	218873322	8834
1787840914.131107472	s3-eth23	990102324	18244
1787840914.131107472	s3-eth24	218874708	8693
1787840914.131107472	s3-eth25	218880142	9315
1787840914.131107472	s3-eth26	218877736	8828
1787840914.131107472	s3-eth27	1879760247	19156
1787840914.131107472	s3-eth28	3223	7923
1787840914.131107472	s3-eth29	3170	7931
1787840914.131107472	s3-eth3	3777455	2701106751
1787840914.131107472	s3-eth30	3080	8001
1787840914.131107472	s3-eth31	946324582	17286
1787840914.131107472	s3-eth32	3261	7973
1787840914.131107472	s3-eth33	3960	8147
1787840914.131107472	s3-eth34	3374	7988
1787840914.131107472	s3-eth4	3513	52262998
1787840914.131107472	s3-eth5	3612	51320020
1787840914.131107472	s3-eth6	3615	50636446
1787840914.131107472	s3-eth7	13554	718271130
1787840914.131107472	s3-eth8	3382	49629631
1787840914.131107472	s3-eth9	3070	7971
1787840914.131107472	s4-eth1	8529860001	216606
1787840914.131107472	s4-eth10	3642	53028505
1787840914.131107472	s4-eth11	14221	1027511421
1787840914.131107472	s4-eth12	2717	8075
1787840914.131107472	s4-eth13	2936	7940
1787840914.131107472	s4-eth14	2125	7815
1787840914.131107472	s4-eth15	12372	663934363
1787840914.131107472	s4-eth16	3668	52177862
1787840914.131107472	s4-eth17	3556	51667234
1787840914.131107472	s4-eth18	3750	51048692
1787840914.131107472	s4-eth19	14137	593892616
1787840914.131107472	s4-eth2	94049	91207
1787840914.131107472	s4-eth20	3381	118146125
1787840914.131107472	s4-eth21	3214	117958829
1787840914.131107472	s4-eth22	3433	117291335
1787840914.131107472	s4-eth23	12750	933869659
1787840914.131107472	s4-eth24	3359	116147800
1787840914.131107472	s4-eth25	3754	115609726
1787840914.131107472	s4-eth26	3267	114665405
1787840914.131107472	s4-eth27	13595	1304697057
1787840914.131107472	s4-eth28	2432	8182
1787840914.131107472	s4-eth29	2350	8248
1787840914.131107472	s4-eth3	13818	345068264
1787840914.131107472	s4-eth30	2350	8088
1787840914.131107472	s4-eth31	12018	908091360
1787840914.131107472	s4-eth32	2482	8301
1787840914.131107472	s4-eth33	2672	8076
1787840914.131107472	s4-eth34	2497	8072
1787840914.131107472	s4-eth4	3694	54851104
1787840914.131107472	s4-eth5	3514	54650806
1787840914.131107472	s4-eth6	3052	54591509
1787840914.131107472	s4-eth7	13007	874707513
1787840914.131107472	s4-eth8	3778	53699037
1787840914.131107472	s4-eth9	3130	53442536
1787840914.131107472	s5-eth1	12739581349	3972251
1787840914.131107472	s5-eth2	5622193771	5148572624
1787840914.131107472	s5-eth3	3982944	10323731091
1787840914.131107472	s5-eth4	97267	91410
1787840914.131107472	s6-eth1	740793318	94049
1787840914.131107472	s6-eth2	94049	202794449
1787840914.131107472	s6-eth3	94049	356497572
1787840914.131107472	s6-eth4	97392	94049
1787840914.131107472	s7-eth1	5796189924	5426319160
1787840914.131107472	s7-eth2	216606	8529860001
1787840914.131107472	s7-eth3	9911417652	3980102
1787840914.131107472	s7-eth4	97169	94049
1787840914.131107472	s8-eth1	94049	94049
1787840914.131107472	s8-eth2	91207	94049
1787840914.131107472	s8-eth3	94049	91410
1787840914.131107472	s8-eth4	97267	94049
1787840914.131107472	s9-eth1	10323731091	3982944
1787840914.131107472	s9-eth2	356497572	94049
1787840914.131107472	s9-eth3	3980102	9911417652
1787840914.131107472	s9-eth4	91410	94049
1787840916.406292830	s10-eth1	91410	97267
1787840916.406292830	s10-eth2	94049	97392
1787840916.406292830	s10-eth3	94049	97169
1787840916.406292830	s10-eth4	94049	97267
1787840916.406292830	s1-eth1	3972251	12739581349
1787840916.406292830	s1-eth10	4476	8471
1787840916.406292830	s1-eth11	1879749738	19617
1787840916.406292830	s1-eth12	218879801	9184
1787840916.406292830	s1-eth13	3332	8155
1787840916.406292830	s1-eth14	218879928	8717
1787840916.406292830	s1-eth15	771211256	17324
1787840916.406292830	s1-eth16	218879533	8771
1787840916.406292830	s1-eth17	4454	7987
1787840916.406292830	s1-eth18	218878492	8757
1787840916.406292830	s1-eth19	4672333444	19063
1787840916.406292830	s1-eth2	94049	740793318
1787840916.406292830	s1-eth20	218876104	8848
1787840916.406292830	s1-eth21	218879366	8705
1787840916.406292830	s1-eth22	3426	7789
1787840916.406292830	s1-eth23	946310865	17225
1787840916.406292830	s1-eth24	218879421	8652
1787840916.406292830	s1-eth25	3722	8065
1787840916.406292830	s1-eth26	218879405	8484
1787840916.406292830	s1-eth27	1004259066	18873
1787840916.406292830	s1-eth28	3797	8145
1787840916.406292830	s1-eth29	4093	8130
1787840916.406292830	s1-eth3	5103194199	3783142
1787840916.406292830	s1-eth30	3405	7710
1787840916.406292830	s1-eth31	946310961	17094
1787840916.406292830	s1-eth32	218879453	8613
1787840916.406292830	s1-eth33	3481	7921
1787840916.406292830	s1-eth34	3731	7706
1787840916.406292830	s1-eth4	218879541	9122
1787840916.406292830	s1-eth5	218879789	8923
1787840916.406292830	s1-eth6	218878347	9016
1787840916.406292830	s1-eth7	990094081	18818
1787840916.406292830	s1-eth8	218879423	8693
1787840916.406292830	s1-eth9	4152	8180
1787840916.406292830	s2-eth1	5148572624	5622193771
1787840916.406292830	s2-eth10	218878227	8977
1787840916.406292830	s2-eth11	1879761252	19622
