ts	iface	rx_bytes	tx_bytes
1787841158.411056064	s10-eth1	92733	98639
1787841158.411056064	s10-eth2	95372	98764
1787841158.411056064	s10-eth3	95372	98541
1787841158.411056064	s10-eth4	95372	98639
1787841158.411056064	s1-eth1	3984143	14356492853
1787841158.411056064	s1-eth10	4476	8471
1787841158.411056064	s1-eth11	1995626374	21010
1787841158.411056064	s1-eth12	218879801	9184
1787841158.411056064	s1-eth13	3332	8155
1787841158.411056064	s1-eth14	218879928	8717
1787841158.411056064	s1-eth15	887087723	18653
1787841158.411056064	s1-eth16	218879533	8771
1787841158.411056064	s1-eth17	4454	7987
1787841158.411056064	s1-eth18	218878492	8757
1787841158.411056064	s1-eth19	5135832651	20317
1787841158.411056064	s1-eth2	95372	740794641
1787841158.411056064	s1-eth20	218876104	8848
1787841158.411056064	s1-eth21	218879366	8705
1787841158.411056064	s1-eth22	3496	7789
1787841158.411056064	s1-eth23	1062187210	18544
1787841158.411056064	s1-eth24	218879421	8652
1787841158.411056064	s1-eth25	3722	8065
1787841158.411056064	s1-eth26	218879405	8484
1787841158.411056064	s1-eth27	1120135333	20121
1787841158.411056064	s1-eth28	3797	8145
1787841158.411056064	s1-eth29	4093	8130
1787841158.411056064	s1-eth3	5566693487	3784524
1787841158.411056064	s1-eth30	3405	7710
1787841158.411056064	s1-eth31	1062187226	18345
1787841158.411056064	s1-eth32	218879453	8613
1787841158.411056064	s1-eth33	3481	7921
1787841158.411056064	s1-eth34	3731	7706
1787841158.411056064	s1-eth4	218879541	9122
1787841158.411056064	s1-eth5	218879789	8923
1787841158.411056064	s1-eth6	218878347	9016
1787841158.411056064	s1-eth7	1105970723	20281
1787841158.411056064	s1-eth8	218879423	8693
1787841158.411056064	s1-eth9	4152	8180
1787841158.411056064	s2-eth1	5934870303	5993006841
1787841158.411056064	s2-eth10	218878227	8977
1787841158.411056064	s2-eth11	1995637662	20938
1787841158.411056064	s2-eth12	4036	8031
1787841158.411056064	s2-eth13	3877	8321
1787841158.411056064	s2-eth14	4099	7776
1787841158.411056064	s2-eth15	887100823	18709
1787841158.411056064	s2-eth16	218879431	8783
1787841158.411056064	s2-eth17	218877927	9047
1787841158.411056064	s2-eth18	218874118	9263
1787841158.411056064	s2-eth19	15105	2824726721
