-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.19, port 52744
[  8] local 10.0.0.51 port 5201 connected to 10.0.0.19 port 50167
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec  0.00 Bytes  0.00 bits/sec  0.000 ms  0/0 (0%)  
[  8]   1.00-2.00   sec   156 KBytes  1.28 Mbits/sec  3.485 ms  241/355 (68%)  
[  8]   2.00-3.00   sec   435 KBytes  3.56 Mbits/sec  2.976 ms  138/456 (30%)  
[  8]   3.00-4.00   sec   338 KBytes  2.77 Mbits/sec  3.906 ms  232/479 (48%)  
[  8]   4.00-5.00   sec   317 KBytes  2.60 Mbits/sec  5.656 ms  219/451 (49%)  
[  8]   5.00-6.00   sec   287 KBytes  2.35 Mbits/sec  4.925 ms  236/446 (53%)  
[  8]   6.00-7.00   sec   319 KBytes  2.61 Mbits/sec  4.731 ms  202/435 (46%)  
[  8]   7.00-8.00   sec   304 KBytes  2.49 Mbits/sec  4.390 ms  166/388 (43%)  
[  8]   8.00-9.00   sec   320 KBytes  2.62 Mbits/sec  4.364 ms  230/464 (50%)  
[  8]   9.00-10.00  sec   321 KBytes  2.63 Mbits/sec  3.932 ms  179/414 (43%)  
[  8]  10.00-11.00  sec   309 KBytes  2.53 Mbits/sec  6.504 ms  203/429 (47%)  
[  8]  11.00-12.00  sec   171 KBytes  1.40 Mbits/sec  5.380 ms  264/389 (68%)  
[  8]  12.00-13.00  sec   246 KBytes  2.02 Mbits/sec  4.577 ms  291/471 (62%)  
[  8]  13.00-14.00  sec   278 KBytes  2.27 Mbits/sec  4.677 ms  266/469 (57%)  
[  8]  14.00-15.00  sec   237 KBytes  1.94 Mbits/sec  8.291 ms  299/472 (63%)  
[  8]  15.00-16.00  sec   235 KBytes  1.93 Mbits/sec  4.991 ms  286/458 (62%)  
[  8]  16.00-17.00  sec   234 KBytes  1.92 Mbits/sec  4.837 ms  340/511 (67%)  
[  8]  17.00-18.00  sec   231 KBytes  1.89 Mbits/sec  5.028 ms  254/423 (60%)  
[  8]  18.00-19.00  sec   256 KBytes  2.09 Mbits/sec  4.751 ms  244/431 (57%)  
[  8]  19.00-20.00  sec   267 KBytes  2.18 Mbits/sec  3.810 ms  252/447 (56%)  
[  8]  20.00-21.00  sec   235 KBytes  1.93 Mbits/sec  4.853 ms  302/474 (64%)  
[  8]  21.00-22.00  sec   239 KBytes  1.96 Mbits/sec  4.848 ms  289/464 (62%)  
[  8]  22.00-23.00  sec   258 KBytes  2.12 Mbits/sec  4.845 ms  117/306 (38%)  
[  8]  23.00-24.00  sec   246 KBytes  2.02 Mbits/sec  7.208 ms  318/498 (64%)  
[  8]  24.00-25.00  sec   133 KBytes  1.09 Mbits/sec  5.152 ms  304/401 (76%)  
[  8]  25.00-26.00  sec   219 KBytes  1.79 Mbits/sec  6.892 ms  465/625 (74%)  
[  8]  26.00-27.00  sec   190 KBytes  1.56 Mbits/sec  6.657 ms  155/294 (53%)  
[  8]  27.00-28.00  sec   215 KBytes  1.76 Mbits/sec  6.562 ms  249/406 (61%)  
[  8]  28.00-29.00  sec   249 KBytes  2.04 Mbits/sec  8.703 ms  362/544 (67%)  
[  8]  29.00-30.00  sec   224 KBytes  1.84 Mbits/sec  6.166 ms  324/488 (66%)  
[  8]  30.00-31.00  sec   258 KBytes  2.12 Mbits/sec  5.966 ms  248/437 (57%)  
[  8]  31.00-32.00  sec   245 KBytes  2.00 Mbits/sec  6.936 ms  267/446 (60%)  
[  8]  32.00-33.00  sec   242 KBytes  1.98 Mbits/sec  5.574 ms  248/425 (58%)  
[  8]  33.00-34.00  sec   238 KBytes  1.95 Mbits/sec  3.700 ms  240/414 (58%)  
[  8]  34.00-35.00  sec   250 KBytes  2.05 Mbits/sec  6.481 ms  276/459 (60%)  
[  8]  35.00-36.00  sec   243 KBytes  1.99 Mbits/sec  4.499 ms  333/511 (65%)  
[  8]  36.00-37.00  sec   269 KBytes  2.21 Mbits/sec  4.740 ms  223/420 (53%)  
[  8]  37.00-38.00  sec   193 KBytes  1.58 Mbits/sec  6.518 ms  355/496 (72%)  
[  8]  38.00-39.00  sec   198 KBytes  1.62 Mbits/sec  7.264 ms  188/333 (56%)  
[  8]  39.00-40.00  sec   200 KBytes  1.63 Mbits/sec  5.987 ms  330/476 (69%)  
[  8]  40.00-41.00  sec   249 KBytes  2.04 Mbits/sec  3.953 ms  194/376 (52%)  
[  8]  41.00-42.00  sec   211 KBytes  1.72 Mbits/sec  7.333 ms  344/498 (69%)  
[  8]  42.00-43.00  sec   276 KBytes  2.26 Mbits/sec  7.589 ms  145/347 (42%)  
[  8]  43.00-44.00  sec  98.4 KBytes   806 Kbits/sec  14.377 ms  442/514 (86%)  
[  8]  44.00-45.00  sec   205 KBytes  1.68 Mbits/sec  7.049 ms  391/541 (72%)  
[  8]  45.00-46.00  sec   235 KBytes  1.93 Mbits/sec  4.212 ms  283/455 (62%)  
[  8]  46.00-47.00  sec   351 KBytes  2.88 Mbits/sec  3.440 ms  167/424 (39%)  
[  8]  47.00-48.00  sec   269 KBytes  2.21 Mbits/sec  6.009 ms  241/438 (55%)  
[  8]  48.00-49.00  sec   271 KBytes  2.22 Mbits/sec  5.634 ms  263/461 (57%)  
[  8]  49.00-50.00  sec   309 KBytes  2.53 Mbits/sec  2.933 ms  240/466 (52%)  
[  8]  50.00-51.00  sec   320 KBytes  2.62 Mbits/sec  3.706 ms  162/396 (41%)  
[  8]  51.00-52.00  sec   364 KBytes  2.98 Mbits/sec  4.014 ms  226/492 (46%)  
[  8]  52.00-53.00  sec   373 KBytes  3.06 Mbits/sec  3.690 ms  159/432 (37%)  
[  8]  53.00-54.00  sec   249 KBytes  2.04 Mbits/sec  6.222 ms  241/423 (57%)  
[  8]  54.00-55.00  sec   213 KBytes  1.75 Mbits/sec  8.371 ms  332/488 (68%)  
[  8]  55.00-56.00  sec   212 KBytes  1.74 Mbits/sec  6.533 ms  275/430 (64%)  
[  8]  56.00-57.00  sec   262 KBytes  2.15 Mbits/sec  5.655 ms  200/392 (51%)  
[  8]  57.00-58.00  sec   205 KBytes  1.68 Mbits/sec  7.268 ms  232/382 (61%)  
[  8]  58.00-59.00  sec   205 KBytes  1.68 Mbits/sec  8.031 ms  283/433 (65%)  
[  8]  59.00-60.00  sec   190 KBytes  1.55 Mbits/sec  5.126 ms  301/440 (68%)  
[  8]  60.00-61.00  sec   224 KBytes  1.84 Mbits/sec  7.062 ms  329/493 (67%)  
[  8]  61.00-62.00  sec   204 KBytes  1.67 Mbits/sec  6.509 ms  330/479 (69%)  
[  8]  62.00-63.00  sec   221 KBytes  1.81 Mbits/sec  6.750 ms  352/514 (68%)  
[  8]  63.00-64.00  sec   193 KBytes  1.58 Mbits/sec  6.877 ms  245/386 (63%)  
[  8]  64.00-65.00  sec   204 KBytes  1.67 Mbits/sec  4.239 ms  308/457 (67%)  
[  8]  65.00-66.00  sec   182 KBytes  1.49 Mbits/sec  7.227 ms  307/440 (70%)  
[  8]  66.00-67.00  sec   205 KBytes  1.68 Mbits/sec  6.217 ms  278/428 (65%)  
[  8]  67.00-68.00  sec   189 KBytes  1.55 Mbits/sec  7.896 ms  241/379 (64%)  
[  8]  68.00-69.00  sec   163 KBytes  1.33 Mbits/sec  9.406 ms  405/524 (77%)  
[  8]  69.00-70.00  sec   238 KBytes  1.95 Mbits/sec  5.042 ms  280/454 (62%)  
[  8]  70.00-71.00  sec   193 KBytes  1.58 Mbits/sec  6.887 ms  359/500 (72%)  
[  8]  71.00-72.00  sec   146 KBytes  1.20 Mbits/sec  9.056 ms  265/372 (71%)  
[  8]  72.00-73.00  sec   179 KBytes  1.47 Mbits/sec  6.473 ms  284/415 (68%)  
[  8]  73.00-74.01  sec   208 KBytes  1.69 Mbits/sec  6.359 ms  369/521 (71%)  
[  8]  74.01-75.00  sec   228 KBytes  1.88 Mbits/sec  4.749 ms  264/431 (61%)  
[  8]  75.00-76.00  sec   264 KBytes  2.16 Mbits/sec  2.850 ms  250/443 (56%)  
[  8]  76.00-77.00  sec   172 KBytes  1.41 Mbits/sec  9.046 ms  254/380 (67%)  
[  8]  77.00-78.00  sec  65.6 KBytes   538 Kbits/sec  12.105 ms  344/392 (88%)  
[  8]  78.00-79.00  sec  87.5 KBytes   717 Kbits/sec  8.447 ms  394/458 (86%)  
[  8]  79.00-80.00  sec   310 KBytes  2.54 Mbits/sec  3.748 ms  329/556 (59%)  
[  8]  80.00-81.00  sec   286 KBytes  2.33 Mbits/sec  4.289 ms  169/378 (45%)  
[  8]  81.00-82.00  sec   219 KBytes  1.80 Mbits/sec  3.135 ms  298/458 (65%)  
[  8]  82.00-83.00  sec   241 KBytes  1.97 Mbits/sec  4.223 ms  290/466 (62%)  
[  8]  83.00-84.00  sec   123 KBytes  1.01 Mbits/sec  7.236 ms  361/451 (80%)  
[  8]  84.00-85.00  sec   157 KBytes  1.29 Mbits/sec  8.349 ms  350/465 (75%)  
[  8]  85.00-86.00  sec   209 KBytes  1.72 Mbits/sec  4.436 ms  287/440 (65%)  
[  8]  86.00-87.00  sec   172 KBytes  1.41 Mbits/sec  8.947 ms  262/388 (68%)  
[  8]  87.00-88.00  sec  82.0 KBytes   672 Kbits/sec  6.975 ms  392/452 (87%)  
[  8]  88.00-89.00  sec   124 KBytes  1.02 Mbits/sec  7.670 ms  373/464 (80%)  
[  8]  89.00-90.00  sec  80.7 KBytes   661 Kbits/sec  7.773 ms  392/451 (87%)  
[  8]  90.00-91.00  sec  68.4 KBytes   560 Kbits/sec  13.467 ms  312/362 (86%)  
[  8]  91.00-92.00  sec  84.8 KBytes   695 Kbits/sec  7.985 ms  471/533 (88%)  
[  8]  92.00-93.00  sec  86.1 KBytes   706 Kbits/sec  4.246 ms  345/408 (85%)  
[  8]  93.00-94.00  sec  39.6 KBytes   325 Kbits/sec  12.262 ms  462/491 (94%)  
[  8]  94.00-95.00  sec  65.6 KBytes   538 Kbits/sec  7.901 ms  333/381 (87%)  
[  8]  95.00-96.00  sec  79.3 KBytes   650 Kbits/sec  6.481 ms  432/490 (88%)  
[  8]  96.00-97.00  sec  91.6 KBytes   750 Kbits/sec  7.714 ms  393/460 (85%)  
[  8]  97.00-98.00  sec   221 KBytes  1.81 Mbits/sec  6.083 ms  343/505 (68%)  
[  8]  98.00-99.00  sec   208 KBytes  1.70 Mbits/sec  4.251 ms  226/378 (60%)  
[  8]  99.00-100.00 sec   254 KBytes  2.08 Mbits/sec  2.737 ms  339/525 (65%)  
[  8] 100.00-101.00 sec   227 KBytes  1.86 Mbits/sec  7.588 ms  307/473 (65%)  
[  8] 101.00-102.00 sec   165 KBytes  1.36 Mbits/sec  4.324 ms  318/439 (72%)  
[  8] 102.00-103.00 sec   215 KBytes  1.76 Mbits/sec  6.259 ms  205/362 (57%)  
[  8] 103.00-104.00 sec   167 KBytes  1.37 Mbits/sec  6.070 ms  360/482 (75%)  
[  8] 104.00-105.00 sec   157 KBytes  1.29 Mbits/sec  6.488 ms  381/496 (77%)  
[  8] 105.00-106.00 sec   217 KBytes  1.78 Mbits/sec  6.138 ms  347/506 (69%)  
[  8] 106.00-107.00 sec   145 KBytes  1.19 Mbits/sec  5.749 ms  326/432 (75%)  
[  8] 107.00-108.00 sec   268 KBytes  2.20 Mbits/sec  5.240 ms  198/394 (50%)  
[  8] 108.00-109.00 sec   239 KBytes  1.96 Mbits/sec  4.844 ms  253/428 (59%)  
[  8] 109.00-110.00 sec   271 KBytes  2.22 Mbits/sec  4.415 ms  287/485 (59%)  
[  8] 110.00-111.00 sec   271 KBytes  2.22 Mbits/sec  6.638 ms  146/344 (42%)  
[  8] 111.00-112.00 sec   257 KBytes  2.11 Mbits/sec  7.693 ms  263/451 (58%)  
[  8] 112.00-113.00 sec   193 KBytes  1.58 Mbits/sec  5.956 ms  262/403 (65%)  
[  8] 113.00-114.00 sec   202 KBytes  1.66 Mbits/sec  4.580 ms  333/481 (69%)  
[  8] 114.00-115.00 sec   187 KBytes  1.53 Mbits/sec  4.307 ms  331/468 (71%)  
[  8] 115.00-116.00 sec   238 KBytes  1.94 Mbits/sec  5.738 ms  280/454 (62%)  
[  8] 116.00-117.00 sec   127 KBytes  1.04 Mbits/sec  8.543 ms  347/440 (79%)  
[  8] 117.00-118.00 sec   119 KBytes   975 Kbits/sec  6.167 ms  241/328 (73%)  
[  8] 118.00-119.00 sec  93.0 KBytes   762 Kbits/sec  11.256 ms  299/367 (81%)  
[  8] 119.00-120.00 sec  99.8 KBytes   817 Kbits/sec  8.484 ms  386/459 (84%)  
[  8] 120.00-121.00 sec   226 KBytes  1.85 Mbits/sec  4.762 ms  533/698 (76%)  
[  8] 121.00-122.00 sec   305 KBytes  2.50 Mbits/sec  7.148 ms  231/454 (51%)  
[  8] 122.00-123.00 sec   201 KBytes  1.65 Mbits/sec  7.564 ms  187/334 (56%)  
[  8] 123.00-124.00 sec   189 KBytes  1.55 Mbits/sec  10.931 ms  292/430 (68%)  
[  8] 124.00-125.00 sec   180 KBytes  1.48 Mbits/sec  5.539 ms  346/478 (72%)  
[  8] 125.00-126.00 sec   113 KBytes   930 Kbits/sec  9.151 ms  241/324 (74%)  
[  8] 126.00-127.00 sec   116 KBytes   952 Kbits/sec  7.789 ms  367/452 (81%)  
[  8] 127.00-128.00 sec   115 KBytes   940 Kbits/sec  7.509 ms  295/379 (78%)  
[  8] 128.00-129.00 sec   111 KBytes   906 Kbits/sec  10.125 ms  412/493 (84%)  
