ts	iface	rx_bytes	tx_bytes
1787823293.111570568	s10-eth1	22247	25124
1787823293.111570568	s10-eth2	24410	25249
1787823293.111570568	s10-eth3	24410	25026
1787823293.111570568	s10-eth4	24410	25124
1787823293.111570568	s1-eth1	3846012	9713881791
1787823293.111570568	s1-eth10	1702	5352
1787823293.111570568	s1-eth11	952745770	13523
1787823293.111570568	s1-eth12	1612	5352
1787823293.111570568	s1-eth13	1612	5352
1787823293.111570568	s1-eth14	1702	5352
1787823293.111570568	s1-eth15	675929829	11194
1787823293.111570568	s1-eth16	1612	5372
1787823293.111570568	s1-eth17	1702	5352
1787823293.111570568	s1-eth18	1702	5262
1787823293.111570568	s1-eth19	3590833743	13078
1787823293.111570568	s1-eth2	24480	24410
1787823293.111570568	s1-eth20	1612	5352
1787823293.111570568	s1-eth21	1702	5352
1787823293.111570568	s1-eth22	1702	5352
1787823293.111570568	s1-eth23	894805351	11678
1787823293.111570568	s1-eth24	1612	5352
1787823293.111570568	s1-eth25	1702	5352
1787823293.111570568	s1-eth26	1702	5262
1787823293.111570568	s1-eth27	952753832	13573
1787823293.111570568	s1-eth28	1702	5352
1787823293.111570568	s1-eth29	1612	5262
1787823293.111570568	s1-eth3	4021690460	3777298
1787823293.111570568	s1-eth30	1702	5262
1787823293.111570568	s1-eth31	894807041	12032
1787823293.111570568	s1-eth32	1702	5262
1787823293.111570568	s1-eth33	1702	5262
1787823293.111570568	s1-eth34	1702	5262
1787823293.111570568	s1-eth4	1898	5548
1787823293.111570568	s1-eth5	1702	5262
1787823293.111570568	s1-eth6	1702	5352
1787823293.111570568	s1-eth7	894813748	12148
1787823293.111570568	s1-eth8	1702	5262
1787823293.111570568	s1-eth9	1612	5262
1787823293.111570568	s2-eth1	4288183422	2737081719
1787823293.111570568	s2-eth10	1682	5352
1787823293.111570568	s2-eth11	952764563	13420
1787823293.111570568	s2-eth12	1612	5352
1787823293.111570568	s2-eth13	1612	5352
1787823293.111570568	s2-eth14	1702	5352
1787823293.111570568	s2-eth15	675944057	11187
1787823293.111570568	s2-eth16	1702	5352
1787823293.111570568	s2-eth17	1702	5352
1787823293.111570568	s2-eth18	1702	5352
1787823293.111570568	s2-eth19	9338	2074570948
1787823293.111570568	s2-eth2	24312	24410
1787823293.111570568	s2-eth20	1702	5352
1787823293.111570568	s2-eth21	1612	5262
1787823293.111570568	s2-eth22	1702	5352
1787823293.111570568	s2-eth23	8098	677448997
1787823293.111570568	s2-eth24	1612	5352
1787823293.111570568	s2-eth25	1702	5352
1787823293.111570568	s2-eth26	1612	5352
1787823293.111570568	s2-eth27	9833	735622654
1787823293.111570568	s2-eth28	1702	5352
1787823293.111570568	s2-eth29	1612	5352
1787823293.111570568	s2-eth3	236917083	13689
1787823293.111570568	s2-eth30	1612	5457
1787823293.111570568	s2-eth31	8382	677626768
1787823293.111570568	s2-eth32	1612	5262
1787823293.111570568	s2-eth33	1702	5352
1787823293.111570568	s2-eth34	1702	5262
1787823293.111570568	s2-eth4	1702	5352
1787823293.111570568	s2-eth5	1612	5352
1787823293.111570568	s2-eth6	1702	5262
1787823293.111570568	s2-eth7	894797239	12246
1787823293.111570568	s2-eth8	1702	5262
1787823293.111570568	s2-eth9	1612	5352
1787823293.111570568	s3-eth1	4369916807	2958642389
1787823293.111570568	s3-eth10	1682	5352
1787823293.111570568	s3-eth11	9623	713227385
1787823293.111570568	s3-eth12	1452	5262
1787823293.111570568	s3-eth13	1612	5352
1787823293.111570568	s3-eth14	1772	5262
1787823293.111570568	s3-eth15	7524	496890168
1787823293.111570568	s3-eth16	1612	5262
1787823293.111570568	s3-eth17	1612	5262
1787823293.111570568	s3-eth18	1452	5352
1787823293.111570568	s3-eth19	236916059	13243
1787823293.111570568	s3-eth2	24480	24410
1787823293.111570568	s3-eth20	1702	5242
1787823293.111570568	s3-eth21	1612	5242
1787823293.111570568	s3-eth22	1452	5262
1787823293.111570568	s3-eth23	894822123	11903
1787823293.111570568	s3-eth24	1452	5262
1787823293.111570568	s3-eth25	1702	5262
1787823293.111570568	s3-eth26	1452	5262
1787823293.111570568	s3-eth27	952763552	13032
1787823293.111570568	s3-eth28	1612	5352
1787823293.111570568	s3-eth29	1702	5282
1787823293.111570568	s3-eth3	3773362	2435404310
1787823293.111570568	s3-eth30	1612	5422
1787823293.111570568	s3-eth31	894822594	11877
1787823293.111570568	s3-eth32	1452	5262
1787823293.111570568	s3-eth33	1612	5242
1787823293.111570568	s3-eth34	1702	5352
1787823293.111570568	s3-eth4	1612	5332
1787823293.111570568	s3-eth5	1702	5352
1787823293.111570568	s3-eth6	1702	5352
1787823293.111570568	s3-eth7	8498	656882727
1787823293.111570568	s3-eth8	1702	5121
1787823293.111570568	s3-eth9	1702	5352
1787823293.111570568	s4-eth1	5464875459	82658
1787823293.111570568	s4-eth10	1702	5242
1787823293.111570568	s4-eth11	9770	869380307
1787823293.111570568	s4-eth12	1612	5262
1787823293.111570568	s4-eth13	1452	5242
1787823293.111570568	s4-eth14	1452	5262
1787823293.111570568	s4-eth15	7537	601576351
1787823293.111570568	s4-eth16	1522	5262
1787823293.111570568	s4-eth17	1612	5242
1787823293.111570568	s4-eth18	1452	5382
1787823293.111570568	s4-eth19	9613	232058747
1787823293.111570568	s4-eth2	24410	21974
1787823293.111570568	s4-eth20	1702	5262
1787823293.111570568	s4-eth21	1612	5262
1787823293.111570568	s4-eth22	1612	5242
1787823293.111570568	s4-eth23	8093	857701483
1787823293.111570568	s4-eth24	1612	5262
1787823293.111570568	s4-eth25	1612	5262
1787823293.111570568	s4-eth26	1452	5312
1787823293.111570568	s4-eth27	9222	913696055
1787823293.111570568	s4-eth28	1612	5352
1787823293.111570568	s4-eth29	1522	5262
1787823293.111570568	s4-eth3	9789	223547015
1787823293.111570568	s4-eth30	1452	5262
1787823293.111570568	s4-eth31	8294	856898395
1787823293.111570568	s4-eth32	1452	5262
1787823293.111570568	s4-eth33	1452	5312
1787823293.111570568	s4-eth34	1612	5242
1787823293.111570568	s4-eth4	1612	5312
1787823293.111570568	s4-eth5	1522	5242
1787823293.111570568	s4-eth6	1452	5352
1787823293.111570568	s4-eth7	8436	811966453
