-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.93, port 40456
[  8] local 10.0.0.125 port 5201 connected to 10.0.0.93 port 38491
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   599 KBytes  4.91 Mbits/sec  1.333 ms  7/445 (1.6%)  
[  8]   1.00-2.00   sec   610 KBytes  5.00 Mbits/sec  1.343 ms  0/446 (0%)  
[  8]   2.00-3.00   sec   610 KBytes  5.00 Mbits/sec  1.656 ms  0/446 (0%)  
[  8]   3.00-4.00   sec   606 KBytes  4.96 Mbits/sec  1.703 ms  2/445 (0.45%)  
[  8]   4.00-5.00   sec   614 KBytes  5.03 Mbits/sec  1.301 ms  0/449 (0%)  
[  8]   5.00-6.00   sec   607 KBytes  4.97 Mbits/sec  1.538 ms  0/444 (0%)  
[  8]   6.00-7.00   sec   612 KBytes  5.02 Mbits/sec  0.961 ms  0/448 (0%)  
[  8]   7.00-8.00   sec   612 KBytes  5.02 Mbits/sec  0.790 ms  0/448 (0%)  
[  8]   8.00-9.00   sec   610 KBytes  5.00 Mbits/sec  1.198 ms  0/446 (0%)  
[  8]   9.00-10.00  sec   610 KBytes  5.00 Mbits/sec  1.456 ms  0/446 (0%)  
[  8]  10.00-11.00  sec   604 KBytes  4.95 Mbits/sec  1.206 ms  4/446 (0.9%)  
[  8]  11.00-12.00  sec   610 KBytes  5.00 Mbits/sec  1.344 ms  0/446 (0%)  
[  8]  12.00-13.00  sec   610 KBytes  5.00 Mbits/sec  1.469 ms  0/446 (0%)  
[  8]  13.00-14.00  sec   607 KBytes  4.97 Mbits/sec  0.680 ms  0/444 (0%)  
[  8]  14.00-15.00  sec   611 KBytes  5.01 Mbits/sec  1.722 ms  0/447 (0%)  
[  8]  15.00-16.00  sec   610 KBytes  5.00 Mbits/sec  1.616 ms  0/446 (0%)  
[  8]  16.00-17.00  sec   615 KBytes  5.04 Mbits/sec  1.229 ms  0/450 (0%)  
[  8]  17.00-18.00  sec   610 KBytes  5.00 Mbits/sec  1.221 ms  0/446 (0%)  
[  8]  18.00-19.00  sec   611 KBytes  5.01 Mbits/sec  1.221 ms  0/447 (0%)  
[  8]  19.00-20.00  sec   608 KBytes  4.98 Mbits/sec  1.168 ms  1/446 (0.22%)  
[  8]  20.00-21.00  sec   608 KBytes  4.98 Mbits/sec  1.722 ms  0/445 (0%)  
[  8]  21.00-22.00  sec   606 KBytes  4.96 Mbits/sec  0.569 ms  0/443 (0%)  
[  8]  22.00-23.00  sec   612 KBytes  5.02 Mbits/sec  1.403 ms  0/448 (0%)  
[  8]  23.00-24.00  sec   612 KBytes  5.02 Mbits/sec  1.338 ms  0/448 (0%)  
[  8]  24.00-25.00  sec   614 KBytes  5.03 Mbits/sec  1.205 ms  0/449 (0%)  
[  8]  25.00-26.00  sec   610 KBytes  5.00 Mbits/sec  1.850 ms  0/446 (0%)  
[  8]  26.00-27.00  sec   608 KBytes  4.98 Mbits/sec  1.359 ms  0/445 (0%)  
[  8]  27.00-28.00  sec   610 KBytes  4.99 Mbits/sec  2.284 ms  0/446 (0%)  
[  8]  28.00-29.00  sec   610 KBytes  5.00 Mbits/sec  1.879 ms  0/446 (0%)  
[  8]  29.00-30.00  sec   614 KBytes  5.03 Mbits/sec  0.730 ms  0/449 (0%)  
[  8]  30.00-31.00  sec   607 KBytes  4.97 Mbits/sec  1.043 ms  0/444 (0%)  
[  8]  31.00-32.00  sec   606 KBytes  4.96 Mbits/sec  1.652 ms  0/443 (0%)  
[  8]  32.00-33.00  sec   607 KBytes  4.98 Mbits/sec  1.366 ms  5/449 (1.1%)  
[  8]  33.00-34.00  sec   614 KBytes  5.03 Mbits/sec  2.169 ms  0/449 (0%)  
[  8]  34.00-35.00  sec   610 KBytes  5.00 Mbits/sec  1.738 ms  0/446 (0%)  
[  8]  35.00-36.00  sec   606 KBytes  4.96 Mbits/sec  1.513 ms  1/444 (0.23%)  
[  8]  36.00-37.00  sec   608 KBytes  4.98 Mbits/sec  1.708 ms  1/446 (0.22%)  
[  8]  37.00-38.00  sec   597 KBytes  4.89 Mbits/sec  2.371 ms  9/446 (2%)  
[  8]  38.00-39.00  sec   611 KBytes  5.01 Mbits/sec  2.581 ms  0/447 (0%)  
[  8]  39.00-40.00  sec   615 KBytes  5.04 Mbits/sec  0.752 ms  0/450 (0%)  
[  8]  40.00-40.00  sec  1.37 KBytes  3.29 Mbits/sec  0.733 ms  0/1 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-40.00  sec  23.8 MBytes  4.99 Mbits/sec  0.733 ms  30/17857 (0.17%)  receiver
