ts	iface	rx_bytes	tx_bytes
1787840814.232007659	s10-eth1	90870	96707
1787840814.232007659	s10-eth2	93509	96832
1787840814.232007659	s10-eth3	93509	96609
1787840814.232007659	s10-eth4	93509	96707
1787840814.232007659	s1-eth1	3961375	12386808845
1787840814.232007659	s1-eth10	4476	8471
1787840814.232007659	s1-eth11	1853998473	18368
1787840814.232007659	s1-eth12	218879801	9184
1787840814.232007659	s1-eth13	3332	8155
1787840814.232007659	s1-eth14	218879928	8717
1787840814.232007659	s1-eth15	745459847	16008
1787840814.232007659	s1-eth16	218879533	8771
1787840814.232007659	s1-eth17	4454	7917
1787840814.232007659	s1-eth18	218878492	8757
1787840814.232007659	s1-eth19	4569334096	17746
1787840814.232007659	s1-eth2	93509	740792778
1787840814.232007659	s1-eth20	218876104	8848
1787840814.232007659	s1-eth21	218879366	8635
1787840814.232007659	s1-eth22	3426	7789
1787840814.232007659	s1-eth23	920560898	15910
1787840814.232007659	s1-eth24	218879421	8652
1787840814.232007659	s1-eth25	3722	8065
1787840814.232007659	s1-eth26	218879405	8484
1787840814.232007659	s1-eth27	978507594	17549
1787840814.232007659	s1-eth28	3727	8145
1787840814.232007659	s1-eth29	4093	8130
1787840814.232007659	s1-eth3	5000191905	3781891
1787840814.232007659	s1-eth30	3405	7710
1787840814.232007659	s1-eth31	920559618	15779
1787840814.232007659	s1-eth32	218879453	8613
1787840814.232007659	s1-eth33	3481	7921
1787840814.232007659	s1-eth34	3731	7706
1787840814.232007659	s1-eth4	218879541	9122
1787840814.232007659	s1-eth5	218879719	8853
1787840814.232007659	s1-eth6	218878347	9016
1787840814.232007659	s1-eth7	964342815	17569
1787840814.232007659	s1-eth8	218879423	8693
1787840814.232007659	s1-eth9	4152	8110
1787840814.232007659	s2-eth1	4975625468	5539780809
1787840814.232007659	s2-eth10	218878227	8977
1787840814.232007659	s2-eth11	1854009623	18229
1787840814.232007659	s2-eth12	4036	8031
1787840814.232007659	s2-eth13	3877	8321
1787840814.232007659	s2-eth14	4099	7776
1787840814.232007659	s2-eth15	745472430	15850
1787840814.232007659	s2-eth16	218879431	8713
1787840814.232007659	s2-eth17	218877927	8977
1787840814.232007659	s2-eth18	218874118	9263
1787840814.232007659	s2-eth19	12534	2280361424
1787840814.232007659	s2-eth2	202793909	93509
1787840814.232007659	s2-eth20	3447	71023175
1787840814.232007659	s2-eth21	3483	67393584
1787840814.232007659	s2-eth22	2596	8313
1787840814.232007659	s2-eth23	10643	702339714
1787840814.232007659	s2-eth24	3440	64685661
1787840814.232007659	s2-eth25	2876	8313
1787840814.232007659	s2-eth26	3217	63595234
1787840814.232007659	s2-eth27	12522	760568133
1787840814.232007659	s2-eth28	2956	8494
1787840814.232007659	s2-eth29	2792	8170
1787840814.232007659	s2-eth3	1117568720	18222
1787840814.232007659	s2-eth30	2387	8113
1787840814.232007659	s2-eth31	10444	702531382
1787840814.232007659	s2-eth32	3212	62195095
1787840814.232007659	s2-eth33	2594	8104
1787840814.232007659	s2-eth34	2473	8024
1787840814.232007659	s2-eth4	218879447	9050
1787840814.232007659	s2-eth5	218879194	8702
1787840814.232007659	s2-eth6	218877639	8613
1787840814.232007659	s2-eth7	964325835	17039
1787840814.232007659	s2-eth8	218879589	8811
1787840814.232007659	s2-eth9	218876378	8781
1787840814.232007659	s3-eth1	5256051405	5713776861
1787840814.232007659	s3-eth10	2980	7971
1787840814.232007659	s3-eth11	12717	808253361
1787840814.232007659	s3-eth12	3600	48605964
1787840814.232007659	s3-eth13	2594	8512
1787840814.232007659	s3-eth14	3316	48359512
1787840814.232007659	s3-eth15	10517	533130127
1787840814.232007659	s3-eth16	3677	47935156
1787840814.232007659	s3-eth17	2695	7749
1787840814.232007659	s3-eth18	3196	47639700
1787840814.232007659	s3-eth19	1117539023	18128
1787840814.232007659	s3-eth2	93509	93439
1787840814.232007659	s3-eth20	218878934	8672
1787840814.232007659	s3-eth21	218879050	8595
1787840814.232007659	s3-eth22	218873322	8834
1787840814.232007659	s3-eth23	964350918	16931
