-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.41, port 57298
[  8] local 10.0.0.105 port 5201 connected to 10.0.0.41 port 38729
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   591 KBytes  4.84 Mbits/sec  1.398 ms  11/443 (2.5%)  
[  8]   1.00-2.00   sec   607 KBytes  4.97 Mbits/sec  1.785 ms  3/447 (0.67%)  
[  8]   2.00-3.00   sec   599 KBytes  4.90 Mbits/sec  2.358 ms  7/445 (1.6%)  
[  8]   3.00-4.00   sec   595 KBytes  4.87 Mbits/sec  1.690 ms  11/446 (2.5%)  
[  8]   4.00-5.00   sec   600 KBytes  4.90 Mbits/sec  2.262 ms  7/446 (1.6%)  
[  8]   5.00-6.00   sec   612 KBytes  5.03 Mbits/sec  1.218 ms  1/449 (0.22%)  
[  8]   6.00-7.00   sec   610 KBytes  5.00 Mbits/sec  2.044 ms  1/447 (0.22%)  
[  8]   7.00-8.00   sec   607 KBytes  4.97 Mbits/sec  2.447 ms  0/444 (0%)  
[  8]   8.00-9.00   sec   606 KBytes  4.96 Mbits/sec  2.092 ms  1/444 (0.23%)  
[  8]   9.00-10.00  sec   615 KBytes  5.04 Mbits/sec  1.943 ms  0/450 (0%)  
[  8]  10.00-11.00  sec   610 KBytes  5.00 Mbits/sec  1.221 ms  1/447 (0.22%)  
[  8]  11.00-12.00  sec   597 KBytes  4.89 Mbits/sec  2.384 ms  5/442 (1.1%)  
[  8]  12.00-13.00  sec   614 KBytes  5.03 Mbits/sec  1.413 ms  2/451 (0.44%)  
[  8]  13.00-14.00  sec   603 KBytes  4.94 Mbits/sec  2.216 ms  3/444 (0.68%)  
[  8]  14.00-15.00  sec   597 KBytes  4.89 Mbits/sec  1.201 ms  9/446 (2%)  
[  8]  15.00-16.00  sec   608 KBytes  4.98 Mbits/sec  1.486 ms  4/449 (0.89%)  
[  8]  16.00-17.00  sec   606 KBytes  4.95 Mbits/sec  1.480 ms  4/447 (0.89%)  
[  8]  17.00-18.00  sec   610 KBytes  5.01 Mbits/sec  1.513 ms  0/446 (0%)  
[  8]  18.00-19.00  sec   607 KBytes  4.97 Mbits/sec  1.477 ms  2/446 (0.45%)  
[  8]  19.00-20.00  sec   608 KBytes  4.98 Mbits/sec  1.469 ms  2/447 (0.45%)  
[  8]  20.00-21.00  sec   606 KBytes  4.96 Mbits/sec  1.626 ms  3/446 (0.67%)  
[  8]  21.00-22.00  sec   608 KBytes  4.98 Mbits/sec  2.261 ms  0/445 (0%)  
[  8]  22.00-23.00  sec   608 KBytes  4.98 Mbits/sec  1.745 ms  4/449 (0.89%)  
[  8]  23.00-24.00  sec   604 KBytes  4.95 Mbits/sec  1.754 ms  2/444 (0.45%)  
[  8]  24.00-25.00  sec   606 KBytes  4.96 Mbits/sec  1.025 ms  6/449 (1.3%)  
[  8]  25.00-26.00  sec   610 KBytes  5.00 Mbits/sec  1.394 ms  1/447 (0.22%)  
[  8]  26.00-27.00  sec   607 KBytes  4.97 Mbits/sec  1.182 ms  1/445 (0.22%)  
[  8]  27.00-28.00  sec   610 KBytes  5.00 Mbits/sec  0.443 ms  0/446 (0%)  
[  8]  28.00-29.00  sec   608 KBytes  4.98 Mbits/sec  0.896 ms  1/446 (0.22%)  
[  8]  29.00-30.01  sec   612 KBytes  4.99 Mbits/sec  1.841 ms  1/449 (0.22%)  
[  8]  30.01-31.00  sec   606 KBytes  4.99 Mbits/sec  2.340 ms  2/445 (0.45%)  
[  8]  31.00-32.01  sec   589 KBytes  4.79 Mbits/sec  2.654 ms  15/446 (3.4%)  
[  8]  32.01-33.00  sec   593 KBytes  4.90 Mbits/sec  1.909 ms  12/446 (2.7%)  
[  8]  33.00-34.00  sec   588 KBytes  4.82 Mbits/sec  1.812 ms  15/445 (3.4%)  
[  8]  34.00-35.00  sec   599 KBytes  4.91 Mbits/sec  1.295 ms  9/447 (2%)  
[  8]  35.00-36.00  sec   608 KBytes  4.98 Mbits/sec  2.091 ms  2/447 (0.45%)  
[  8]  36.00-37.00  sec   600 KBytes  4.92 Mbits/sec  1.667 ms  7/446 (1.6%)  
