-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.17, port 35426
[  8] local 10.0.0.49 port 5201 connected to 10.0.0.17 port 49490
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec  1.74 MBytes  14.6 Mbits/sec  0.474 ms  477/1779 (27%)  
[  8]   1.00-2.00   sec  2.36 MBytes  19.8 Mbits/sec  0.340 ms  13/1778 (0.73%)  
[  8]   2.00-3.00   sec  2.30 MBytes  19.3 Mbits/sec  0.545 ms  64/1790 (3.6%)  
[  8]   3.00-4.00   sec  2.29 MBytes  19.2 Mbits/sec  0.353 ms  76/1791 (4.2%)  
[  8]   4.00-5.00   sec  2.35 MBytes  19.7 Mbits/sec  0.472 ms  12/1774 (0.68%)  
[  8]   5.00-6.00   sec  2.28 MBytes  19.1 Mbits/sec  0.462 ms  84/1792 (4.7%)  
[  8]   6.00-7.00   sec  2.35 MBytes  19.7 Mbits/sec  0.529 ms  23/1784 (1.3%)  
[  8]   7.00-8.00   sec  2.34 MBytes  19.7 Mbits/sec  0.630 ms  31/1786 (1.7%)  
[  8]   8.00-9.00   sec  2.28 MBytes  19.1 Mbits/sec  0.735 ms  77/1782 (4.3%)  
[  8]   9.00-10.00  sec  2.35 MBytes  19.7 Mbits/sec  0.418 ms  34/1791 (1.9%)  
[  8]  10.00-11.00  sec  2.32 MBytes  19.5 Mbits/sec  0.421 ms  47/1788 (2.6%)  
[  8]  11.00-12.00  sec  2.36 MBytes  19.8 Mbits/sec  0.649 ms  3/1773 (0.17%)  
[  8]  12.00-13.00  sec  2.34 MBytes  19.7 Mbits/sec  0.697 ms  38/1794 (2.1%)  
[  8]  13.00-14.00  sec  2.30 MBytes  19.3 Mbits/sec  0.815 ms  49/1775 (2.8%)  
[  8]  14.00-15.00  sec  2.27 MBytes  19.0 Mbits/sec  0.843 ms  97/1795 (5.4%)  
[  8]  15.00-16.00  sec  2.37 MBytes  19.9 Mbits/sec  0.334 ms  12/1790 (0.67%)  
[  8]  16.00-17.00  sec  2.35 MBytes  19.7 Mbits/sec  0.558 ms  17/1780 (0.96%)  
[  8]  17.00-18.00  sec  2.37 MBytes  19.9 Mbits/sec  0.685 ms  12/1790 (0.67%)  
[  8]  18.00-19.00  sec  2.32 MBytes  19.5 Mbits/sec  0.770 ms  41/1781 (2.3%)  
[  8]  19.00-20.00  sec  2.36 MBytes  19.8 Mbits/sec  0.706 ms  23/1793 (1.3%)  
[  8]  20.00-21.00  sec  2.36 MBytes  19.8 Mbits/sec  0.564 ms  17/1784 (0.95%)  
[  8]  21.00-22.00  sec  2.33 MBytes  19.5 Mbits/sec  0.717 ms  44/1787 (2.5%)  
[  8]  22.00-23.00  sec  2.28 MBytes  19.1 Mbits/sec  0.585 ms  76/1784 (4.3%)  
[  8]  23.00-24.00  sec  2.36 MBytes  19.8 Mbits/sec  0.808 ms  13/1782 (0.73%)  
[  8]  24.00-25.00  sec  2.36 MBytes  19.8 Mbits/sec  0.588 ms  24/1794 (1.3%)  
[  8]  25.00-26.00  sec  2.35 MBytes  19.7 Mbits/sec  0.577 ms  27/1786 (1.5%)  
[  8]  26.00-27.00  sec  2.24 MBytes  18.8 Mbits/sec  0.707 ms  104/1783 (5.8%)  
[  8]  27.00-28.00  sec  2.30 MBytes  19.3 Mbits/sec  0.540 ms  59/1782 (3.3%)  
[  8]  28.00-29.00  sec  2.36 MBytes  19.8 Mbits/sec  0.929 ms  8/1777 (0.45%)  
[  8]  29.00-30.00  sec  2.39 MBytes  20.0 Mbits/sec  0.558 ms  7/1796 (0.39%)  
[  8]  30.00-31.00  sec  2.26 MBytes  19.0 Mbits/sec  0.784 ms  91/1784 (5.1%)  
[  8]  31.00-32.00  sec  2.18 MBytes  18.3 Mbits/sec  0.699 ms  148/1782 (8.3%)  
[  8]  32.00-33.00  sec  2.23 MBytes  18.7 Mbits/sec  0.476 ms  118/1788 (6.6%)  
[  8]  33.00-34.00  sec  2.30 MBytes  19.3 Mbits/sec  0.448 ms  69/1793 (3.8%)  
[  8]  34.00-35.00  sec  2.32 MBytes  19.5 Mbits/sec  0.538 ms  38/1775 (2.1%)  
[  8]  35.00-36.00  sec  2.30 MBytes  19.3 Mbits/sec  0.537 ms  72/1793 (4%)  
[  8]  36.00-37.00  sec  2.35 MBytes  19.7 Mbits/sec  0.366 ms  29/1789 (1.6%)  
[  8]  37.00-38.00  sec  2.37 MBytes  19.9 Mbits/sec  0.706 ms  9/1785 (0.5%)  
[  8]  38.00-39.02  sec  2.38 MBytes  19.7 Mbits/sec  0.737 ms  21/1805 (1.2%)  
[  8]  39.02-40.00  sec  2.25 MBytes  19.2 Mbits/sec  0.742 ms  59/1746 (3.4%)  
[  8]  40.00-41.00  sec  2.24 MBytes  18.8 Mbits/sec  0.435 ms  114/1794 (6.4%)  
[  8]  41.00-42.00  sec  2.32 MBytes  19.5 Mbits/sec  0.514 ms  44/1782 (2.5%)  
[  8]  42.00-43.00  sec  2.32 MBytes  19.5 Mbits/sec  0.536 ms  62/1799 (3.4%)  
[  8]  43.00-44.00  sec  2.31 MBytes  19.4 Mbits/sec  0.463 ms  43/1771 (2.4%)  
[  8]  44.00-45.00  sec  2.36 MBytes  19.8 Mbits/sec  0.384 ms  36/1802 (2%)  
[  8]  45.00-46.00  sec  2.31 MBytes  19.4 Mbits/sec  0.693 ms  53/1783 (3%)  
[  8]  46.00-47.00  sec  2.31 MBytes  19.4 Mbits/sec  0.844 ms  45/1776 (2.5%)  
[  8]  47.00-48.00  sec  2.31 MBytes  19.4 Mbits/sec  0.472 ms  63/1796 (3.5%)  
[  8]  48.00-49.00  sec  2.34 MBytes  19.6 Mbits/sec  0.538 ms  35/1786 (2%)  
[  8]  49.00-50.00  sec  2.33 MBytes  19.5 Mbits/sec  0.612 ms  34/1777 (1.9%)  
[  8]  50.00-51.00  sec  2.32 MBytes  19.4 Mbits/sec  0.618 ms  59/1794 (3.3%)  
[  8]  51.00-52.00  sec  2.15 MBytes  18.0 Mbits/sec  0.564 ms  184/1791 (10%)  
[  8]  52.00-53.00  sec  2.22 MBytes  18.6 Mbits/sec  0.707 ms  117/1777 (6.6%)  
[  8]  53.00-54.00  sec  2.22 MBytes  18.6 Mbits/sec  0.424 ms  126/1790 (7%)  
[  8]  54.00-55.00  sec  2.37 MBytes  19.9 Mbits/sec  0.491 ms  9/1787 (0.5%)  
[  8]  55.00-56.00  sec  2.37 MBytes  19.9 Mbits/sec  0.551 ms  13/1787 (0.73%)  
[  8]  56.00-57.00  sec  2.36 MBytes  19.8 Mbits/sec  0.635 ms  14/1779 (0.79%)  
[  8]  57.00-58.00  sec  2.22 MBytes  18.6 Mbits/sec  0.675 ms  121/1780 (6.8%)  
[  8]  58.00-59.00  sec  2.31 MBytes  19.3 Mbits/sec  0.514 ms  68/1795 (3.8%)  
[  8]  59.00-60.00  sec  2.34 MBytes  19.6 Mbits/sec  0.608 ms  32/1786 (1.8%)  
[  8]  60.00-61.00  sec  2.34 MBytes  19.6 Mbits/sec  0.387 ms  40/1791 (2.2%)  
[  8]  61.00-62.00  sec  1.90 MBytes  15.9 Mbits/sec  1.475 ms  220/1644 (13%)  
[  8]  62.00-63.00  sec  2.34 MBytes  19.6 Mbits/sec  0.549 ms  173/1926 (9%)  
[  8]  63.00-64.00  sec  2.13 MBytes  17.8 Mbits/sec  0.792 ms  182/1775 (10%)  
[  8]  64.00-65.00  sec  2.36 MBytes  19.8 Mbits/sec  0.548 ms  20/1789 (1.1%)  
[  8]  65.00-66.00  sec  2.37 MBytes  19.9 Mbits/sec  0.628 ms  16/1789 (0.89%)  
[  8]  66.00-67.00  sec  2.36 MBytes  19.8 Mbits/sec  0.695 ms  14/1781 (0.79%)  
[  8]  67.00-68.00  sec  2.23 MBytes  18.7 Mbits/sec  0.600 ms  114/1785 (6.4%)  
[  8]  68.00-69.00  sec  2.37 MBytes  19.9 Mbits/sec  0.596 ms  17/1795 (0.95%)  
[  8]  69.00-70.00  sec  2.34 MBytes  19.6 Mbits/sec  0.719 ms  27/1780 (1.5%)  
[  8]  70.00-70.00  sec  16.4 KBytes  32.2 Mbits/sec  0.741 ms  0/12 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-70.00  sec   161 MBytes  19.3 Mbits/sec  0.741 ms  4358/125000 (3.5%)  receiver
