-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.5, port 32930
[  8] local 10.0.0.69 port 5201 connected to 10.0.0.5 port 32978
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   454 KBytes  3.72 Mbits/sec  1.293 ms  106/438 (24%)  
[  8]   1.00-2.00   sec   603 KBytes  4.94 Mbits/sec  1.388 ms  5/446 (1.1%)  
[  8]   2.00-3.00   sec   576 KBytes  4.72 Mbits/sec  1.720 ms  26/447 (5.8%)  
[  8]   3.00-4.00   sec   588 KBytes  4.82 Mbits/sec  1.644 ms  18/448 (4%)  
[  8]   4.00-5.00   sec   599 KBytes  4.91 Mbits/sec  2.443 ms  7/445 (1.6%)  
[  8]   5.00-6.00   sec   582 KBytes  4.77 Mbits/sec  1.395 ms  20/446 (4.5%)  
[  8]   6.00-7.00   sec   603 KBytes  4.94 Mbits/sec  2.120 ms  6/447 (1.3%)  
[  8]   7.00-8.00   sec   608 KBytes  4.98 Mbits/sec  2.023 ms  2/447 (0.45%)  
[  8]   8.00-9.00   sec   585 KBytes  4.79 Mbits/sec  1.643 ms  16/444 (3.6%)  
[  8]   9.00-10.00  sec   600 KBytes  4.92 Mbits/sec  1.809 ms  9/448 (2%)  
[  8]  10.00-11.00  sec   610 KBytes  5.00 Mbits/sec  0.881 ms  3/449 (0.67%)  
[  8]  11.00-12.00  sec   593 KBytes  4.86 Mbits/sec  2.419 ms  9/443 (2%)  
[  8]  12.00-13.00  sec   607 KBytes  4.97 Mbits/sec  1.094 ms  6/450 (1.3%)  
[  8]  13.00-14.00  sec   592 KBytes  4.85 Mbits/sec  1.753 ms  11/444 (2.5%)  
[  8]  14.00-15.00  sec   578 KBytes  4.74 Mbits/sec  1.284 ms  22/445 (4.9%)  
[  8]  15.00-16.00  sec   596 KBytes  4.88 Mbits/sec  2.755 ms  8/444 (1.8%)  
[  8]  16.00-17.00  sec   599 KBytes  4.91 Mbits/sec  1.645 ms  11/449 (2.4%)  
[  8]  17.00-18.00  sec   611 KBytes  5.01 Mbits/sec  1.327 ms  2/449 (0.45%)  
[  8]  18.00-19.00  sec   599 KBytes  4.91 Mbits/sec  2.267 ms  9/447 (2%)  
[  8]  19.00-20.00  sec   602 KBytes  4.93 Mbits/sec  2.152 ms  4/444 (0.9%)  
[  8]  20.00-21.00  sec   600 KBytes  4.92 Mbits/sec  1.455 ms  11/450 (2.4%)  
[  8]  21.00-22.00  sec   596 KBytes  4.88 Mbits/sec  1.697 ms  7/443 (1.6%)  
[  8]  22.00-23.00  sec   600 KBytes  4.92 Mbits/sec  1.012 ms  9/448 (2%)  
[  8]  23.00-24.00  sec   603 KBytes  4.94 Mbits/sec  1.584 ms  5/446 (1.1%)  
[  8]  24.00-25.00  sec   600 KBytes  4.92 Mbits/sec  2.023 ms  6/445 (1.3%)  
[  8]  25.00-26.00  sec   603 KBytes  4.94 Mbits/sec  1.896 ms  7/448 (1.6%)  
[  8]  26.00-27.00  sec   599 KBytes  4.91 Mbits/sec  2.072 ms  9/447 (2%)  
[  8]  27.00-28.00  sec   593 KBytes  4.86 Mbits/sec  2.218 ms  11/445 (2.5%)  
[  8]  28.00-29.00  sec   604 KBytes  4.95 Mbits/sec  2.120 ms  6/448 (1.3%)  
[  8]  29.00-30.00  sec   602 KBytes  4.93 Mbits/sec  1.755 ms  6/446 (1.3%)  
[  8]  30.00-31.00  sec   589 KBytes  4.83 Mbits/sec  1.628 ms  16/447 (3.6%)  
[  8]  31.00-32.00  sec   574 KBytes  4.70 Mbits/sec  1.145 ms  27/447 (6%)  
[  8]  32.00-33.00  sec   578 KBytes  4.74 Mbits/sec  1.760 ms  23/446 (5.2%)  
[  8]  33.00-34.00  sec   585 KBytes  4.79 Mbits/sec  2.637 ms  16/444 (3.6%)  
[  8]  34.00-35.00  sec   592 KBytes  4.85 Mbits/sec  1.632 ms  13/446 (2.9%)  
