-----------------------------------------------------------
Server listening on 5201 (test #1)
-----------------------------------------------------------
Accepted connection from 10.0.0.21, port 47162
[  8] local 10.0.0.53 port 5201 connected to 10.0.0.21 port 54266
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  8]   0.00-1.00   sec   591 KBytes  4.84 Mbits/sec  1.340 ms  12/444 (2.7%)  
[  8]   1.00-2.00   sec   599 KBytes  4.91 Mbits/sec  1.123 ms  8/446 (1.8%)  
[  8]   2.00-3.00   sec   608 KBytes  4.98 Mbits/sec  1.005 ms  0/445 (0%)  
[  8]   3.00-4.00   sec   606 KBytes  4.96 Mbits/sec  1.120 ms  4/447 (0.89%)  
[  8]   4.00-5.00   sec   607 KBytes  4.97 Mbits/sec  0.939 ms  4/448 (0.89%)  
[  8]   5.00-6.00   sec   607 KBytes  4.97 Mbits/sec  1.943 ms  0/444 (0%)  
[  8]   6.00-7.00   sec   593 KBytes  4.86 Mbits/sec  1.220 ms  11/445 (2.5%)  
[  8]   7.00-8.00   sec   612 KBytes  5.02 Mbits/sec  0.857 ms  1/449 (0.22%)  
[  8]   8.00-9.00   sec   610 KBytes  5.00 Mbits/sec  1.551 ms  0/446 (0%)  
[  8]   9.00-10.00  sec   612 KBytes  5.02 Mbits/sec  0.809 ms  0/448 (0%)  
[  8]  10.00-11.00  sec   610 KBytes  5.00 Mbits/sec  1.749 ms  0/446 (0%)  
[  8]  11.00-12.00  sec   603 KBytes  4.94 Mbits/sec  1.301 ms  0/441 (0%)  
[  8]  12.00-13.00  sec   615 KBytes  5.04 Mbits/sec  1.676 ms  0/450 (0%)  
[  8]  13.00-14.00  sec   610 KBytes  5.00 Mbits/sec  1.041 ms  2/448 (0.45%)  
[  8]  14.00-15.00  sec   608 KBytes  4.98 Mbits/sec  1.977 ms  0/445 (0%)  
[  8]  15.00-16.00  sec   610 KBytes  5.00 Mbits/sec  1.088 ms  2/448 (0.45%)  
[  8]  16.00-17.00  sec   603 KBytes  4.94 Mbits/sec  1.659 ms  6/447 (1.3%)  
[  8]  17.00-18.00  sec   603 KBytes  4.94 Mbits/sec  1.705 ms  5/446 (1.1%)  
[  8]  18.00-19.00  sec   608 KBytes  4.97 Mbits/sec  2.053 ms  0/445 (0%)  
[  8]  19.00-20.00  sec   610 KBytes  5.01 Mbits/sec  1.580 ms  1/447 (0.22%)  
[  8]  20.00-21.00  sec   608 KBytes  4.98 Mbits/sec  1.531 ms  1/446 (0.22%)  
[  8]  21.00-22.00  sec   608 KBytes  4.98 Mbits/sec  1.436 ms  3/448 (0.67%)  
[  8]  22.00-23.00  sec   607 KBytes  4.97 Mbits/sec  1.044 ms  1/445 (0.22%)  
[  8]  23.00-24.00  sec   608 KBytes  4.98 Mbits/sec  1.556 ms  2/447 (0.45%)  
[  8]  24.00-25.00  sec   606 KBytes  4.96 Mbits/sec  1.343 ms  2/445 (0.45%)  
[  8]  25.00-26.00  sec   604 KBytes  4.95 Mbits/sec  1.202 ms  6/448 (1.3%)  
[  8]  26.00-27.00  sec   610 KBytes  4.99 Mbits/sec  0.950 ms  1/447 (0.22%)  
[  8]  27.00-28.00  sec   607 KBytes  4.97 Mbits/sec  1.094 ms  2/446 (0.45%)  
[  8]  28.00-29.00  sec   610 KBytes  4.99 Mbits/sec  1.861 ms  0/446 (0%)  
[  8]  29.00-30.00  sec   600 KBytes  4.92 Mbits/sec  1.575 ms  7/446 (1.6%)  
[  8]  30.00-31.00  sec   600 KBytes  4.92 Mbits/sec  1.052 ms  7/446 (1.6%)  
[  8]  31.00-32.00  sec   599 KBytes  4.91 Mbits/sec  1.928 ms  9/447 (2%)  
[  8]  32.00-33.00  sec   604 KBytes  4.95 Mbits/sec  2.035 ms  4/446 (0.9%)  
[  8]  33.00-34.00  sec   596 KBytes  4.88 Mbits/sec  1.336 ms  9/445 (2%)  
[  8]  34.00-35.00  sec   587 KBytes  4.80 Mbits/sec  2.790 ms  18/447 (4%)  
[  8]  35.00-36.00  sec   610 KBytes  5.00 Mbits/sec  0.953 ms  2/448 (0.45%)  
[  8]  36.00-37.00  sec   608 KBytes  4.98 Mbits/sec  1.159 ms  1/446 (0.22%)  
[  8]  37.00-38.00  sec   606 KBytes  4.96 Mbits/sec  1.955 ms  2/445 (0.45%)  
[  8]  38.00-39.00  sec   588 KBytes  4.82 Mbits/sec  1.077 ms  19/449 (4.2%)  
[  8]  39.00-40.00  sec   588 KBytes  4.82 Mbits/sec  1.733 ms  13/443 (2.9%)  
[  8]  40.00-41.00  sec   576 KBytes  4.72 Mbits/sec  1.665 ms  28/449 (6.2%)  
[  8]  41.00-42.00  sec   585 KBytes  4.79 Mbits/sec  1.571 ms  13/441 (2.9%)  
[  8]  42.00-43.00  sec   582 KBytes  4.77 Mbits/sec  1.626 ms  25/451 (5.5%)  
[  8]  43.00-44.00  sec   596 KBytes  4.88 Mbits/sec  1.792 ms  11/447 (2.5%)  
[  8]  44.00-45.00  sec   606 KBytes  4.96 Mbits/sec  2.017 ms  3/446 (0.67%)  
[  8]  45.00-46.00  sec   604 KBytes  4.95 Mbits/sec  1.777 ms  1/443 (0.23%)  
[  8]  46.00-47.00  sec   612 KBytes  5.02 Mbits/sec  1.312 ms  2/450 (0.44%)  
[  8]  47.00-48.00  sec   603 KBytes  4.94 Mbits/sec  1.664 ms  6/447 (1.3%)  
[  8]  48.00-49.00  sec   596 KBytes  4.88 Mbits/sec  1.497 ms  7/443 (1.6%)  
[  8]  49.00-50.00  sec   592 KBytes  4.85 Mbits/sec  1.832 ms  16/449 (3.6%)  
[  8]  50.00-51.00  sec   596 KBytes  4.88 Mbits/sec  1.400 ms  9/445 (2%)  
[  8]  51.00-52.00  sec   600 KBytes  4.92 Mbits/sec  1.754 ms  9/448 (2%)  
[  8]  52.00-53.00  sec   607 KBytes  4.97 Mbits/sec  1.628 ms  2/446 (0.45%)  
[  8]  53.00-54.00  sec   607 KBytes  4.97 Mbits/sec  1.460 ms  4/448 (0.89%)  
[  8]  54.00-55.00  sec   606 KBytes  4.96 Mbits/sec  1.305 ms  0/443 (0%)  
[  8]  55.00-56.00  sec   606 KBytes  4.96 Mbits/sec  1.156 ms  7/450 (1.6%)  
[  8]  56.00-57.00  sec   581 KBytes  4.76 Mbits/sec  1.561 ms  21/446 (4.7%)  
[  8]  57.00-58.00  sec   595 KBytes  4.87 Mbits/sec  1.916 ms  12/447 (2.7%)  
[  8]  58.00-59.00  sec   599 KBytes  4.91 Mbits/sec  1.280 ms  5/443 (1.1%)  
[  8]  59.00-60.00  sec   606 KBytes  4.96 Mbits/sec  1.207 ms  5/448 (1.1%)  
