ts	iface	rx_bytes	tx_bytes
1787660666.341556783	s10-eth1	7224	12062
1787660666.341556783	s10-eth2	7427	7427
1787660666.341556783	s10-eth3	7427	7427
1787660666.341556783	s10-eth4	7427	7427
1787660666.341556783	s1-eth1	12062	12062
1787660666.341556783	s1-eth10	1966	7807
1787660666.341556783	s1-eth11	2106	7867
1787660666.341556783	s1-eth12	2036	7807
1787660666.341556783	s1-eth13	2036	7807
1787660666.341556783	s1-eth14	2036	7867
1787660666.341556783	s1-eth15	2036	7867
1787660666.341556783	s1-eth16	2036	7867
1787660666.341556783	s1-eth17	2106	7867
1787660666.341556783	s1-eth18	2106	7807
1787660666.341556783	s1-eth19	2106	7867
1787660666.341556783	s1-eth2	12062	7427
1787660666.341556783	s1-eth20	2106	7867
1787660666.341556783	s1-eth21	2106	7867
1787660666.341556783	s1-eth22	2106	7867
1787660666.341556783	s1-eth23	2036	7807
1787660666.341556783	s1-eth24	2106	7867
1787660666.341556783	s1-eth25	2106	7807
1787660666.341556783	s1-eth26	2036	7972
1787660666.341556783	s1-eth27	2106	7807
1787660666.341556783	s1-eth28	2036	7867
1787660666.341556783	s1-eth29	2036	7867
1787660666.341556783	s1-eth3	2162	8063
1787660666.341556783	s1-eth30	2036	7867
1787660666.341556783	s1-eth31	2036	7867
1787660666.341556783	s1-eth32	2036	7867
1787660666.341556783	s1-eth33	1966	7867
1787660666.341556783	s1-eth34	2036	7867
1787660666.341556783	s1-eth4	2232	8063
1787660666.341556783	s1-eth5	2106	7867
1787660666.341556783	s1-eth6	2106	7867
1787660666.341556783	s1-eth7	2036	7867
1787660666.341556783	s1-eth8	2036	7807
1787660666.341556783	s1-eth9	2106	7867
1787660666.341556783	s2-eth1	7427	12062
1787660666.341556783	s2-eth10	2036	7867
1787660666.341556783	s2-eth11	2036	7867
1787660666.341556783	s2-eth12	2036	7867
1787660666.341556783	s2-eth13	2106	7937
1787660666.341556783	s2-eth14	2036	7867
1787660666.341556783	s2-eth15	1966	7867
1787660666.341556783	s2-eth16	2036	7867
1787660666.341556783	s2-eth17	2036	7867
1787660666.341556783	s2-eth18	1966	7867
1787660666.341556783	s2-eth19	2036	7867
1787660666.341556783	s2-eth2	7021	7427
1787660666.341556783	s2-eth20	2036	7867
1787660666.341556783	s2-eth21	2036	7867
1787660666.341556783	s2-eth22	1966	7867
1787660666.341556783	s2-eth23	2106	7867
1787660666.341556783	s2-eth24	2036	7867
1787660666.341556783	s2-eth25	2036	7927
1787660666.341556783	s2-eth26	2036	7867
1787660666.341556783	s2-eth27	2036	7867
1787660666.341556783	s2-eth28	2036	7867
1787660666.341556783	s2-eth29	2036	7867
1787660666.341556783	s2-eth3	2036	7927
1787660666.341556783	s2-eth30	1966	7867
1787660666.341556783	s2-eth31	2036	7867
1787660666.341556783	s2-eth32	1966	7867
1787660666.341556783	s2-eth33	1966	7927
1787660666.341556783	s2-eth34	1966	7867
1787660666.341556783	s2-eth4	2106	7927
1787660666.341556783	s2-eth5	2036	7937
1787660666.341556783	s2-eth6	2036	7867
1787660666.341556783	s2-eth7	2106	7867
1787660666.341556783	s2-eth8	2036	7867
1787660666.341556783	s2-eth9	1966	7867
1787660666.341556783	s3-eth1	12389	12062
1787660666.341556783	s3-eth10	2036	7867
1787660666.341556783	s3-eth11	2036	7867
1787660666.341556783	s3-eth12	2036	7867
1787660666.341556783	s3-eth13	1966	7867
1787660666.341556783	s3-eth14	2036	7867
1787660666.341556783	s3-eth15	1966	7867
1787660666.341556783	s3-eth16	2036	7867
1787660666.341556783	s3-eth17	2036	7867
1787660666.341556783	s3-eth18	2036	7937
1787660666.341556783	s3-eth19	2036	7867
1787660666.341556783	s3-eth2	12122	7427
1787660666.341556783	s3-eth20	2036	7867
1787660666.341556783	s3-eth21	1966	7867
1787660666.341556783	s3-eth22	2036	7867
1787660666.341556783	s3-eth23	2036	7867
1787660666.341556783	s3-eth24	1966	7867
1787660666.341556783	s3-eth25	2036	7867
1787660666.341556783	s3-eth26	2036	7867
1787660666.341556783	s3-eth27	1966	7867
1787660666.341556783	s3-eth28	2036	7867
1787660666.341556783	s3-eth29	2036	7867
1787660666.341556783	s3-eth3	2036	7867
1787660666.341556783	s3-eth30	1966	7867
1787660666.341556783	s3-eth31	2036	7867
1787660666.341556783	s3-eth32	2036	7867
1787660666.341556783	s3-eth33	2036	7867
1787660666.341556783	s3-eth34	2036	7867
1787660666.341556783	s3-eth4	2036	7972
1787660666.341556783	s3-eth5	2036	7867
1787660666.341556783	s3-eth6	2036	7867
1787660666.341556783	s3-eth7	2036	7867
1787660666.341556783	s3-eth8	2036	7867
1787660666.341556783	s3-eth9	1966	7867
1787660666.341556783	s4-eth1	7427	12062
1787660666.341556783	s4-eth10	2036	7867
1787660666.341556783	s4-eth11	2036	7867
1787660666.341556783	s4-eth12	2036	7867
1787660666.341556783	s4-eth13	1966	7867
1787660666.341556783	s4-eth14	2126	7867
1787660666.341556783	s4-eth15	2036	7867
1787660666.341556783	s4-eth16	2036	7867
1787660666.341556783	s4-eth17	2036	7867
1787660666.341556783	s4-eth18	1966	7927
1787660666.341556783	s4-eth19	2036	7867
1787660666.341556783	s4-eth2	7427	7427
1787660666.341556783	s4-eth20	2036	7867
1787660666.341556783	s4-eth21	2036	7867
1787660666.341556783	s4-eth22	2036	7867
1787660666.341556783	s4-eth23	2036	7867
1787660666.341556783	s4-eth24	2036	7867
1787660666.341556783	s4-eth25	2036	7867
1787660666.341556783	s4-eth26	2036	7777
1787660666.341556783	s4-eth27	2036	7867
1787660666.341556783	s4-eth28	2036	7867
1787660666.341556783	s4-eth29	2036	7867
1787660666.341556783	s4-eth3	2036	7867
1787660666.341556783	s4-eth30	2036	7867
1787660666.341556783	s4-eth31	2036	7867
1787660666.341556783	s4-eth32	1966	7867
1787660666.341556783	s4-eth33	2036	7867
1787660666.341556783	s4-eth34	2036	7777
1787660666.341556783	s4-eth4	1966	7867
1787660666.341556783	s4-eth5	2036	7867
1787660666.341556783	s4-eth6	1966	7867
1787660666.341556783	s4-eth7	1966	7867
1787660666.341556783	s4-eth8	1966	7867
1787660666.341556783	s4-eth9	2036	7867
1787660666.341556783	s5-eth1	12062	12062
1787660666.341556783	s5-eth2	12122	7427
1787660666.341556783	s5-eth3	12062	7427
1787660666.341556783	s5-eth4	12122	7224
1787660666.341556783	s6-eth1	7427	12122
1787660666.341556783	s6-eth2	7487	7081
1787660666.341556783	s6-eth3	7427	7487
1787660666.341556783	s6-eth4	7427	7487
1787660666.341556783	s7-eth1	12062	12389
1787660666.341556783	s7-eth2	12062	7427
1787660666.341556783	s7-eth3	7427	7427
1787660666.341556783	s7-eth4	7487	7427
1787660666.341556783	s8-eth1	7427	12122
1787660666.341556783	s8-eth2	7427	7427
1787660666.341556783	s8-eth3	7487	7427
1787660666.341556783	s8-eth4	7427	7427
1787660666.341556783	s9-eth1	7427	12062
1787660666.341556783	s9-eth2	7487	7427
1787660666.341556783	s9-eth3	7427	7427
1787660666.341556783	s9-eth4	7427	7487
1787660668.988663192	s10-eth1	7284	12182
1787660668.988663192	s10-eth2	7547	7487
1787660668.988663192	s10-eth3	7487	7547
1787660668.988663192	s10-eth4	7487	7487
1787660668.988663192	s1-eth1	12122	12122
1787660668.988663192	s1-eth10	1966	7927
1787660668.988663192	s1-eth11	2106	7927
1787660668.988663192	s1-eth12	2036	7927
1787660668.988663192	s1-eth13	2036	7927
1787660668.988663192	s1-eth14	2036	7927
1787660668.988663192	s1-eth15	2036	7927
1787660668.988663192	s1-eth16	2036	7927
1787660668.988663192	s1-eth17	2106	7997
1787660668.988663192	s1-eth18	2106	7927
1787660668.988663192	s1-eth19	2106	7927
1787660668.988663192	s1-eth2	12182	7487
1787660668.988663192	s1-eth20	2106	7927
1787660668.988663192	s1-eth21	2106	7927
1787660668.988663192	s1-eth22	2106	7927
1787660668.988663192	s1-eth23	2036	7927
1787660668.988663192	s1-eth24	2106	7927
1787660668.988663192	s1-eth25	2106	7927
1787660668.988663192	s1-eth26	2036	8032
1787660668.988663192	s1-eth27	2106	7927
1787660668.988663192	s1-eth28	2036	7927
1787660668.988663192	s1-eth29	2036	7927
1787660668.988663192	s1-eth3	2162	8193
1787660668.988663192	s1-eth30	2036	7927
1787660668.988663192	s1-eth31	2036	7927
1787660668.988663192	s1-eth32	2036	7927
1787660668.988663192	s1-eth33	1966	7927
1787660668.988663192	s1-eth34	2036	7927
1787660668.988663192	s1-eth4	2232	8253
1787660668.988663192	s1-eth5	2106	7927
1787660668.988663192	s1-eth6	2106	7927
1787660668.988663192	s1-eth7	2036	7927
1787660668.988663192	s1-eth8	2036	7927
1787660668.988663192	s1-eth9	2106	7927
1787660668.988663192	s2-eth1	7487	12182
1787660668.988663192	s2-eth10	2036	7987
1787660668.988663192	s2-eth11	2036	7987
1787660668.988663192	s2-eth12	2036	7987
1787660668.988663192	s2-eth13	2106	8057
1787660668.988663192	s2-eth14	2036	7987
1787660668.988663192	s2-eth15	1966	7987
1787660668.988663192	s2-eth16	2036	7987
1787660668.988663192	s2-eth17	2036	7987
1787660668.988663192	s2-eth18	1966	7987
1787660668.988663192	s2-eth19	2036	7987
1787660668.988663192	s2-eth2	7141	7547
1787660668.988663192	s2-eth20	2036	7987
1787660668.988663192	s2-eth21	2036	7987
1787660668.988663192	s2-eth22	1966	7987
1787660668.988663192	s2-eth23	2106	7987
1787660668.988663192	s2-eth24	2036	7987
1787660668.988663192	s2-eth25	2036	7987
1787660668.988663192	s2-eth26	2036	7987
1787660668.988663192	s2-eth27	2036	7987
1787660668.988663192	s2-eth28	2036	7987
1787660668.988663192	s2-eth29	2036	7987
1787660668.988663192	s2-eth3	2036	7987
1787660668.988663192	s2-eth30	1966	7987
1787660668.988663192	s2-eth31	2036	7987
1787660668.988663192	s2-eth32	1966	7987
1787660668.988663192	s2-eth33	1966	7987
1787660668.988663192	s2-eth34	1966	7987
