ts	iface	rx_bytes	tx_bytes
1787661606.142962240	s10-eth1	1502773183	68851
1787661606.142962240	s10-eth2	951768022	50523
1787661606.142962240	s10-eth3	52719	1135930655
1787661606.142962240	s10-eth4	54348	1318796631
1787661606.142962240	s1-eth1	81570	1590488252
1787661606.142962240	s1-eth10	21891838	38099
1787661606.142962240	s1-eth11	388886101	40002
1787661606.142962240	s1-eth12	21891837	38097
1787661606.142962240	s1-eth13	21891833	38096
1787661606.142962240	s1-eth14	21891970	38169
1787661606.142962240	s1-eth15	305754858	39999
1787661606.142962240	s1-eth16	21891904	38168
1787661606.142962240	s1-eth17	21892038	38167
1787661606.142962240	s1-eth18	21891839	38233
1787661606.142962240	s1-eth19	1293120975	39869
1787661606.142962240	s1-eth2	70602	3522018963
1787661606.142962240	s1-eth20	21892110	38163
1787661606.142962240	s1-eth21	21892108	38095
1787661606.142962240	s1-eth22	21891972	38243
1787661606.142962240	s1-eth23	305832873	39949
1787661606.142962240	s1-eth24	21891910	38163
1787661606.142962240	s1-eth25	21891907	38094
1787661606.142962240	s1-eth26	21891841	38270
1787661606.142962240	s1-eth27	389041770	39935
1787661606.142962240	s1-eth28	21891908	38096
1787661606.142962240	s1-eth29	21891903	38245
1787661606.142962240	s1-eth3	1293689380	40131
1787661606.142962240	s1-eth30	21891834	38169
1787661606.142962240	s1-eth31	305885948	39935
1787661606.142962240	s1-eth32	21891838	38167
1787661606.142962240	s1-eth33	21891771	38235
1787661606.142962240	s1-eth34	21891838	38167
1787661606.142962240	s1-eth4	21892236	38424
1787661606.142962240	s1-eth5	21891906	38097
1787661606.142962240	s1-eth6	21891907	38167
1787661606.142962240	s1-eth7	306006944	39868
1787661606.142962240	s1-eth8	21892105	38174
1787661606.142962240	s1-eth9	21891978	38169
1787661606.142962240	s2-eth1	804671818	870427582
1787661606.142962240	s2-eth10	21891771	38224
1787661606.142962240	s2-eth11	389224964	39922
1787661606.142962240	s2-eth12	21891836	38226
1787661606.142962240	s2-eth13	21891973	38304
1787661606.142962240	s2-eth14	21891769	38225
1787661606.142962240	s2-eth15	306089197	39926
1787661606.142962240	s2-eth16	21891974	38305
1787661606.142962240	s2-eth17	21892125	38371
1787661606.142962240	s2-eth18	21891836	38227
1787661606.142962240	s2-eth19	5336	1294571612
1787661606.142962240	s2-eth2	1753967341	541662862
1787661606.142962240	s2-eth20	3560	21926633
1787661606.142962240	s2-eth21	3562	21926631
1787661606.142962240	s2-eth22	3500	21926565
1787661606.142962240	s2-eth23	5416	306229408
1787661606.142962240	s2-eth24	3560	21926503
1787661606.142962240	s2-eth25	3491	21926570
1787661606.142962240	s2-eth26	3562	21926504
1787661606.142962240	s2-eth27	5332	389448469
1787661606.142962240	s2-eth28	3493	21926571
1787661606.142962240	s2-eth29	3642	21926566
1787661606.142962240	s2-eth3	147937985	40123
1787661606.142962240	s2-eth30	3426	21926497
1787661606.142962240	s2-eth31	5262	306305625
1787661606.142962240	s2-eth32	3494	21926571
1787661606.142962240	s2-eth33	3562	21926494
1787661606.142962240	s2-eth34	3494	21926501
1787661606.142962240	s2-eth4	21891977	38289
1787661606.142962240	s2-eth5	21891906	38227
1787661606.142962240	s2-eth6	21891905	38157
1787661606.142962240	s2-eth7	306419617	39929
1787661606.142962240	s2-eth8	21892036	38306
1787661606.142962240	s2-eth9	21891768	38228
1787661606.142962240	s3-eth1	1799381420	936829463
1787661606.142962240	s3-eth10	3566	21926571
1787661606.142962240	s3-eth11	5399	389695048
1787661606.142962240	s3-eth12	3494	21926500
1787661606.142962240	s3-eth13	3493	21926496
1787661606.142962240	s3-eth14	3566	21926703
1787661606.142962240	s3-eth15	5256	306565317
1787661606.142962240	s3-eth16	3565	21926497
1787661606.142962240	s3-eth17	3494	21926701
1787661606.142962240	s3-eth18	3560	21926502
1787661606.142962240	s3-eth19	147992785	39998
1787661606.142962240	s3-eth2	762073225	476482789
1787661606.142962240	s3-eth20	21891839	38221
1787661606.142962240	s3-eth21	21891779	38288
1787661606.142962240	s3-eth22	21891837	38157
1787661606.142962240	s3-eth23	306579487	39921
1787661606.142962240	s3-eth24	21891770	38223
1787661606.142962240	s3-eth25	21891905	38228
1787661606.142962240	s3-eth26	21891836	38154
1787661606.142962240	s3-eth27	389787146	39922
1787661606.142962240	s3-eth28	21891836	38157
1787661606.142962240	s3-eth29	21891905	38154
1787661606.142962240	s3-eth3	5332	1296842963
1787661606.142962240	s3-eth30	21891768	38157
1787661606.142962240	s3-eth31	306650143	39928
1787661606.142962240	s3-eth32	21891908	38228
1787661606.142962240	s3-eth33	21891970	38229
1787661606.142962240	s3-eth34	21891905	38229
1787661606.142962240	s3-eth4	3495	21926808
1787661606.142962240	s3-eth5	3494	21926499
1787661606.142962240	s3-eth6	3494	21926500
1787661606.142962240	s3-eth7	5265	306798657
1787661606.142962240	s3-eth8	3641	21926698
1787661606.142962240	s3-eth9	3426	21926501
1787661606.142962240	s4-eth1	1704182068	77502
1787661606.142962240	s4-eth10	3561	21926434
1787661606.142962240	s4-eth11	5329	390002257
1787661606.142962240	s4-eth12	3493	21926499
1787661606.142962240	s4-eth13	3501	21926566
1787661606.142962240	s4-eth14	3652	21926432
1787661606.142962240	s4-eth15	5333	306873770
1787661606.142962240	s4-eth16	3572	21926637
1787661606.142962240	s4-eth17	3638	21926788
1787661606.142962240	s4-eth18	3494	21926559
1787661606.142962240	s4-eth19	5265	148083616
1787661606.142962240	s4-eth2	1124318734	62678
1787661606.142962240	s4-eth20	3558	21926502
1787661606.142962240	s4-eth21	3625	21926512
1787661606.142962240	s4-eth22	3494	21926500
1787661606.142962240	s4-eth23	5328	306875082
1787661606.142962240	s4-eth24	3560	21926503
1787661606.142962240	s4-eth25	3565	21926498
1787661606.142962240	s4-eth26	3491	21926409
1787661606.142962240	s4-eth27	5329	390061181
1787661606.142962240	s4-eth28	3494	21926499
1787661606.142962240	s4-eth29	3491	21926498
1787661606.142962240	s4-eth3	5330	148102498
1787661606.142962240	s4-eth30	3564	21926501
1787661606.142962240	s4-eth31	5335	306935714
1787661606.142962240	s4-eth32	3495	21926501
1787661606.142962240	s4-eth33	3566	21926633
1787661606.142962240	s4-eth34	3496	21926408
1787661606.142962240	s4-eth4	3426	21926500
1787661606.142962240	s4-eth5	3494	21926569
1787661606.142962240	s4-eth6	3424	21926568
1787661606.142962240	s4-eth7	5196	307071386
1787661606.142962240	s4-eth8	3503	21926769
1787661606.142962240	s4-eth9	3565	21926501
1787661606.142962240	s5-eth1	1596021266	81630
1787661606.142962240	s5-eth2	872518542	806774314
1787661606.142962240	s5-eth3	56564	153264198
1787661606.142962240	s5-eth4	68911	1508594597
1787661606.142962240	s6-eth1	3534942227	70662
1787661606.142962240	s6-eth2	542797776	1758724559
1787661606.142962240	s6-eth3	49461	1364169719
1787661606.142962240	s6-eth4	50583	954969322
1787661606.142962240	s7-eth1	938130147	1802660588
1787661606.142962240	s7-eth2	77502	1705564946
1787661606.142962240	s7-eth3	1429873637	44824
1787661606.142962240	s7-eth4	1140278345	52779
1787661606.142962240	s8-eth1	477120153	763147575
1787661606.142962240	s8-eth2	62678	1124946004
