ts	iface	rx_bytes	tx_bytes
1787676732.919465510	s10-eth1	4394415649	30689
1787676732.919465510	s10-eth2	29786	30689
1787676732.919465510	s10-eth3	29786	4364076736
1787676732.919465510	s10-eth4	29716	30689
1787676732.919465510	s1-eth1	49898	5876768361
1787676732.919465510	s1-eth10	1702	5555
1787676732.919465510	s1-eth11	437754234	8132
1787676732.919465510	s1-eth12	1682	5555
1787676732.919465510	s1-eth13	1772	5625
1787676732.919465510	s1-eth14	1772	5625
1787676732.919465510	s1-eth15	437755598	8110
1787676732.919465510	s1-eth16	1702	5625
1787676732.919465510	s1-eth17	1702	5535
1787676732.919465510	s1-eth18	1772	5625
1787676732.919465510	s1-eth19	1751002613	8169
1787676732.919465510	s1-eth2	29919	29786
1787676732.919465510	s1-eth20	1612	5394
1787676732.919465510	s1-eth21	1702	5625
1787676732.919465510	s1-eth22	1772	5625
1787676732.919465510	s1-eth23	218879834	7482
1787676732.919465510	s1-eth24	1702	5535
1787676732.919465510	s1-eth25	1772	5625
1787676732.919465510	s1-eth26	1772	5535
1787676732.919465510	s1-eth27	437755583	8209
1787676732.919465510	s1-eth28	1772	5625
1787676732.919465510	s1-eth29	1772	5625
1787676732.919465510	s1-eth3	1751002488	8234
1787676732.919465510	s1-eth30	1612	5535
1787676732.919465510	s1-eth31	437755754	8208
1787676732.919465510	s1-eth32	1682	5535
1787676732.919465510	s1-eth33	1772	5625
1787676732.919465510	s1-eth34	1772	5535
1787676732.919465510	s1-eth4	1898	5731
1787676732.919465510	s1-eth5	1772	5304
1787676732.919465510	s1-eth6	1772	5625
1787676732.919465510	s1-eth7	437755897	8194
1787676732.919465510	s1-eth8	1612	5625
1787676732.919465510	s1-eth9	1772	5535
1787676732.919465510	s2-eth1	2781820181	1400855590
1787676732.919465510	s2-eth10	1682	5575
1787676732.919465510	s2-eth11	437755686	8106
1787676732.919465510	s2-eth12	1682	5465
1787676732.919465510	s2-eth13	1772	5394
1787676732.919465510	s2-eth14	1772	5625
1787676732.919465510	s2-eth15	437755729	8197
1787676732.919465510	s2-eth16	1772	5535
1787676732.919465510	s2-eth17	1682	5625
1787676732.919465510	s2-eth18	1772	5535
1787676732.919465510	s2-eth19	4386	1704361854
1787676732.919465510	s2-eth2	27350	29786
1787676732.919465510	s2-eth20	1702	5535
1787676732.919465510	s2-eth21	1612	5555
1787676732.919465510	s2-eth22	1682	5535
1787676732.919465510	s2-eth23	3629	214432097
1787676732.919465510	s2-eth24	1772	5515
1787676732.919465510	s2-eth25	1682	5625
1787676732.919465510	s2-eth26	1772	5535
1787676732.919465510	s2-eth27	4356	428974932
1787676732.919465510	s2-eth28	1772	5465
1787676732.919465510	s2-eth29	1612	5535
1787676732.919465510	s2-eth3	87557330	8257
1787676732.919465510	s2-eth30	1772	5515
1787676732.919465510	s2-eth31	4175	428901311
1787676732.919465510	s2-eth32	1522	5645
1787676732.919465510	s2-eth33	1682	5625
1787676732.919465510	s2-eth34	1682	5535
1787676732.919465510	s2-eth4	1772	5625
1787676732.919465510	s2-eth5	1682	5535
1787676732.919465510	s2-eth6	1612	5535
1787676732.919465510	s2-eth7	437754099	8043
