ts	iface	rx_bytes	tx_bytes
1787672288.670509418	s10-eth1	4172	4187
1787672288.670509418	s10-eth2	4172	4187
1787672288.670509418	s10-eth3	4172	4187
1787672288.670509418	s10-eth4	4172	4187
1787672288.670509418	s1-eth1	4172	4172
1787672288.670509418	s1-eth10	1352	3987
1787672288.670509418	s1-eth11	1352	3987
1787672288.670509418	s1-eth12	1262	3987
1787672288.670509418	s1-eth13	1352	3987
1787672288.670509418	s1-eth14	1352	3987
1787672288.670509418	s1-eth15	1262	3897
1787672288.670509418	s1-eth16	1352	3987
1787672288.670509418	s1-eth17	1352	3897
1787672288.670509418	s1-eth18	1352	3987
1787672288.670509418	s1-eth19	1352	3897
1787672288.670509418	s1-eth2	4305	4172
1787672288.670509418	s1-eth20	1262	3756
1787672288.670509418	s1-eth21	1352	3987
1787672288.670509418	s1-eth22	1352	3987
1787672288.670509418	s1-eth23	1352	3897
1787672288.670509418	s1-eth24	1352	3897
1787672288.670509418	s1-eth25	1352	3987
1787672288.670509418	s1-eth26	1352	3897
1787672288.670509418	s1-eth27	1262	3987
1787672288.670509418	s1-eth28	1352	3987
1787672288.670509418	s1-eth29	1352	3987
1787672288.670509418	s1-eth3	1458	4093
1787672288.670509418	s1-eth30	1262	3897
1787672288.670509418	s1-eth31	1352	3987
1787672288.670509418	s1-eth32	1262	3897
1787672288.670509418	s1-eth33	1352	3987
1787672288.670509418	s1-eth34	1352	3897
1787672288.670509418	s1-eth4	1548	4093
1787672288.670509418	s1-eth5	1352	3666
1787672288.670509418	s1-eth6	1352	3987
1787672288.670509418	s1-eth7	1352	3987
1787672288.670509418	s1-eth8	1262	3987
1787672288.670509418	s1-eth9	1352	3897
1787672288.670509418	s2-eth1	4172	4172
1787672288.670509418	s2-eth10	1262	4007
1787672288.670509418	s2-eth11	1352	3897
1787672288.670509418	s2-eth12	1262	3897
1787672288.670509418	s2-eth13	1352	3756
1787672288.670509418	s2-eth14	1352	3987
1787672288.670509418	s2-eth15	1262	3987
1787672288.670509418	s2-eth16	1352	3897
