ts	iface	rx_bytes	tx_bytes
1787671494.134433141	s10-eth1	2084166226	7547
1787671494.134433141	s10-eth2	7313	7344
1787671494.134433141	s10-eth3	7313	2059164308
1787671494.134433141	s10-eth4	7313	7344
1787671494.134433141	s1-eth1	15508	2917457506
1787671494.134433141	s1-eth10	1562	4826
1787671494.134433141	s1-eth11	218878654	6125
1787671494.134433141	s1-eth12	1492	4736
1787671494.134433141	s1-eth13	1562	4736
1787671494.134433141	s1-eth14	1562	4736
1787671494.134433141	s1-eth15	218878725	6128
1787671494.134433141	s1-eth16	1562	4806
1787671494.134433141	s1-eth17	1562	4806
1787671494.134433141	s1-eth18	1562	4736
1787671494.134433141	s1-eth19	875502012	6126
1787671494.134433141	s1-eth2	7243	7313
1787671494.134433141	s1-eth20	1562	4806
1787671494.134433141	s1-eth21	1562	4806
1787671494.134433141	s1-eth22	1562	4587
1787671494.134433141	s1-eth23	218878649	6061
1787671494.134433141	s1-eth24	1492	4736
1787671494.134433141	s1-eth25	1562	4736
1787671494.134433141	s1-eth26	1562	4736
1787671494.134433141	s1-eth27	218875561	5989
1787671494.134433141	s1-eth28	1492	4806
1787671494.134433141	s1-eth29	1562	4806
1787671494.134433141	s1-eth3	875489294	6321
1787671494.134433141	s1-eth30	1492	4806
1787671494.134433141	s1-eth31	218878443	6163
1787671494.134433141	s1-eth32	1492	4806
1787671494.134433141	s1-eth33	1492	4736
1787671494.134433141	s1-eth34	1492	4806
1787671494.134433141	s1-eth4	1758	5002
1787671494.134433141	s1-eth5	1562	4806
1787671494.134433141	s1-eth6	1562	4736
1787671494.134433141	s1-eth7	218878516	5991
1787671494.134433141	s1-eth8	1492	4806
1787671494.134433141	s1-eth9	1562	4736
1787671494.134433141	s2-eth1	1387098810	700395652
1787671494.134433141	s2-eth10	1562	4806
1787671494.134433141	s2-eth11	218878664	6190
1787671494.134433141	s2-eth12	1492	4806
1787671494.134433141	s2-eth13	1562	4736
1787671494.134433141	s2-eth14	1562	4736
1787671494.134433141	s2-eth15	218878646	6058
1787671494.134433141	s2-eth16	1562	4806
1787671494.134433141	s2-eth17	1562	4736
1787671494.134433141	s2-eth18	1562	4736
1787671494.134433141	s2-eth19	2812	767888729
1787671494.134433141	s2-eth2	7243	7313
1787671494.134433141	s2-eth20	1562	4806
1787671494.134433141	s2-eth21	1562	4736
1787671494.134433141	s2-eth22	1492	4806
1787671494.134433141	s2-eth23	2817	203628350
1787671494.134433141	s2-eth24	1492	4806
1787671494.134433141	s2-eth25	1562	4736
1787671494.134433141	s2-eth26	1562	4736
1787671494.134433141	s2-eth27	2815	203664196
1787671494.134433141	s2-eth28	1492	4736
1787671494.134433141	s2-eth29	1562	4806
1787671494.134433141	s2-eth3	43779415	6052
1787671494.134433141	s2-eth30	1562	4806
1787671494.134433141	s2-eth31	2814	203250340
1787671494.134433141	s2-eth32	1492	4806
1787671494.134433141	s2-eth33	1562	4736
1787671494.134433141	s2-eth34	1492	4736
1787671494.134433141	s2-eth4	1562	4806
1787671494.134433141	s2-eth5	1562	4806
1787671494.134433141	s2-eth6	1492	4806
1787671494.134433141	s2-eth7	218877226	6123
1787671494.134433141	s2-eth8	1562	4736
1787671494.134433141	s2-eth9	1492	4911
1787671494.134433141	s3-eth1	1352134624	700386237
1787671494.134433141	s3-eth10	1492	4806
1787671494.134433141	s3-eth11	2811	198951883
1787671494.134433141	s3-eth12	1492	4806
1787671494.134433141	s3-eth13	1562	4736
1787671494.134433141	s3-eth14	1492	4806
1787671494.134433141	s3-eth15	2884	198835152
1787671494.134433141	s3-eth16	1492	4756
1787671494.134433141	s3-eth17	1562	4736
1787671494.134433141	s3-eth18	1562	4806
1787671494.134433141	s3-eth19	43777973	6121
1787671494.134433141	s3-eth2	7313	7313
1787671494.134433141	s3-eth20	1492	4806
1787671494.134433141	s3-eth21	1492	4736
1787671494.134433141	s3-eth22	1562	4806
1787671494.134433141	s3-eth23	218878754	6200
1787671494.134433141	s3-eth24	1562	4736
1787671494.134433141	s3-eth25	1492	4806
1787671494.134433141	s3-eth26	1562	4806
1787671494.134433141	s3-eth27	218879042	6268
1787671494.134433141	s3-eth28	1492	4806
1787671494.134433141	s3-eth29	1562	4736
1787671494.134433141	s3-eth3	2811	749970365
1787671494.134433141	s3-eth30	1562	4806
