ts	iface	rx_bytes	tx_bytes
1787643950.565443202	s10-eth1	9365	408912
1787643950.565443202	s10-eth2	9365	7715
1787643950.565443202	s10-eth3	625777	192482
1787643950.565443202	s10-eth4	9365	42919
1787643950.565443202	s1-eth1	369895	1151279610
1787643950.565443202	s1-eth10	48294096	16059
1787643950.565443202	s1-eth11	130039741	18134
1787643950.565443202	s1-eth12	48292277	16357
1787643950.565443202	s1-eth13	54721613	17553
1787643950.565443202	s1-eth14	48293442	16292
1787643950.565443202	s1-eth15	28992354	19044
1787643950.565443202	s1-eth16	28988533	15372
1787643950.565443202	s1-eth17	54737397	16765
1787643950.565443202	s1-eth18	48296987	15947
1787643950.565443202	s1-eth19	141613793	16181
1787643950.565443202	s1-eth2	18530	9365
1787643950.565443202	s1-eth20	48300491	15221
1787643950.565443202	s1-eth21	41865076	15832
1787643950.565443202	s1-eth22	48286870	15356
1787643950.565443202	s1-eth23	28992504	17718
1787643950.565443202	s1-eth24	45075818	14337
1787643950.565443202	s1-eth25	16112115	14284
1787643950.565443202	s1-eth26	28983968	13789
1787643950.565443202	s1-eth27	130048161	16032
1787643950.565443202	s1-eth28	28980344	13807
1787643950.565443202	s1-eth29	35426848	15797
1787643950.565443202	s1-eth3	257503804	18178
1787643950.565443202	s1-eth30	35425022	14032
1787643950.565443202	s1-eth31	26417402	16558
1787643950.565443202	s1-eth32	48297590	15060
1787643950.565443202	s1-eth33	35428618	15814
1787643950.565443202	s1-eth34	28985574	13618
1787643950.565443202	s1-eth4	48295103	17036
1787643950.565443202	s1-eth5	54727912	18180
1787643950.565443202	s1-eth6	48287899	17082
1787643950.565443202	s1-eth7	28986734	18990
1787643950.565443202	s1-eth8	48296256	17410
1787643950.565443202	s1-eth9	54724146	17791
1787643950.565443202	s2-eth1	408346658	786873191
1787643950.565443202	s2-eth10	48295555	16172
1787643950.565443202	s2-eth11	207267413	17705
1787643950.565443202	s2-eth12	48296763	16123
1787643950.565443202	s2-eth13	54737438	16609
1787643950.565443202	s2-eth14	48297793	15706
1787643950.565443202	s2-eth15	28993860	17980
1787643950.565443202	s2-eth16	41864499	14759
1787643950.565443202	s2-eth17	54736538	17040
1787643950.565443202	s2-eth18	35424070	14681
1787643950.565443202	s2-eth19	13493	91256378
1787643950.565443202	s2-eth2	7335	1380174
1787643950.565443202	s2-eth20	12157	16542581
1787643950.565443202	s2-eth21	12655	16735680
1787643950.565443202	s2-eth22	12022	15831854
1787643950.565443202	s2-eth23	14853	21069425
1787643950.565443202	s2-eth24	11167	13644846
1787643950.565443202	s2-eth25	11561	11231806
1787643950.565443202	s2-eth26	11195	8566971
