ts	iface	rx_bytes	tx_bytes
1787818509.289718527	s10-eth1	362341218076	143181169
1787818509.289718527	s10-eth2	189313682581	61919704
1787818509.289718527	s10-eth3	118615596	385173478344
1787818509.289718527	s10-eth4	86398661	166481422253
1787818509.289718527	s1-eth1	87107874	209500894835
1787818509.289718527	s1-eth10	17098909576	7070144
1787818509.289718527	s1-eth11	17995652230	13652286
1787818509.289718527	s1-eth12	20340495545	9241977
1787818509.289718527	s1-eth13	23971426895	10019023
1787818509.289718527	s1-eth14	20689888112	10582056
1787818509.289718527	s1-eth15	16306592783	9561636
1787818509.289718527	s1-eth16	21690235125	8970426
1787818509.289718527	s1-eth17	14244941551	7716726
1787818509.289718527	s1-eth18	22770804960	10103837
1787818509.289718527	s1-eth19	2456	383888
1787818509.289718527	s1-eth2	72384003	151928734995
1787818509.289718527	s1-eth20	2456	383818
1787818509.289718527	s1-eth21	2456	383888
1787818509.289718527	s1-eth22	2456	383818
1787818509.289718527	s1-eth23	2456	383818
1787818509.289718527	s1-eth24	2456	383818
1787818509.289718527	s1-eth25	2456	383818
1787818509.289718527	s1-eth26	2456	383888
1787818509.289718527	s1-eth27	2456	383818
1787818509.289718527	s1-eth28	2456	383818
1787818509.289718527	s1-eth29	2456	383818
1787818509.289718527	s1-eth3	20810821695	9086966
1787818509.289718527	s1-eth30	2456	383818
1787818509.289718527	s1-eth31	2456	383818
1787818509.289718527	s1-eth32	2456	383818
1787818509.289718527	s1-eth33	2456	383888
1787818509.289718527	s1-eth34	2456	383818
1787818509.289718527	s1-eth4	38027009372	17150937
1787818509.289718527	s1-eth5	30915180833	13891529
1787818509.289718527	s1-eth6	25617992273	9574839
1787818509.289718527	s1-eth7	21433160889	9152694
1787818509.289718527	s1-eth8	27026237377	10147504
1787818509.289718527	s1-eth9	22489467490	8771642
1787818509.289718527	s2-eth1	108247505	318110679172
1787818509.289718527	s2-eth10	27901672705	7707352
1787818509.289718527	s2-eth11	30298651966	9792052
1787818509.289718527	s2-eth12	25378489037	5117299
1787818509.289718527	s2-eth13	27425575869	6298320
1787818509.289718527	s2-eth14	37532008967	10516348
1787818509.289718527	s2-eth15	29960285006	7397862
1787818509.289718527	s2-eth16	41864121909	13754465
1787818509.289718527	s2-eth17	38791101168	12602167
1787818509.289718527	s2-eth18	73522131990	32087485
1787818509.289718527	s2-eth19	2456	383828
1787818509.289718527	s2-eth2	40688406	151550400231
1787818509.289718527	s2-eth20	2456	383758
1787818509.289718527	s2-eth21	2456	383828
1787818509.289718527	s2-eth22	2456	383758
1787818509.289718527	s2-eth23	2456	383539
1787818509.289718527	s2-eth24	2456	383828
1787818509.289718527	s2-eth25	2456	383863
1787818509.289718527	s2-eth26	2456	383828
1787818509.289718527	s2-eth27	2526	383758
1787818509.289718527	s2-eth28	2456	383758
1787818509.289718527	s2-eth29	2456	383758
1787818509.289718527	s2-eth3	14466400192	6640879
1787818509.289718527	s2-eth30	2456	383758
1787818509.289718527	s2-eth31	2456	383758
1787818509.289718527	s2-eth32	2456	383828
1787818509.289718527	s2-eth33	2456	383758
1787818509.289718527	s2-eth34	2456	383758
1787818509.289718527	s2-eth4	19469299288	8235670
1787818509.289718527	s2-eth5	12717825993	4935640
1787818509.289718527	s2-eth6	15222825463	5492150
1787818509.289718527	s2-eth7	21251344394	7857914
1787818509.289718527	s2-eth8	27440922950	8348281
1787818509.289718527	s2-eth9	26417609078	7525529
1787818509.289718527	s3-eth1	258943048026	64724211
1787818509.289718527	s3-eth10	6688782	17099290808
1787818509.289718527	s3-eth11	13270924	17996033592
1787818509.289718527	s3-eth12	8860615	20340876907
1787818509.289718527	s3-eth13	9637661	23971808257
1787818509.289718527	s3-eth14	10200694	20690269404
1787818509.289718527	s3-eth15	9180274	16306974145
1787818509.289718527	s3-eth16	8589064	21690616487
1787818509.289718527	s3-eth17	7335364	14245322913
1787818509.289718527	s3-eth18	9722475	22771186252
1787818509.289718527	s3-eth19	2456	383818
1787818509.289718527	s3-eth2	102486667411	94681448
1787818509.289718527	s3-eth20	2456	383818
1787818509.289718527	s3-eth21	2456	383818
1787818509.289718527	s3-eth22	2456	383818
1787818509.289718527	s3-eth23	2526	383818
1787818509.289718527	s3-eth24	2456	383818
1787818509.289718527	s3-eth25	2456	383888
1787818509.289718527	s3-eth26	2456	383818
1787818509.289718527	s3-eth27	2456	383818
1787818509.289718527	s3-eth28	2456	383818
1787818509.289718527	s3-eth29	2456	383888
1787818509.289718527	s3-eth3	8705478	20811202861
1787818509.289718527	s3-eth30	2456	383818
1787818509.289718527	s3-eth31	2456	383818
1787818509.289718527	s3-eth32	2456	383818
1787818509.289718527	s3-eth33	2526	383818
1787818509.289718527	s3-eth34	2456	383615
1787818509.289718527	s3-eth4	16769274	38027390538
1787818509.289718527	s3-eth5	13510167	30915562195
1787818509.289718527	s3-eth6	9193477	25618373635
1787818509.289718527	s3-eth7	8771332	21433542251
1787818509.289718527	s3-eth8	9766142	27026618739
1787818509.289718527	s3-eth9	8390280	22489848852
1787818509.289718527	s4-eth1	287173182014	95994270
1787818509.289718527	s4-eth10	7326050	27902054077
1787818509.289718527	s4-eth11	9410750	30299033268
1787818509.289718527	s4-eth12	4735997	25378870269
1787818509.289718527	s4-eth13	5917018	27425957171
1787818509.289718527	s4-eth14	10135046	37532390269
1787818509.289718527	s4-eth15	7016560	29960666328
1787818509.289718527	s4-eth16	13373163	41864503211
1787818509.289718527	s4-eth17	12220865	38791482470
1787818509.289718527	s4-eth18	31706183	73522513292
