ts	iface	rx_bytes	tx_bytes
1787818652.656789965	s10-eth1	619311063339	232048526
1787818652.656789965	s10-eth2	332353764373	106087743
1787818652.656789965	s10-eth3	176594888	624637518487
1787818652.656789965	s10-eth4	161454765	327027309165
1787818652.656789965	s1-eth1	149519163	409545703418
1787818652.656789965	s1-eth10	38041433025	14691083
1787818652.656789965	s1-eth11	37539750371	21096006
1787818652.656789965	s1-eth12	43459274182	16723439
1787818652.656789965	s1-eth13	39332061714	15101621
1787818652.656789965	s1-eth14	36964123085	16256831
1787818652.656789965	s1-eth15	32750207598	15984989
1787818652.656789965	s1-eth16	34786435946	13171701
1787818652.656789965	s1-eth17	48025874362	21673634
1787818652.656789965	s1-eth18	41508790881	16693799
1787818652.656789965	s1-eth19	2456	388388
1787818652.656789965	s1-eth2	120834674	262727500631
1787818652.656789965	s1-eth20	2456	388318
1787818652.656789965	s1-eth21	2456	388388
1787818652.656789965	s1-eth22	2456	388318
1787818652.656789965	s1-eth23	2456	388318
1787818652.656789965	s1-eth24	2456	388318
1787818652.656789965	s1-eth25	2456	388318
1787818652.656789965	s1-eth26	2456	388388
1787818652.656789965	s1-eth27	2456	388318
1787818652.656789965	s1-eth28	2456	388318
1787818652.656789965	s1-eth29	2456	388318
1787818652.656789965	s1-eth3	42079068703	15431618
1787818652.656789965	s1-eth30	2456	388318
1787818652.656789965	s1-eth31	2456	388318
1787818652.656789965	s1-eth32	2456	388318
1787818652.656789965	s1-eth33	2456	388388
1787818652.656789965	s1-eth34	2456	388318
1787818652.656789965	s1-eth4	54164854124	22085011
1787818652.656789965	s1-eth5	51618570802	21741376
1787818652.656789965	s1-eth6	41627614606	15365724
1787818652.656789965	s1-eth7	41859415702	16575133
1787818652.656789965	s1-eth8	45976458889	17103891
1787818652.656789965	s1-eth9	42538447935	15923326
1787818652.656789965	s2-eth1	173933660	510639292438
1787818652.656789965	s2-eth10	43377088176	13304210
1787818652.656789965	s2-eth11	48004589754	15648683
1787818652.656789965	s2-eth12	43069930865	10671680
1787818652.656789965	s2-eth13	46148262392	13084677
1787818652.656789965	s2-eth14	56154841375	17358182
1787818652.656789965	s2-eth15	48275162400	13289352
1787818652.656789965	s2-eth16	70783235720	23533843
1787818652.656789965	s2-eth17	56809723467	18407870
1787818652.656789965	s2-eth18	88376544196	37554044
1787818652.656789965	s2-eth19	2456	388328
1787818652.656789965	s2-eth2	76792449	255395914641
1787818652.656789965	s2-eth20	2456	388258
1787818652.656789965	s2-eth21	2456	388328
1787818652.656789965	s2-eth22	2456	388258
1787818652.656789965	s2-eth23	2456	388039
1787818652.656789965	s2-eth24	2456	388328
1787818652.656789965	s2-eth25	2456	388363
1787818652.656789965	s2-eth26	2456	388328
1787818652.656789965	s2-eth27	2526	388258
1787818652.656789965	s2-eth28	2456	388258
1787818652.656789965	s2-eth29	2456	388258
1787818652.656789965	s2-eth3	33440240891	12995454
1787818652.656789965	s2-eth30	2456	388258
1787818652.656789965	s2-eth31	2456	388258
1787818652.656789965	s2-eth32	2456	388328
1787818652.656789965	s2-eth33	2456	388258
1787818652.656789965	s2-eth34	2456	388258
1787818652.656789965	s2-eth4	41612306345	17235889
1787818652.656789965	s2-eth5	28746229603	10807481
1787818652.656789965	s2-eth6	33397184723	10731538
1787818652.656789965	s2-eth7	43375940282	15382624
1787818652.656789965	s2-eth8	43378247389	13661027
1787818652.656789965	s2-eth9	41084857073	12496057
1787818652.656789965	s3-eth1	469745340372	100478970
1787818652.656789965	s3-eth10	14305221	38041818757
1787818652.656789965	s3-eth11	20710144	37540136173
1787818652.656789965	s3-eth12	16337577	43459659984
1787818652.656789965	s3-eth13	14715759	39332447516
1787818652.656789965	s3-eth14	15870969	36964508817
1787818652.656789965	s3-eth15	15599127	32750593460
1787818652.656789965	s3-eth16	12785839	34786821808
1787818652.656789965	s3-eth17	21287772	48026260224
1787818652.656789965	s3-eth18	16307937	41509176613
1787818652.656789965	s3-eth19	2456	388318
1787818652.656789965	s3-eth2	202527949284	169788589
1787818652.656789965	s3-eth20	2456	388318
1787818652.656789965	s3-eth21	2456	388258
1787818652.656789965	s3-eth22	2456	388318
1787818652.656789965	s3-eth23	2526	388318
1787818652.656789965	s3-eth24	2456	388258
1787818652.656789965	s3-eth25	2456	388328
1787818652.656789965	s3-eth26	2456	388258
1787818652.656789965	s3-eth27	2456	388258
1787818652.656789965	s3-eth28	2456	388258
1787818652.656789965	s3-eth29	2456	388328
1787818652.656789965	s3-eth3	15045630	42079454369
1787818652.656789965	s3-eth30	2456	388318
1787818652.656789965	s3-eth31	2456	388258
1787818652.656789965	s3-eth32	2456	388318
1787818652.656789965	s3-eth33	2526	388258
1787818652.656789965	s3-eth34	2456	388055
1787818652.656789965	s3-eth4	21698848	54165239790
1787818652.656789965	s3-eth5	21355514	51618956604
1787818652.656789965	s3-eth6	14979862	41628000408
1787818652.656789965	s3-eth7	16189271	41859801564
1787818652.656789965	s3-eth8	16718029	45976844691
1787818652.656789965	s3-eth9	15537464	42538833797
1787818652.656789965	s4-eth1	456997505500	149240539
1787818652.656789965	s4-eth10	12918408	43377474048
1787818652.656789965	s4-eth11	15262881	48004975556
1787818652.656789965	s4-eth12	10285878	43070316597
1787818652.656789965	s4-eth13	12698875	46148648194
1787818652.656789965	s4-eth14	16972380	56155227177
1787818652.656789965	s4-eth15	12903550	48275548222
1787818652.656789965	s4-eth16	23148041	70783621522
1787818652.656789965	s4-eth17	18022068	56810109269
1787818652.656789965	s4-eth18	37168242	88376929998
1787818652.656789965	s4-eth19	2456	388318
1787818652.656789965	s4-eth2	309037615411	101571776
1787818652.656789965	s4-eth20	2456	388258
1787818652.656789965	s4-eth21	2456	388258
1787818652.656789965	s4-eth22	2456	388258
1787818652.656789965	s4-eth23	2456	388258
1787818652.656789965	s4-eth24	2456	388318
1787818652.656789965	s4-eth25	2526	388258
1787818652.656789965	s4-eth26	2456	388258
1787818652.656789965	s4-eth27	2526	388258
1787818652.656789965	s4-eth28	2456	388258
1787818652.656789965	s4-eth29	2456	388328
1787818652.656789965	s4-eth3	12609652	33440626693
1787818652.656789965	s4-eth30	2456	388055
1787818652.656789965	s4-eth31	2526	388258
1787818652.656789965	s4-eth32	2456	388258
1787818652.656789965	s4-eth33	2456	388258
1787818652.656789965	s4-eth34	2366	388258
1787818652.656789965	s4-eth4	16850087	41612692147
1787818652.656789965	s4-eth5	10421679	28746615405
1787818652.656789965	s4-eth6	10345736	33397570525
1787818652.656789965	s4-eth7	14996752	43376326154
1787818652.656789965	s4-eth8	13275225	43378633261
1787818652.656789965	s4-eth9	12110255	41085242875
1787818652.656789965	s5-eth1	409545703418	149519163
1787818652.656789965	s5-eth2	510639292438	173933660
1787818652.656789965	s5-eth3	91490904	300873759865
1787818652.656789965	s5-eth4	232048526	619311063339
1787818652.656789965	s6-eth1	262727500631	120834674
1787818652.656789965	s6-eth2	255395914641	76792449
1787818652.656789965	s6-eth3	91452924	185769651057
1787818652.656789965	s6-eth4	106087743	332353764373
1787818652.656789965	s7-eth1	100478970	469745340372
1787818652.656789965	s7-eth2	149240539	456997505500
1787818652.656789965	s7-eth3	302105241322	72951886
1787818652.656789965	s7-eth4	624637518487	176594888
1787818652.656789965	s8-eth1	169788649	202527949284
1787818652.656789965	s8-eth2	101571776	309037615411
1787818652.656789965	s8-eth3	184538169540	109905730
1787818652.656789965	s8-eth4	327027309165	161454765
1787818652.656789965	s9-eth1	300873759865	91490904
1787818652.656789965	s9-eth2	185769651057	91452924
1787818652.656789965	s9-eth3	72951886	302105241322
1787818652.656789965	s9-eth4	109905730	184538169540
1787818654.936043373	s10-eth1	619311063459	232048586
1787818654.936043373	s10-eth2	332353764433	106087803
1787818654.936043373	s10-eth3	176594948	624637518547
1787818654.936043373	s10-eth4	161454825	327027309225
1787818654.936043373	s1-eth1	149519223	409545703478
1787818654.936043373	s1-eth10	38041433025	14691143
1787818654.936043373	s1-eth11	37539750371	21096066
1787818654.936043373	s1-eth12	43459274182	16723499
1787818654.936043373	s1-eth13	39332061714	15101681
1787818654.936043373	s1-eth14	36964123085	16256891
1787818654.936043373	s1-eth15	32750207598	15985049
1787818654.936043373	s1-eth16	34786435946	13171761
1787818654.936043373	s1-eth17	48025874362	21673694
1787818654.936043373	s1-eth18	41508790881	16693859
1787818654.936043373	s1-eth19	2456	388448
1787818654.936043373	s1-eth2	120834734	262727500691
1787818654.936043373	s1-eth20	2456	388378
1787818654.936043373	s1-eth21	2456	388448
1787818654.936043373	s1-eth22	2456	388378
1787818654.936043373	s1-eth23	2456	388378
1787818654.936043373	s1-eth24	2456	388378
1787818654.936043373	s1-eth25	2456	388378
1787818654.936043373	s1-eth26	2456	388448
1787818654.936043373	s1-eth27	2456	388378
1787818654.936043373	s1-eth28	2456	388378
1787818654.936043373	s1-eth29	2456	388378
1787818654.936043373	s1-eth3	42079068703	15431678
1787818654.936043373	s1-eth30	2456	388378
1787818654.936043373	s1-eth31	2456	388378
1787818654.936043373	s1-eth32	2456	388378
1787818654.936043373	s1-eth33	2456	388448
1787818654.936043373	s1-eth34	2456	388378
1787818654.936043373	s1-eth4	54164854124	22085071
1787818654.936043373	s1-eth5	51618570802	21741436
1787818654.936043373	s1-eth6	41627614606	15365784
1787818654.936043373	s1-eth7	41859415702	16575193
1787818654.936043373	s1-eth8	45976458889	17103951
1787818654.936043373	s1-eth9	42538447935	15923386
1787818654.936043373	s2-eth1	173933780	510639292498
