iso_time	load1	mem_avail_mb	swap_used_mb	swap_in_kbps	swap_out_kbps	qemu_n	qemu_rss_mb
2026-08-28T09:36:57+08:00	28.37	4202	8387	NA	NA	2	2891
2026-08-28T09:37:07+08:00	24.01	4176	8387	4	0	2	2891
2026-08-28T09:37:17+08:00	20.32	4190	8387	0	0	2	2891
2026-08-28T09:37:27+08:00	17.27	4203	8387	35	0	2	2891
2026-08-28T09:37:37+08:00	14.77	4208	8387	0	51	2	2891
2026-08-28T09:37:47+08:00	12.65	4173	8387	2	0	2	2891
2026-08-28T09:37:57+08:00	15.56	4135	8387	5	0	2	2891
2026-08-28T09:38:08+08:00	18.11	4111	8387	1	0	2	2891
2026-08-28T09:38:19+08:00	21.47	4090	8387	3	0	2	2892
2026-08-28T09:38:29+08:00	23.51	4015	8387	32	0	2	2891
2026-08-28T09:38:39+08:00	26.16	4057	8387	8	0	2	2891
2026-08-28T09:38:50+08:00	28.19	4048	8387	12	0	2	2891
2026-08-28T09:39:01+08:00	30.42	3947	8387	7	0	2	2892
2026-08-28T09:39:11+08:00	30.05	4057	8387	9	0	2	2892
2026-08-28T09:39:21+08:00	30.27	3953	8387	297	25	2	2892
2026-08-28T09:39:32+08:00	31.44	4097	8387	22	0	2	2892
2026-08-28T09:39:42+08:00	32.75	4100	8387	154	0	2	2892
2026-08-28T09:39:53+08:00	33.39	4100	8387	6	0	2	2892
2026-08-28T09:40:03+08:00	34.01	6762	8387	16	0	4	244
2026-08-28T09:40:14+08:00	34.54	6271	8387	2	0	2	681
2026-08-28T09:40:24+08:00	34.71	6132	8387	8	0	2	812
2026-08-28T09:40:35+08:00	35.83	5969	8387	578	0	2	945
2026-08-28T09:40:45+08:00	36.99	5786	8387	3	0	2	1058
2026-08-28T09:40:55+08:00	37.14	5780	8387	5	0	2	1104
2026-08-28T09:41:06+08:00	37.02	5562	8387	11	0	2	1311
2026-08-28T09:41:16+08:00	37.51	5350	8387	2	0	2	1514
2026-08-28T09:41:26+08:00	37.34	5366	8387	131	0	2	1516
2026-08-28T09:41:37+08:00	37.62	5426	8387	8	0	2	1518
2026-08-28T09:41:48+08:00	36.96	5250	8387	4	0	2	1600
2026-08-28T09:41:58+08:00	31.66	5363	8387	1	0	2	1611
2026-08-28T09:42:08+08:00	27.17	5184	8387	4	0	2	1829
2026-08-28T09:42:18+08:00	23.15	5192	8387	0	0	2	1832
2026-08-28T09:42:28+08:00	19.74	5042	8387	3	0	2	2002
2026-08-28T09:42:38+08:00	16.94	5040	8387	0	0	2	2003
2026-08-28T09:42:48+08:00	14.50	5014	8387	3	0	2	2010
2026-08-28T09:42:58+08:00	14.74	4983	8387	6	0	2	2010
2026-08-28T09:43:09+08:00	17.93	4868	8387	2	0	2	2010
2026-08-28T09:43:19+08:00	20.79	4943	8387	0	0	2	2010
2026-08-28T09:43:30+08:00	23.65	4939	8387	6	0	2	2010
2026-08-28T09:43:40+08:00	25.79	4813	8387	7	0	2	2011
2026-08-28T09:43:51+08:00	30.42	4786	8387	20	0	2	2011
2026-08-28T09:44:01+08:00	31.70	4899	8387	7	0	2	2011
2026-08-28T09:44:12+08:00	33.38	4917	8387	73	0	2	2011
2026-08-28T09:44:22+08:00	35.45	4895	8387	44	0	2	2011
2026-08-28T09:44:32+08:00	35.31	4846	8387	2	0	2	2046
2026-08-28T09:44:43+08:00	35.81	4832	8387	58	0	2	2046
2026-08-28T09:44:53+08:00	35.74	4903	8387	37	0	2	2048
2026-08-28T09:45:03+08:00	36.01	4902	8387	38	0	2	2048
2026-08-28T09:45:14+08:00	37.93	4908	8386	99	0	2	2048
2026-08-28T09:45:24+08:00	37.86	4883	8386	7	0	2	2048
2026-08-28T09:45:34+08:00	37.79	4608	8386	6	0	2	2274
2026-08-28T09:45:45+08:00	36.65	4576	8386	2	0	2	2298
2026-08-28T09:45:55+08:00	36.48	4576	8386	2	0	2	2348
2026-08-28T09:46:05+08:00	36.39	4489	8386	8	0	2	2399
2026-08-28T09:46:16+08:00	35.72	4466	8386	2	0	2	2416
2026-08-28T09:46:26+08:00	35.67	4451	8386	4	0	2	2432
2026-08-28T09:46:36+08:00	35.50	4471	8386	1	0	2	2433
2026-08-28T09:46:46+08:00	35.79	4488	8386	50	0	2	2434
2026-08-28T09:46:56+08:00	34.96	4575	8386	9	0	2	2435
2026-08-28T09:47:06+08:00	29.82	4350	8386	31	0	2	2436
2026-08-28T09:47:17+08:00	25.39	4566	8386	4	29	2	2538
2026-08-28T09:47:27+08:00	21.86	4559	8386	4	0	2	2539
2026-08-28T09:47:37+08:00	18.65	4550	8386	6	0	2	2540
2026-08-28T09:47:47+08:00	16.25	4564	8386	1	0	2	2540
2026-08-28T09:47:57+08:00	13.90	4357	8386	2	0	2	2671
2026-08-28T09:48:07+08:00	16.74	4072	8386	18	0	2	2674
2026-08-28T09:48:17+08:00	19.76	4112	8380	6118	272	2	2674
2026-08-28T09:48:28+08:00	22.06	4113	8380	0	0	2	2674
2026-08-28T09:48:38+08:00	24.99	4116	8383	254	454	2	2674
2026-08-28T09:48:49+08:00	26.69	4086	8371	1410	0	2	2674
2026-08-28T09:48:59+08:00	29.76	3924	8376	1456	1269	2	2674
2026-08-28T09:49:13+08:00	32.74	3713	8383	859	787	2	2674
2026-08-28T09:49:24+08:00	34.81	4446	8137	2396	0	2	2674
2026-08-28T09:49:35+08:00	36.47	4425	8136	261	0	2	2674
2026-08-28T09:49:45+08:00	36.34	4470	8134	998	0	2	2674
2026-08-28T09:49:56+08:00	36.44	4508	8132	782	0	2	2674
2026-08-28T09:50:06+08:00	35.99	4485	8132	9	0	2	2674
2026-08-28T09:50:17+08:00	36.77	4521	8132	3	0	2	2674
2026-08-28T09:50:28+08:00	36.93	4536	8131	10	0	2	2675
2026-08-28T09:50:39+08:00	37.46	4365	8131	14	0	2	2675
2026-08-28T09:50:49+08:00	38.05	4314	8131	34	0	2	2675
2026-08-28T09:51:00+08:00	39.04	4267	8131	1511	0	2	2675
2026-08-28T09:51:11+08:00	39.59	4390	8131	2	0	2	2675
2026-08-28T09:51:22+08:00	38.84	4413	8131	74	0	2	2675
2026-08-28T09:51:33+08:00	39.03	4231	8131	3	0	2	2675
2026-08-28T09:51:44+08:00	38.26	4215	8131	196	0	2	2675
2026-08-28T09:51:54+08:00	38.31	4740	8136	99	478	2	2675
2026-08-28T09:52:05+08:00	32.89	4570	8136	85	0	2	2699
2026-08-28T09:52:15+08:00	28.29	4222	8039	2285	0	2	2700
2026-08-28T09:52:25+08:00	25.52	1998	8197	398	14138	2	2700
2026-08-28T09:52:35+08:00	22.29	3351	8309	971	10262	2	2700
2026-08-28T09:52:45+08:00	19.24	3609	8309	110	0	2	2700
2026-08-28T09:52:55+08:00	16.66	4124	8307	202	0	2	2712
2026-08-28T09:53:05+08:00	14.48	4156	8307	22	0	2	2712
2026-08-28T09:53:15+08:00	17.97	4147	8301	417	0	2	2712
2026-08-28T09:53:26+08:00	20.97	4595	8300	36	0	2	2713
2026-08-28T09:53:36+08:00	23.46	4570	8300	5	0	2	2713
2026-08-28T09:53:46+08:00	24.06	4585	8300	4	0	2	2713
2026-08-28T09:53:57+08:00	25.79	4581	8300	8	0	2	2713
2026-08-28T09:54:07+08:00	26.79	4522	8300	32	0	2	2786
2026-08-28T09:54:18+08:00	27.37	4524	8300	1	0	2	2786
2026-08-28T09:54:28+08:00	27.86	4464	8300	25	0	2	2830
2026-08-28T09:54:39+08:00	29.03	4462	8300	0	0	2	2830
2026-08-28T09:54:49+08:00	30.42	4457	8300	1	0	2	2830
2026-08-28T09:55:00+08:00	31.39	4526	8239	557	0	2	2833
2026-08-28T09:55:10+08:00	31.02	4540	8239	10	0	2	2834
2026-08-28T09:55:21+08:00	31.97	4557	8239	48	0	2	2836
2026-08-28T09:55:31+08:00	31.89	4535	8239	408	0	2	2836
2026-08-28T09:55:41+08:00	31.74	4524	8239	2	0	2	2836
2026-08-28T09:55:52+08:00	33.45	4538	8239	2	0	2	2836
2026-08-28T09:56:02+08:00	34.88	4538	8239	19	0	2	2836
2026-08-28T09:56:12+08:00	34.36	4572	8226	650	0	2	2836
2026-08-28T09:56:23+08:00	33.69	4560	8226	13	0	2	2836
