rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	1.00	1.00	yes
2	1	0.0000	0.0000	2.00	2.00	yes
3	1	0.0000	0.0000	3.00	3.00	yes
5	1	0.0000	0.0000	5.00	5.00	yes
8	1	0.0000	0.0000	8.00	8.00	yes
12	1	0.0000	0.0000	12.00	12.00	yes
20	1	0.0000	0.0000	20.00	20.00	yes
30	1	0.0000	0.0000	30.00	29.99	yes
45	1	0.0000	0.0000	44.99	44.98	yes
70	1	0.0000	0.0000	69.99	69.98	yes
110	3	0.0395	0.1820,0.0369,0.0395	109.98	109.87	yes
160	3	0.1759	0.1759,2.1335,0.0700	159.97	158.69	yes
240	3	0.6091	0.4749,1.1744,0.6091	239.96	238.12	no
