rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	1.00	1.00	yes
2	1	0.0000	0.0000	2.00	2.00	yes
3	1	0.0000	0.0000	3.00	3.00	yes
5	1	0.0000	0.0000	5.00	5.00	yes
8	1	0.0000	0.0000	8.00	8.00	yes
12	1	0.0000	0.0000	12.00	12.00	yes
20	1	0.0000	0.0000	20.00	20.00	yes
30	1	0.0000	0.0000	30.00	29.99	yes
45	1	0.0000	0.0000	44.99	44.99	yes
70	1	0.0000	0.0000	69.99	69.98	yes
110	3	0.3399	0.9877,0.3399,0.0229	109.98	109.47	yes
160	3	0.0403	0.0403,0.0350,0.0481	159.97	159.88	yes
240	3	0.2369	0.2380,0.2299,0.2369	239.96	239.37	yes
