kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	1000.0	999.8	yes
2	1	0.0000	0.0000	1999.8	1999.3	yes
3	1	0.0000	0.0000	2999.6	2999.3	yes
5	1	0.0000	0.0000	4999.2	4998.8	yes
8	3	0.0672	0.4735,0.0672,0.0172	7998.6	7997.9	yes
12	3	0.0760	0.1094,0.0385,0.0760	11998.1	11997.1	yes
20	3	0.6613	1.1939,0.6613,0.0825	19996.8	19993.5	no
30	3	1.1505	1.1180,1.9440,1.1505	29995.6	29990.2	no
45	1	20.7017	20.7017	44993.5	44988.9	no
70	1	41.1214	41.1214	69989.5	69978.4	no
110	1	58.3804	58.3804	109985.5	109962.9	no
