kpps_offered	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	999.9	999.7	yes
2	1	0.0000	0.0000	1999.7	1999.6	yes
3	1	0.0000	0.0000	2999.6	2999.1	yes
5	1	0.0000	0.0000	4999.2	4998.6	yes
8	3	0.0125	0.0125,0.0219,0.0000	7998.7	7998.1	yes
12	3	0.0375	0.0375,0.1469,0.0323	11998.1	11996.9	yes
20	3	0.6119	0.1550,1.0076,0.6119	19996.5	19993.5	no
30	3	1.9673	1.9673,0.5996,2.1723	29995.3	29992.4	no
45	1	16.9322	16.9322	44992.9	44989.2	no
70	1	42.3028	42.3028	69989.2	69981.2	no
110	1	57.7563	57.7563	109984.6	109973.5	no
