rate_mbit	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	89.4	89.4	yes
2	1	0.0000	0.0000	178.6	178.6	yes
3	1	0.0000	0.0000	267.9	267.8	yes
5	1	0.0000	0.0000	446.5	446.5	yes
8	1	0.0000	0.0000	714.2	714.2	yes
12	1	0.0000	0.0000	1071.3	1071.3	yes
20	1	0.0000	0.0000	1785.5	1785.4	yes
30	1	0.0000	0.0000	2678.3	2678.2	yes
45	1	0.0000	0.0000	4017.2	4016.9	yes
70	1	0.0000	0.0000	6249.0	6248.8	yes
110	3	0.0000	0.0025,0.0000,0.0000	9819.8	9819.4	yes
160	3	0.0578	0.0683,0.0000,0.0578	14283.3	14283.0	yes
240	3	0.0443	0.0443,0.0741,0.0187	21425.2	21424.6	yes
360	3	0.1540	0.1540,0.1241,0.2057	32137.5	32136.5	yes
540	1	25.8020	25.8020	48205.9	48204.0	no
810	1	46.3992	46.3992	72308.8	72305.9	no
