rate_mbit	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	89.4	89.4	yes
2	1	0.0000	0.0000	178.6	178.6	yes
3	1	0.0000	0.0000	267.9	267.9	yes
5	1	0.0000	0.0000	446.5	446.5	yes
8	1	0.0000	0.0000	714.2	714.2	yes
12	1	0.0000	0.0000	1071.3	1071.3	yes
20	1	0.0000	0.0000	1785.5	1785.5	yes
30	1	0.0000	0.0000	2678.3	2678.1	yes
45	1	0.0000	0.0000	4017.2	4016.8	yes
70	1	0.0000	0.0000	6248.9	6248.7	yes
110	1	0.0000	0.0000	9819.5	9819.2	yes
160	3	0.0096	0.0096,0.0691,0.0070	14283.4	14283.0	yes
240	3	0.0700	0.0700,0.0000,0.1103	21424.9	21424.2	yes
360	3	0.3275	0.2442,0.3275,0.3679	32137.8	32136.2	yes
540	1	26.6154	26.6154	48206.0	48203.4	no
810	1	44.8385	44.8385	72308.3	72306.0	no
