rate_mbit	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	89.4	89.4	yes
2	1	0.0000	0.0000	178.6	178.6	yes
3	1	0.0000	0.0000	267.9	267.8	yes
5	1	0.0000	0.0000	446.5	446.5	yes
8	1	0.0000	0.0000	714.2	714.2	yes
12	1	0.0000	0.0000	1071.3	1071.3	yes
20	1	0.0000	0.0000	1785.5	1785.4	yes
30	1	0.0000	0.0000	2678.2	2678.1	yes
45	1	0.0000	0.0000	4017.3	4017.1	yes
70	1	0.0000	0.0000	6249.0	6248.8	yes
110	3	0.0038	0.0115,0.0038,0.0000	9819.8	9819.4	yes
160	3	0.0306	0.0306,0.0788,0.0131	14282.7	14281.8	yes
240	3	0.2199	0.2538,0.2199,0.0560	21425.0	21424.3	yes
360	3	0.4294	0.2240,0.4294,0.7965	32137.4	32136.7	yes
