rate_mbit	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	89.4	89.4	yes
2	1	0.0000	0.0000	178.6	178.6	yes
3	1	0.0000	0.0000	267.9	267.8	yes
5	1	0.0000	0.0000	446.5	446.5	yes
8	1	0.0000	0.0000	714.2	714.2	yes
12	1	0.0000	0.0000	1071.3	1071.3	yes
20	1	0.0000	0.0000	1785.5	1785.4	yes
30	1	0.0000	0.0000	2678.2	2678.2	yes
45	1	0.0000	0.0000	4017.4	4017.3	yes
70	1	0.0000	0.0000	6249.1	6249.0	yes
110	3	0.0000	0.0076,0.0000,0.0000	9819.8	9819.7	yes
160	3	0.0096	0.0578,0.0096,0.0009	14283.4	14282.9	yes
240	3	0.0572	0.0467,0.0572,0.0957	21425.5	21425.1	yes
360	3	0.1964	0.1458,0.2680,0.1964	32137.7	32136.8	yes
