rate_mbit	reps	loss_scored	loss_reps	sent_pps	recv_pps	clean
1	1	0.0000	0.0000	89.4	89.4	yes
2	1	0.0000	0.0000	178.6	178.6	yes
3	1	0.0000	0.0000	267.9	267.8	yes
5	1	0.0000	0.0000	446.5	446.4	yes
8	1	0.0000	0.0000	714.2	714.1	yes
12	1	0.0000	0.0000	1071.3	1071.1	yes
20	1	0.0000	0.0000	1785.5	1785.3	yes
30	1	0.0000	0.0000	2678.2	2677.9	yes
45	3	0.3174	0.3174,0.0000,0.3485	4017.3	3994.8	yes
70	1	24.4924	24.4924	6249.0	6136.0	no
110	1	49.3559	49.3559	9819.7	9623.2	no
160	1	57.5175	57.5175	14283.4	13996.8	no
