epoch	up	enabled	admin_disabled	edges_down	down_names
1788076438	?	?	?	?	?
1788076463	?	?	?	?	?
1788076488	?	?	?	?	?
1788076513	?	?	?	?	?
1788076538	?	?	?	?	?
1788076559	10	10	0	0	none
1788076584	10	10	0	0	none
1788076609	10	10	0	0	none
1788076634	10	10	0	0	none
1788076659	10	10	0	0	none
1788076684	10	10	0	0	none
1788076709	10	10	0	0	none
1788076735	10	10	0	0	none
1788076760	10	10	0	0	none
1788076785	10	10	0	0	none
1788076810	10	10	0	0	none
1788076829	10	10	0	0	none
1788076840	10	10	0	0	none
1788076850	10	10	0	0	none
1788076860	10	10	0	0	none
1788076871	10	10	0	0	none
1788076881	10	10	0	0	none
1788076891	10	10	0	0	none
1788076901	10	10	0	0	none
1788076912	10	10	0	0	none
