epoch	up	enabled	admin_disabled	edges_down	down_names
1788075056	10	10	0	0	none
1788075066	9	10	0	0	s9
1788075077	9	10	0	8	s9
1788075087	9	10	0	8	s9
1788075097	9	10	0	8	s9
1788075108	9	10	0	8	s9
1788075118	9	10	0	8	s9
1788075128	9	10	0	8	s9
1788075139	9	10	0	14	s9
1788075149	9	10	0	14	s9
1788075159	9	10	0	14	s9
1788075170	9	10	0	14	s9
1788075181	8	10	0	14	s7,s9
1788075191	8	10	0	14	s7,s9
1788075201	8	10	0	14	s7,s9
1788075212	8	10	0	14	s7,s9
1788075222	8	10	0	14	s7,s9
1788075232	8	10	0	14	s7,s9
1788075243	8	10	0	14	s7,s9
1788075253	8	10	0	20	s7,s9
1788075263	8	10	0	20	s7,s9
1788075274	8	10	0	20	s7,s9
1788075284	8	10	0	20	s7,s9
1788075294	8	10	0	20	s7,s9
1788075304	7	10	0	20	s5,s7,s9
