# tag=post epoch=1788094417 utc=2026-08-30T12:53:37Z
host	tx_bytes	rx_bytes
h1	1183349363	7779
h2	1080458919	6529
h3	1080458727	6330
h4	1080458728	6333
h5	57885132	6328
h6	57885277	6393
h7	57885277	6394
h8	57885264	6325
h9	57885041	6328
h10	57885132	6330
h11	57885477	6406
h12	57885412	6408
h33	1080458858	6241
h34	1080458723	6335
h35	2883	1079170254
h36	1080458729	6330
h37	57885467	6408
h38	57885132	6304
h39	57885134	6330
h40	57885721	6608
h41	57885264	6239
h42	57883657	6330
h43	57885276	6395
h44	57885114	6327
h65	4136	1140437634
h66	2884	1039360565
h67	1080458728	6330
h68	2883	1037924186
h69	2791	55161558
h70	2961	54059344
h71	2857	53937178
h72	2883	54692441
h73	2881	55108148
h74	2792	54789511
h75	2959	53825193
h76	2858	54177023
h97	2886	1042768150
h98	2798	1034489710
h99	2793	1074910435
h100	2886	1032643605
h101	2856	53691250
h102	2947	53627179
h103	2788	53899981
h104	3161	54648250
h105	2883	54543439
h106	2793	53721051
h107	2961	53014725
h108	2880	55154208
