# tag=pre epoch=1788093384 utc=2026-08-30T12:36:24Z
host	tx_bytes	rx_bytes
h1	102892201	5978
h2	1688	4729
h3	1492	4533
h4	1562	4533
h5	1492	4533
h6	1492	4533
h7	1562	4533
h8	1492	4533
h9	1402	4533
h10	1492	4533
h11	1492	4603
h12	1492	4533
h33	1562	4513
h34	1562	4533
h35	1492	4443
h36	1492	4603
h37	1492	4533
h38	1492	4443
h39	1492	4533
h40	1492	4533
h41	1492	4443
h42	1402	4533
h43	1492	4603
h44	1402	4533
h65	2741	102850276
h66	1492	4443
h67	1492	4533
h68	1492	4553
h69	1402	4282
h70	1492	4533
h71	1402	4533
h72	1492	4443
h73	1492	4443
h74	1402	4533
h75	1562	4443
h76	1402	4423
h97	1492	4533
h98	1402	4533
h99	1402	4533
h100	1492	4533
h101	1402	4533
h102	1492	4533
h103	1472	4533
h104	1492	4443
h105	1492	4443
h106	1402	4533
h107	1492	4533
h108	1562	4384
