rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
0	910	0	64.3	41.0	1283	1	0
0	910	1	121.3	47.1	1283	1	0
0	910	2	164.0	35.0	1283	1	0
0	910	3	203.0	32.0	1283	1	0
0	910	4	241.8	32.1	1283	1	0
0	910	5	281.5	32.2	1283	1	0
0	910	6	320.5	32.3	1283	1	0
0	910	7	360.0	33.9	1283	1	0
0	910	8	400.3	32.9	1283	1	0
0	910	9	439.6	32.5	1283	1	0
0	910	10	479.1	32.1	1283	1	0
0	910	11	522.0	34.5	1283	1	0
0	910	12	582.7	53.2	1283	1	0
0	910	13	625.1	33.4	1283	1	0
0	910	14	670.5	37.5	1283	1	0
0	910	15	712.3	34.8	1283	1	0
0	910	16	754.8	35.4	1283	1	0
0	910	17	796.9	35.1	1283	1	0
0	910	18	838.8	34.9	1283	1	0
0	910	19	880.8	35.0	1283	1	0
0	910	20	923.3	35.5	1283	1	0
0	910	21	965.0	34.7	1283	1	0
0	910	22	1006.3	35.2	1283	1	0
0	910	23	1046.9	34.7	1283	1	0
0	910	24	1086.8	34.0	1283	1	0
0	910	25	1126.1	33.7	1283	1	0
0	910	26	1164.6	32.8	1283	1	0
0	910	27	1207.2	37.0	1283	1	0
0	910	28	1248.8	34.0	1283	1	0
0	910	29	1288.0	32.4	1283	1	0
0	910	30	1329.5	33.4	1283	1	0
0	910	31	1370.6	33.2	1283	1	0
0	910	32	1413.4	34.5	1283	1	0
0	910	33	1453.9	33.2	1283	1	0
0	910	34	1493.8	32.8	1283	1	0
0	910	35	1534.5	32.9	1283	1	0
0	910	36	1596.4	53.4	1283	1	0
0	910	37	1646.2	42.5	1283	1	0
0	910	38	1689.1	35.7	1283	1	0
0	910	39	1731.1	34.4	1283	1	0
0	910	40	1772.8	34.6	1283	1	0
0	910	41	1814.3	34.3	1283	1	0
0	910	42	1859.0	37.4	1283	1	0
0	910	43	1900.5	35.6	1283	1	0
0	910	44	1945.1	37.3	1283	1	0
0	910	45	1987.0	34.5	1283	1	0
0	910	46	2027.4	34.6	1283	1	0
0	910	47	2071.6	34.7	1283	1	0
0	910	48	2121.0	41.9	1283	1	0
0	910	49	2169.7	42.7	1283	1	0
0	910	50	2213.3	35.7	1283	1	0
0	910	51	2253.5	32.7	1283	1	0
0	910	52	2294.3	33.0	1283	1	0
0	910	53	2334.5	32.9	1283	1	0
0	910	54	2374.1	32.7	1283	1	0
0	910	55	2415.2	32.6	1283	1	0
0	910	56	2456.5	34.2	1283	1	0
0	910	57	2496.7	32.3	1283	1	0
0	910	58	2537.0	33.2	1283	1	0
0	910	59	2599.1	53.9	1283	1	0
0	910	60	2639.9	33.0	1283	1	0
0	910	61	2680.9	32.5	1283	1	0
0	910	62	2722.4	34.3	1283	1	0
0	910	63	2765.2	35.6	1283	1	0
0	910	64	2803.9	32.9	1283	1	0
0	910	65	2842.2	32.5	1283	1	0
0	910	66	2880.9	33.0	1283	1	0
0	910	67	2916.6	30.4	1283	1	0
0	910	68	2948.6	27.2	1283	1	0
0	910	69	2976.9	23.9	1283	1	0
0	910	70	3002.0	21.1	1283	1	0
0	910	71	3550.4	38.1	1283	1	0
0	910	72	4096.7	38.7	1283	1	0
0	910	73	4640.8	38.1	1283	1	0
0	910	74	5184.5	37.4	1283	1	0
0	910	75	5729.0	36.5	1283	1	0
0	910	76	6276.3	39.8	1282	0	0
0	910	77	6824.6	38.4	1282	0	0
0	910	78	7375.5	38.7	1282	0	0
0	910	79	7933.7	50.2	1282	0	0
0	910	80	8474.9	35.2	1282	0	0
0	910	81	9028.5	45.6	1282	0	0
0	910	82	9580.3	44.1	1282	0	0
0	910	83	10133.0	43.2	1282	0	0
0	910	84	10678.8	36.4	1282	0	0
0	910	85	11227.4	40.8	1282	0	0
0	910	86	11773.0	37.9	1282	0	0
0	910	87	12320.4	39.0	1282	0	0
0	910	88	12872.6	42.0	1282	0	0
0	910	89	13420.5	39.6	1282	0	0
0	910	90	13967.3	38.7	1282	0	0
0	910	91	14511.8	37.3	1282	0	0
0	910	92	15056.1	36.9	1282	0	0
0	910	93	15596.9	32.1	1282	0	0
0	910	94	16138.5	35.2	1282	0	0
0	910	95	16680.5	34.9	1282	0	0
0	910	96	17229.0	40.6	1282	0	0
0	910	97	17772.9	36.4	1282	0	0
1	911	0	45.5	39.2	1283	1	0
1	911	1	87.0	33.8	1283	1	0
1	911	2	131.5	38.3	1283	1	0
1	911	3	172.6	33.9	1283	1	0
1	911	4	214.5	34.7	1283	1	0
1	911	5	257.9	35.9	1283	1	0
1	911	6	323.9	59.7	1283	1	0
1	911	7	365.7	34.7	1283	1	0
1	911	8	411.2	35.0	1283	1	0
1	911	9	453.3	33.4	1283	1	0
1	911	10	494.6	32.8	1283	1	0
1	911	11	542.2	41.4	1283	1	0
1	911	12	586.1	35.9	1283	1	0
1	911	13	626.7	32.9	1283	1	0
1	911	14	671.3	34.1	1283	1	0
1	911	15	719.0	39.6	1283	1	0
1	911	16	760.1	35.3	1283	1	0
1	911	17	802.7	35.8	1283	1	0
1	911	18	846.6	35.8	1283	1	0
1	911	19	889.3	35.2	1283	1	0
1	911	20	931.1	34.4	1283	1	0
1	911	21	972.5	34.0	1283	1	0
1	911	22	1013.9	34.6	1283	1	0
1	911	23	1062.5	37.1	1283	1	0
1	911	24	1112.9	43.6	1283	1	0
1	911	25	1156.6	37.3	1283	1	0
1	911	26	1198.7	34.7	1283	1	0
1	911	27	1239.9	33.8	1283	1	0
1	911	28	1303.7	56.4	1283	1	0
1	911	29	1345.3	34.4	1283	1	0
1	911	30	1388.8	35.9	1283	1	0
1	911	31	1438.6	40.5	1283	1	0
1	911	32	1479.2	34.5	1283	1	0
1	911	33	1522.9	36.3	1283	1	0
1	911	34	1564.0	34.0	1283	1	0
1	911	35	1607.1	34.6	1283	1	0
1	911	36	1647.9	34.1	1283	1	0
1	911	37	1689.8	35.6	1283	1	0
1	911	38	1733.0	36.8	1283	1	0
1	911	39	1773.1	32.9	1283	1	0
1	911	40	1817.8	37.9	1283	1	0
1	911	41	1864.8	39.5	1283	1	0
1	911	42	1905.6	32.7	1283	1	0
1	911	43	1945.4	32.8	1283	1	0
1	911	44	1986.9	33.3	1283	1	0
1	911	45	2027.1	33.0	1283	1	0
1	911	46	2068.0	32.8	1283	1	0
1	911	47	2109.8	33.4	1283	1	0
1	911	48	2155.3	35.5	1283	1	0
1	911	49	2200.9	37.9	1283	1	0
1	911	50	2243.3	35.1	1283	1	0
1	911	51	2373.0	123.6	1283	1	0
