rep	prio	sample	t_since_post_ms	req_ms	n_entries	n_phantom	n_real
0	910	0	44.4	32.9	1283	1	0
0	910	1	95.6	41.7	1283	1	0
0	910	2	137.6	35.0	1283	1	0
0	910	3	177.9	33.7	1283	1	0
0	910	4	238.5	54.1	1283	1	0
0	910	5	278.7	33.4	1283	1	0
0	910	6	319.3	33.3	1283	1	0
0	910	7	358.6	32.8	1283	1	0
0	910	8	397.4	32.9	1283	1	0
0	910	9	436.7	32.8	1283	1	0
0	910	10	478.8	35.0	1283	1	0
0	910	11	519.9	33.9	1283	1	0
0	910	12	561.4	33.9	1283	1	0
0	910	13	601.4	32.7	1283	1	0
0	910	14	643.2	33.2	1283	1	0
0	910	15	688.0	37.5	1283	1	0
0	910	16	731.4	37.6	1283	1	0
0	910	17	773.3	36.4	1283	1	0
0	910	18	815.7	35.2	1283	1	0
0	910	19	857.0	34.3	1283	1	0
0	910	20	897.3	33.4	1283	1	0
0	910	21	936.4	32.5	1283	1	0
0	910	22	975.9	32.5	1283	1	0
0	910	23	1016.1	33.2	1283	1	0
0	910	24	1056.3	32.8	1283	1	0
0	910	25	1096.6	33.2	1283	1	0
0	910	26	1136.4	33.0	1283	1	0
0	910	27	1183.6	39.6	1283	1	0
0	910	28	1243.3	52.9	1283	1	0
0	910	29	1282.8	32.2	1283	1	0
0	910	30	1322.3	32.6	1283	1	0
0	910	31	1362.7	33.3	1283	1	0
0	910	32	1401.0	32.5	1283	1	0
0	910	33	1440.5	32.7	1283	1	0
0	910	34	1480.7	33.3	1283	1	0
0	910	35	1522.5	33.4	1283	1	0
0	910	36	1574.5	42.7	1283	1	0
0	910	37	1616.2	35.7	1283	1	0
0	910	38	1655.6	33.3	1283	1	0
0	910	39	1694.1	33.0	1283	1	0
0	910	40	1731.6	32.1	1283	1	0
0	910	41	1769.6	32.2	1283	1	0
0	910	42	1807.5	32.3	1283	1	0
0	910	43	1845.2	32.2	1283	1	0
0	910	44	1883.1	32.3	1283	1	0
0	910	45	1920.4	31.9	1283	1	0
0	910	46	1954.3	29.1	1283	1	0
0	910	47	1987.1	25.5	1283	1	0
0	910	48	2017.4	25.3	1283	1	0
0	910	49	2044.0	22.7	1283	1	0
0	910	50	2087.5	37.4	1283	1	0
0	910	51	2133.5	40.6	1283	1	0
0	910	52	2173.9	33.7	1283	1	0
0	910	53	2248.7	67.9	1283	1	0
0	910	54	2291.9	37.2	1283	1	0
0	910	55	2329.8	32.3	1283	1	0
0	910	56	2371.1	32.1	1283	1	0
0	910	57	2415.6	37.5	1283	1	0
0	910	58	2459.8	38.5	1283	1	0
0	910	59	2497.8	32.3	1283	1	0
0	910	60	2540.5	36.4	1283	1	0
0	910	61	2578.9	32.8	1283	1	0
0	910	62	2617.4	32.7	1283	1	0
0	910	63	2663.8	38.3	1283	1	0
0	910	64	2713.3	41.9	1283	1	0
0	910	65	2754.8	34.5	1283	1	0
0	910	66	2794.3	33.2	1283	1	0
0	910	67	2834.4	33.2	1283	1	0
0	910	68	2875.7	34.3	1283	1	0
0	910	69	2920.0	34.0	1283	1	0
0	910	70	2961.2	34.7	1283	1	0
0	910	71	2999.6	32.5	1283	1	0
0	910	72	3544.6	37.0	1283	1	0
0	910	73	4089.0	36.9	1283	1	0
0	910	74	4635.3	37.9	1283	1	0
0	910	75	5184.9	39.6	1283	1	0
0	910	76	5733.5	41.5	1283	1	0
0	910	77	6285.4	40.0	1283	1	0
0	910	78	6832.5	38.8	1282	0	0
0	910	79	7378.3	38.3	1282	0	0
0	910	80	7929.1	42.9	1282	0	0
0	910	81	8472.9	36.4	1282	0	0
0	910	82	9017.2	35.9	1282	0	0
0	910	83	9558.7	35.5	1282	0	0
0	910	84	10105.6	39.9	1282	0	0
0	910	85	10657.7	43.4	1282	0	0
0	910	86	11204.3	38.0	1282	0	0
0	910	87	11750.4	37.9	1282	0	0
0	910	88	12293.2	35.5	1282	0	0
0	910	89	12842.4	38.7	1282	0	0
0	910	90	13384.6	35.9	1282	0	0
0	910	91	13927.0	36.5	1282	0	0
0	910	92	14471.0	36.7	1282	0	0
0	910	93	15017.1	37.3	1282	0	0
0	910	94	15567.3	40.7	1282	0	0
0	910	95	16110.9	36.9	1282	0	0
0	910	96	16656.4	37.6	1282	0	0
0	910	97	17200.5	36.4	1282	0	0
0	910	98	17744.1	35.1	1282	0	0
1	911	0	48.2	40.4	1283	1	0
1	911	1	91.0	35.0	1283	1	0
1	911	2	132.0	34.6	1283	1	0
1	911	3	171.2	33.5	1283	1	0
1	911	4	209.4	32.5	1283	1	0
1	911	5	251.4	32.0	1283	1	0
1	911	6	311.0	53.7	1283	1	0
1	911	7	349.1	32.3	1283	1	0
1	911	8	386.4	31.8	1283	1	0
1	911	9	420.6	28.8	1283	1	0
1	911	10	450.8	25.9	1283	1	0
1	911	11	478.3	23.4	1283	1	0
1	911	12	506.4	21.0	1283	1	0
1	911	13	537.6	23.5	1283	1	0
1	911	14	570.0	25.8	1283	1	0
1	911	15	605.8	28.6	1283	1	0
1	911	16	642.3	29.0	1283	1	0
1	911	17	679.5	30.0	1283	1	0
1	911	18	719.0	32.3	1283	1	0
1	911	19	759.4	33.0	1283	1	0
1	911	20	799.3	32.8	1283	1	0
1	911	21	839.6	32.5	1283	1	0
1	911	22	892.6	36.4	1283	1	0
1	911	23	932.1	33.6	1283	1	0
1	911	24	973.0	33.9	1283	1	0
1	911	25	1016.3	34.9	1283	1	0
1	911	26	1059.5	33.9	1283	1	0
1	911	27	1100.3	34.1	1283	1	0
1	911	28	1143.1	35.4	1283	1	0
1	911	29	1183.8	32.9	1283	1	0
1	911	30	1223.4	32.6	1283	1	0
1	911	31	1285.5	54.8	1283	1	0
1	911	32	1326.2	33.3	1283	1	0
1	911	33	1367.2	33.3	1283	1	0
1	911	34	1407.6	32.6	1283	1	0
1	911	35	1449.2	33.5	1283	1	0
1	911	36	1489.4	32.9	1283	1	0
1	911	37	1529.4	32.7	1283	1	0
1	911	38	1569.7	32.7	1283	1	0
1	911	39	1610.8	35.2	1283	1	0
1	911	40	1653.8	35.9	1283	1	0
1	911	41	1694.7	33.6	1283	1	0
1	911	42	1735.7	33.8	1283	1	0
1	911	43	1777.2	34.4	1283	1	0
1	911	44	1821.2	34.5	1283	1	0
1	911	45	1866.2	38.3	1283	1	0
1	911	46	1915.2	41.3	1283	1	0
1	911	47	1955.9	34.0	1283	1	0
1	911	48	1996.2	33.0	1283	1	0
1	911	49	2037.4	33.8	1283	1	0
1	911	50	2078.1	33.3	1283	1	0
1	911	51	2120.5	33.5	1283	1	0
1	911	52	2165.9	38.4	1283	1	0
1	911	53	2205.3	33.4	1283	1	0
1	911	54	2247.9	35.5	1283	1	0
1	911	55	2308.8	53.4	1283	1	0
1	911	56	2350.1	33.7	1283	1	0
1	911	57	2391.8	34.2	1283	1	0
1	911	58	2432.5	32.6	1283	1	0
1	911	59	2475.0	34.8	1283	1	0
1	911	60	2515.7	33.5	1283	1	0
1	911	61	2555.5	32.6	1283	1	0
1	911	62	2596.0	33.1	1283	1	0
1	911	63	2636.0	32.8	1283	1	0
1	911	64	2676.0	32.7	1283	1	0
1	911	65	2719.7	33.6	1283	1	0
1	911	66	2765.3	37.6	1283	1	0
1	911	67	2807.2	34.7	1283	1	0
1	911	68	2845.1	32.3	1283	1	0
1	911	69	2884.7	33.8	1283	1	0
1	911	70	2924.3	33.4	1283	1	0
1	911	71	2964.8	33.1	1283	1	0
1	911	72	3005.2	33.2	1283	1	0
1	911	73	3550.5	37.3	1283	1	0
1	911	74	4095.1	36.8	1283	1	0
1	911	75	4640.8	38.1	1283	1	0
1	911	76	5184.6	36.0	1283	1	0
1	911	77	5732.5	39.8	1283	1	0
1	911	78	6286.7	45.7	1283	1	0
1	911	79	6832.8	38.1	1283	1	0
1	911	80	7381.2	40.5	1283	1	0
1	911	81	7924.1	36.4	1283	1	0
1	911	82	8470.5	38.2	1282	0	0
1	911	83	9014.9	37.8	1282	0	0
1	911	84	9562.2	40.8	1282	0	0
1	911	85	10107.4	38.2	1282	0	0
1	911	86	10654.3	38.9	1282	0	0
1	911	87	11198.9	37.0	1282	0	0
1	911	88	11745.2	38.7	1282	0	0
