epoch	10.0.0.230:ph/prog	10.0.0.231:ph/prog	10.0.0.232:ph/prog	10.0.0.233:ph/prog	10.0.0.234:ph/prog	10.0.0.235:ph/prog	10.0.0.236:ph/prog	10.0.0.237:ph/prog
1788095250.411	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.453	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.495	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.535	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.575	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.618	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.658	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.707	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.749	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.794	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.835	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.877	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.919	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095250.961	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.004	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.046	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.087	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.127	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.173	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.214	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.259	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.301	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.369	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.413	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.455	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.499	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.542	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.582	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.625	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.667	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.711	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.752	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.793	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.834	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.876	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.920	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095251.961	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.004	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.048	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.088	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.129	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.173	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.216	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.261	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.318	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.384	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.427	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.469	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.511	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.555	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.596	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.636	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.678	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.719	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.760	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.803	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
1788095252.846	1/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
