epoch	10.0.0.220:ph/prog	10.0.0.221:ph/prog	10.0.0.222:ph/prog	10.0.0.223:ph/prog
1788095162.288	1/0	0/0	0/0	0/0
1788095162.346	1/0	0/0	0/0	0/0
1788095162.386	1/0	0/0	0/0	0/0
1788095162.425	1/0	0/0	0/0	0/0
1788095162.472	1/0	0/0	0/0	0/0
1788095162.520	1/0	0/0	0/0	0/0
1788095162.568	1/0	0/0	0/0	0/0
1788095162.618	1/0	0/0	0/0	0/0
1788095162.667	1/0	0/0	0/0	0/0
1788095162.709	1/0	0/0	0/0	0/0
1788095162.754	1/0	0/0	0/0	0/0
1788095162.799	1/0	0/0	0/0	0/0
1788095162.853	1/0	0/0	0/0	0/0
1788095162.896	1/0	0/0	0/0	0/0
1788095162.941	1/0	0/0	0/0	0/0
1788095162.989	1/0	0/0	0/0	0/0
1788095163.035	1/0	0/0	0/0	0/0
1788095163.076	1/0	0/0	0/0	0/0
1788095163.115	1/0	0/0	0/0	0/0
1788095163.158	1/0	0/0	0/0	0/0
1788095163.201	1/0	0/0	0/0	0/0
1788095163.242	1/0	0/0	0/0	0/0
1788095163.288	1/0	0/0	0/0	0/0
1788095163.363	1/0	0/0	0/0	0/0
1788095163.411	1/0	0/0	0/0	0/0
1788095163.457	1/0	0/0	0/0	0/0
1788095163.506	1/0	0/0	0/0	0/0
1788095163.554	1/0	0/0	0/0	0/0
1788095163.610	1/0	0/0	0/0	0/0
1788095163.661	1/0	0/0	0/0	0/0
1788095163.709	1/0	0/0	0/0	0/0
1788095163.761	1/0	0/0	0/0	0/0
1788095163.804	1/0	0/0	0/0	0/0
1788095163.852	0/1	0/0	0/0	0/0
1788095163.894	0/1	0/0	0/0	0/0
1788095163.937	0/1	0/0	0/0	0/0
1788095163.980	0/1	0/0	0/0	0/0
1788095164.021	0/1	0/0	0/0	0/0
1788095164.063	0/1	0/0	0/0	0/0
1788095164.104	0/1	0/0	0/0	0/0
1788095164.144	0/1	0/0	0/0	0/0
1788095164.186	0/1	0/0	0/0	0/0
1788095164.226	0/1	0/0	0/0	0/0
1788095164.269	0/1	0/0	0/0	0/0
1788095164.340	0/1	0/0	0/0	0/0
1788095164.381	0/1	0/0	0/0	0/0
1788095164.422	0/1	0/0	0/0	0/0
1788095164.465	0/1	0/0	0/0	0/0
1788095164.508	0/1	0/0	0/0	0/0
1788095164.549	0/1	0/0	0/0	0/0
1788095164.593	0/1	0/0	0/0	0/0
1788095164.634	0/1	0/0	0/0	0/0
1788095164.674	0/1	0/0	0/0	0/0
1788095164.716	0/1	0/0	0/0	0/0
1788095164.757	0/1	0/0	0/0	0/0
1788095164.797	0/1	0/0	0/0	0/0
1788095164.839	0/1	0/0	0/0	0/0
1788095164.881	0/1	0/0	0/0	0/0
1788095164.923	0/1	0/0	0/0	0/0
1788095164.962	0/1	0/0	0/0	0/0
1788095165.000	0/1	0/0	0/0	0/0
1788095165.042	0/1	0/0	0/0	0/0
1788095165.089	0/1	0/0	0/0	0/0
1788095165.136	0/1	0/0	0/0	0/0
1788095165.180	0/1	0/0	0/0	0/0
1788095165.221	0/1	0/0	0/0	0/0
1788095165.263	0/1	0/0	0/0	0/0
1788095165.335	0/1	0/0	0/0	0/0
1788095165.380	0/1	0/0	0/0	0/0
1788095165.420	0/1	0/0	0/0	0/0
1788095165.463	0/1	0/0	0/0	0/0
1788095165.505	0/1	0/0	0/0	0/0
1788095165.548	0/1	0/0	0/0	0/0
1788095165.590	0/1	0/0	0/0	0/0
1788095165.631	0/1	0/0	0/0	0/0
1788095165.672	0/1	0/0	0/0	0/0
1788095165.715	0/1	0/0	0/0	0/0
1788095165.756	0/1	0/0	0/0	0/0
1788095165.797	0/1	0/0	0/0	0/0
1788095165.838	0/1	0/0	0/0	0/0
1788095165.880	0/1	0/0	0/0	0/0
1788095165.923	0/1	0/0	0/0	0/0
1788095165.964	0/1	0/0	0/0	0/0
1788095166.005	0/1	0/0	0/0	0/0
1788095166.047	0/1	0/0	0/0	0/0
1788095166.090	0/1	0/0	0/0	0/0
1788095166.136	0/1	0/0	0/0	0/0
1788095166.178	0/1	0/0	0/0	0/0
1788095166.217	0/1	0/0	0/0	0/0
1788095166.262	0/1	0/0	0/0	0/0
1788095166.339	0/1	0/0	0/0	0/0
1788095166.381	0/1	0/0	0/0	0/0
1788095166.423	0/1	0/0	0/0	0/0
1788095166.465	0/1	0/0	0/0	0/0
1788095166.507	0/1	0/0	0/0	0/0
1788095166.548	0/1	0/0	0/0	0/0
