epoch	p920	p921	p922
1788094997.154	0/0	0/0	1/0
1788094997.196	0/0	0/0	1/0
1788094997.238	0/0	0/0	1/0
1788094997.279	0/0	0/0	1/0
1788094997.346	0/0	0/0	1/0
1788094997.387	0/0	0/0	1/0
1788094997.426	0/0	0/0	1/0
1788094997.467	0/0	0/0	1/0
1788094997.509	0/0	0/0	1/0
1788094997.550	0/0	0/0	1/0
1788094997.597	0/0	0/0	1/0
1788094997.643	0/0	0/0	1/0
1788094997.684	0/0	0/0	1/0
1788094997.726	0/0	0/0	1/0
1788094997.765	0/0	0/0	1/0
1788094997.808	0/0	0/0	1/0
1788094997.849	0/0	0/0	1/0
1788094997.890	0/0	0/0	1/0
1788094997.930	0/0	0/0	1/0
1788094997.971	0/0	0/0	1/0
1788094998.015	0/0	0/0	1/0
1788094998.058	0/0	0/0	1/0
1788094998.099	0/0	0/0	1/0
1788094998.139	0/0	0/0	1/0
1788094998.179	0/0	0/0	1/0
1788094998.218	0/0	0/0	1/0
1788094998.265	0/0	0/0	1/0
1788094998.334	0/0	0/0	1/0
1788094998.379	0/0	0/0	1/0
1788094998.426	0/0	0/0	1/0
1788094998.478	0/0	0/0	1/0
1788094998.522	0/0	0/0	1/0
1788094998.564	0/0	0/0	1/0
1788094998.605	0/0	0/0	1/0
1788094998.647	0/0	0/0	1/0
1788094998.691	0/0	0/0	1/0
1788094998.734	0/0	0/0	1/0
1788094998.778	0/0	0/0	1/0
1788094998.822	0/0	0/0	1/0
1788094998.867	0/0	0/0	1/0
1788094998.909	0/0	0/0	1/0
1788094998.953	0/0	0/0	1/0
1788094998.998	0/0	0/0	1/0
1788094999.041	0/0	0/0	1/0
1788094999.082	0/0	0/0	1/0
1788094999.125	0/0	0/0	1/0
1788094999.167	0/0	0/0	1/0
1788094999.208	0/0	0/0	1/0
1788094999.249	0/0	0/0	1/0
1788094999.291	0/0	0/0	1/0
1788094999.354	0/0	0/0	1/0
1788094999.398	0/0	0/0	1/0
1788094999.440	0/0	0/0	1/0
1788094999.486	0/0	0/0	1/0
1788094999.530	0/0	0/0	1/0
1788094999.575	0/0	0/0	1/0
1788094999.616	0/0	0/0	1/0
1788094999.658	0/0	0/0	1/0
1788094999.700	0/0	0/0	1/0
1788094999.741	0/0	0/0	1/0
1788094999.784	0/0	0/0	1/0
1788094999.831	0/0	0/0	1/0
1788094999.876	0/0	0/0	1/0
1788094999.917	0/0	0/0	1/0
1788094999.957	0/0	0/0	1/0
1788094999.999	0/0	0/0	1/0
1788095000.040	0/0	0/0	1/0
1788095000.081	0/0	0/0	1/0
1788095000.122	0/0	0/0	1/0
1788095000.164	0/0	0/0	1/0
1788095000.206	0/0	0/0	1/0
1788095000.248	0/0	0/0	1/0
1788095000.291	0/0	0/0	1/0
1788095000.352	0/0	0/0	1/0
1788095000.395	0/0	0/0	1/0
1788095000.437	0/0	0/0	1/0
1788095000.483	0/0	0/0	1/0
1788095000.525	0/0	0/0	1/0
1788095000.567	0/0	0/0	1/0
1788095000.607	0/0	0/0	1/0
1788095000.649	0/0	0/0	1/0
1788095000.691	0/0	0/0	1/0
1788095000.731	0/0	0/0	1/0
1788095000.772	0/0	0/0	1/0
1788095000.813	0/0	0/0	1/0
1788095000.855	0/0	0/0	1/0
1788095000.898	0/0	0/0	1/0
1788095000.941	0/0	0/0	1/0
1788095000.984	0/0	0/0	1/0
1788095001.026	0/0	0/0	1/0
1788095001.068	0/0	0/0	1/0
1788095001.110	0/0	0/0	1/0
1788095001.152	0/0	0/0	1/0
1788095001.192	0/0	0/0	1/0
1788095001.235	0/0	0/0	1/0
1788095001.276	0/0	0/0	1/0
1788095001.338	0/0	0/0	1/0
1788095001.380	0/0	0/0	1/0
1788095001.420	0/0	0/0	1/0
1788095001.463	0/0	0/0	1/0
1788095001.504	0/0	0/0	1/0
1788095001.545	0/0	0/0	1/0
1788095001.588	0/0	0/0	1/0
1788095001.629	0/0	0/0	1/0
1788095001.672	0/0	0/0	1/0
1788095001.713	0/0	0/0	1/0
1788095001.754	0/0	0/0	1/0
1788095001.792	0/0	0/0	1/0
1788095001.837	0/0	0/0	1/0
1788095001.878	0/0	0/0	1/0
1788095001.920	0/0	0/0	1/0
1788095001.962	0/0	0/0	1/0
1788095002.013	0/0	0/0	1/0
1788095002.055	0/0	0/0	1/0
