# tag=post epoch=1788097076 utc=2026-08-30T13:37:56Z
host	tx_bytes	rx_bytes
h1	578821555	39462
h2	578821557	39462
h3	578821358	39262
h4	578821358	39263
h5	115769378	39334
h6	115769315	39259
h7	57885817	38015
h8	57885942	38084
h9	2316	36766
h10	2316	36766
h11	2316	36836
h12	2386	36826
h33	578821222	39269
h34	578821289	39269
h35	4812	578855808
h36	578821225	39261
h37	57885944	38013
h38	57885816	38085
h39	57885745	38085
h40	2246	36766
h41	2246	36826
h42	2176	36766
h43	2246	36766
h44	2246	36896
h65	4746	578855869
h66	4749	578855732
h67	578821159	39428
h68	4811	578855735
h69	4804	115803958
h70	3493	57920454
h71	3495	57920327
h72	3495	57920395
h73	2246	36886
h74	2246	36826
h75	2246	36826
h76	2246	36826
h97	4746	578855871
h98	4749	578855869
h99	4743	578855739
h100	4743	578855868
h101	4739	115803825
h102	3495	57920326
h103	3494	57920452
h104	2316	36826
h105	2246	36826
h106	2246	36826
h107	2246	36886
h108	2316	36886
