# tag=pre epoch=1788096282 utc=2026-08-30T13:24:42Z
host	tx_bytes	rx_bytes
h1	2302	9536
h2	2372	9536
h3	2176	9340
h4	2176	9340
h5	2106	9420
h6	2106	9340
h7	2176	9340
h8	2176	9340
h9	2176	9400
h10	2176	9400
h11	2176	9400
h12	2176	9400
h33	2176	9400
h34	2106	9400
h35	2176	9400
h36	2176	9400
h37	2176	9400
h38	2106	9400
h39	2106	9400
h40	2036	9400
h41	2106	9400
h42	2036	9400
h43	2106	9400
h44	2106	9460
h65	2106	9460
h66	2106	9460
h67	2036	9565
h68	2106	9460
h69	2106	9520
h70	2106	9460
h71	2036	9520
h72	2106	9520
h73	2106	9580
h74	2106	9520
h75	2106	9520
h76	2106	9520
h97	2106	9520
h98	2106	9520
h99	2036	9520
h100	2106	9520
h101	2036	9520
h102	2036	9520
h103	2106	9520
h104	2106	9580
h105	2106	9580
h106	2106	9580
h107	2106	9580
h108	2106	9580
