t_since_post_s	southbound	kernel_view
0.005	False	phantom
0.010	False	phantom
0.015	True	phantom
0.019	True	phantom
0.023	True	phantom
0.026	True	phantom
0.030	True	phantom
0.034	True	phantom
0.037	True	phantom
0.041	True	phantom
0.045	True	phantom
0.048	True	phantom
0.052	True	phantom
0.056	True	phantom
0.060	True	phantom
0.064	True	phantom
0.068	True	phantom
0.071	True	phantom
0.075	True	phantom
0.078	True	phantom
0.082	True	phantom
0.086	True	phantom
0.090	True	phantom
0.093	True	phantom
0.097	True	phantom
0.101	True	phantom
0.105	True	phantom
0.110	True	phantom
0.114	True	phantom
0.118	True	phantom
0.122	True	phantom
0.126	True	phantom
0.130	True	phantom
0.134	True	phantom
0.138	True	phantom
0.142	True	phantom
0.146	True	phantom
0.149	True	phantom
0.154	True	phantom
0.158	True	phantom
0.162	True	phantom
0.167	True	phantom
0.171	True	phantom
0.175	True	phantom
0.179	True	phantom
0.183	True	phantom
0.187	True	phantom
0.191	True	phantom
0.195	True	phantom
0.198	True	phantom
0.203	True	phantom
0.207	True	phantom
0.211	True	phantom
0.215	True	phantom
0.220	True	phantom
0.224	True	phantom
0.227	True	phantom
0.231	True	phantom
0.235	True	phantom
0.239	True	phantom
0.243	True	phantom
0.247	True	phantom
0.251	True	phantom
0.255	True	phantom
0.259	True	phantom
0.263	True	phantom
0.267	True	phantom
0.271	True	phantom
0.274	True	phantom
0.278	True	phantom
0.282	True	phantom
0.286	True	phantom
0.290	True	phantom
0.294	True	phantom
0.297	True	phantom
0.301	True	phantom
0.305	True	phantom
0.309	True	phantom
0.313	True	phantom
0.317	True	phantom
0.321	True	phantom
0.325	True	phantom
0.328	True	phantom
0.332	True	phantom
0.336	True	phantom
0.340	True	phantom
0.343	True	phantom
0.348	True	phantom
0.352	True	phantom
0.357	True	phantom
0.362	True	phantom
0.366	True	phantom
0.370	True	phantom
0.374	True	phantom
0.377	True	phantom
0.382	True	phantom
0.386	True	phantom
0.389	True	phantom
0.393	True	phantom
0.396	True	phantom
0.400	True	phantom
0.403	True	phantom
0.407	True	phantom
0.411	True	phantom
0.414	True	phantom
0.418	True	phantom
0.422	True	phantom
0.425	True	phantom
0.429	True	phantom
0.433	True	phantom
0.437	True	phantom
0.440	True	phantom
0.443	True	phantom
0.447	True	phantom
0.450	True	phantom
0.453	True	phantom
0.457	True	phantom
0.460	True	phantom
0.464	True	phantom
0.467	True	phantom
0.471	True	phantom
0.475	True	phantom
0.478	True	phantom
0.482	True	phantom
0.486	True	phantom
0.490	True	phantom
0.494	True	phantom
0.497	True	phantom
0.501	True	phantom
0.504	True	phantom
0.508	True	phantom
0.511	True	phantom
0.515	True	phantom
0.519	True	phantom
0.522	True	phantom
0.526	True	phantom
0.529	True	phantom
0.533	True	phantom
0.536	True	phantom
0.540	True	phantom
0.543	True	phantom
0.547	True	phantom
0.550	True	phantom
0.554	True	phantom
0.558	True	phantom
0.562	True	phantom
0.566	True	phantom
0.570	True	phantom
0.573	True	phantom
0.577	True	phantom
0.580	True	phantom
0.584	True	phantom
0.588	True	phantom
0.591	True	phantom
0.595	True	phantom
0.599	True	phantom
0.602	True	phantom
0.606	True	phantom
0.609	True	phantom
0.613	True	phantom
0.616	True	phantom
0.620	True	phantom
0.624	True	phantom
0.627	True	phantom
0.630	True	phantom
0.633	True	phantom
0.637	True	phantom
0.640	True	phantom
0.643	True	phantom
0.646	True	phantom
0.650	True	phantom
0.653	True	phantom
0.656	True	phantom
0.661	True	phantom
0.665	True	phantom
