rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	16.01	16.01	yes
2	1	0.0000	0.0000	32.01	32.01	yes
3	1	0.0000	0.0000	48.00	48.00	yes
5	1	0.0000	0.0000	80.01	80.00	yes
8	1	0.0000	0.0000	127.97	127.96	yes
12	1	0.0000	0.0000	191.93	191.90	yes
20	1	0.0000	0.0000	319.94	319.92	yes
30	1	0.0000	0.0000	479.92	479.90	yes
45	3	0.0342	0.0062,0.0342,0.0840	719.82	719.71	yes
70	1	17.7874	17.7874	1119.57	942.98	no
110	1	-1	-1	-1	-1	NO_MEASUREMENT
160	1	-1	-1	-1	-1	NO_MEASUREMENT
240	1	75.4260	75.4260	3819.99	966.07	no
360	1	83.3716	83.3716	5726.75	972.67	no
