rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	16.02	16.01	yes
2	1	0.0000	0.0000	32.00	32.00	yes
3	1	0.0000	0.0000	48.00	48.00	yes
5	1	0.0000	0.0000	80.00	79.99	yes
8	1	0.0000	0.0000	127.99	127.98	yes
12	1	0.0000	0.0000	191.98	191.97	yes
20	1	0.0000	0.0000	319.77	319.74	yes
30	1	0.0000	0.0000	479.90	479.83	yes
45	3	0.0156	0.0653,0.0000,0.0156	719.79	719.72	yes
70	1	18.9703	18.9703	1119.25	954.77	no
110	1	47.2054	47.2054	1758.73	951.81	no
160	1	-1	-1	-1	-1	NO_MEASUREMENT
