rate_mbit	reps	loss_scored	loss_reps	agg_sent	agg_recv	clean
1	1	0.0000	0.0000	1.00	1.00	yes
2	1	0.0000	0.0000	2.00	2.00	yes
3	1	0.0000	0.0000	3.00	3.00	yes
5	1	0.0000	0.0000	5.00	5.00	yes
8	1	0.0000	0.0000	8.00	8.00	yes
12	1	0.0000	0.0000	12.00	12.00	yes
20	1	0.0000	0.0000	20.00	20.00	yes
30	1	0.0000	0.0000	30.00	30.00	yes
45	1	0.0000	0.0000	44.99	44.99	yes
70	1	0.0000	0.0000	69.99	69.99	yes
110	1	0.0000	0.0000	109.98	109.98	yes
160	1	0.0000	0.0000	159.97	159.97	yes
240	1	0.0000	0.0000	239.96	239.95	yes
360	3	0.0821	0.1124,0.0821,0.0109	359.95	359.70	yes
540	3	0.2933	0.2933,0.5072,0.2771	539.93	537.98	yes
810	3	0.6473	1.0294,0.6473,0.5699	809.88	803.80	no
1215	3	1.1228	1.3328,0.8456,1.1228	951.84	941.36	no
