rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	11.99	yes	no
20	1	0.0000	0.0000	20.00	19.99	yes	no
30	1	0.0000	0.0000	30.00	29.99	yes	no
45	1	0.0000	0.0000	44.99	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.99	yes	no
110	1	22.6073	22.6073	109.98	83.56	no	no
160	1	48.9678	48.9678	159.98	80.14	no	no
240	1	65.9981	65.9981	239.97	80.10	no	no
