rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1.00	1.00	yes	no
2	1	0.0000	0.0000	2.00	2.00	yes	no
3	1	0.0000	0.0000	3.00	3.00	yes	no
5	1	0.0000	0.0000	5.00	5.00	yes	no
8	1	0.0000	0.0000	8.00	8.00	yes	no
12	1	0.0000	0.0000	12.00	12.00	yes	no
20	1	0.0000	0.0000	20.00	20.00	yes	no
30	1	0.0000	0.0000	30.00	29.99	yes	no
45	1	0.0000	0.0000	45.00	44.99	yes	no
70	1	0.0000	0.0000	69.99	69.98	yes	no
110	1	0.0000	0.0000	109.99	109.97	yes	no
160	1	0.0000	0.0000	159.98	159.97	yes	no
240	1	0.0000	0.0000	239.97	239.96	yes	no
360	1	18.3911	18.3911	359.95	292.25	no	no
540	1	47.1906	47.1906	539.92	283.65	no	no
810	1	65.0716	65.0716	809.89	281.38	no	no
