rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
360	3	0.0016	0.0276,0.0016,0.0016	359.95	359.89	yes	no
380	3	1.0343	0.0210,1.0343,1.2119	379.95	377.06	no	no
400	1	2.7499	2.7499	399.95	388.91	no	no
420	3	2.7670	0.7181,2.7670,3.7484	419.94	409.80	no	no
440	1	4.7701	4.7701	439.94	418.93	no	no
460	1	6.3619	6.3619	459.94	430.65	no	no
480	1	4.4548	4.4548	479.93	458.52	no	no
500	1	4.0621	4.0621	499.93	479.61	no	no
520	1	17.5617	17.5617	519.93	428.60	no	no
540	1	9.0523	9.0523	539.93	491.04	no	no
