rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
360	3	0.0296	0.0296,0.0439,0.0237	359.95	359.82	yes	no
380	3	0.6842	0.8552,0.6842,0.2797	379.95	377.62	no	no
400	3	2.0187	0.1355,2.0187,2.2483	399.94	394.05	no	no
420	1	3.0673	3.0673	419.94	407.04	no	no
440	1	6.9709	6.9709	439.94	409.25	no	no
460	1	8.0375	8.0375	459.94	422.94	no	no
480	1	13.2201	13.2201	479.93	416.45	no	no
500	1	9.4527	9.4527	499.93	452.66	no	no
520	1	9.0070	9.0070	519.93	473.07	no	no
540	1	10.7205	10.7205	539.93	482.03	no	no
