rate_mbit	reps	loss_scored	loss_reps	sent	recv	clean	sender_limited
1	1	0.0000	0.0000	1	1	yes	no
2	1	0.0000	0.0000	2	2	yes	no
3	1	0.0000	0.0000	3	3	yes	no
5	1	0.0000	0.0000	5	5	yes	no
8	1	0.0000	0.0000	8	8	yes	no
12	1	0.0000	0.0000	12	12	yes	no
20	1	0.0000	0.0000	20	20	yes	no
30	1	0.0000	0.0000	30	30	yes	no
45	1	0.0000	0.0000	45	45	yes	no
70	1	0.0000	0.0000	70	70	yes	no
110	1	0.0000	0.0000	110	110	yes	no
160	1	0.0000	0.0000	160	160	yes	no
240	1	0.0000	0.0000	240	240	yes	no
360	1	0.0000	0.0000	360	360	yes	no
540	1	0.0000	0.0000	540	540	yes	no
810	1	0.0000	0.0000	810	810	yes	no
1200	1	40.0	40.0	1200	1200	no	no
1800	1	55.0	55.0	1800	1800	no	no
